UNION_ID,x,y,LONG,LAT,DIVISION,DISTRICT,UPAZILA,UNION,t2m_305_2014,t2m_321_2014,t2m_337_2014,t2m_353_2014,t2m_017_2015,t2m_033_2015,t2m_049_2015,t2m_065_2015,t2m_081_2015,t2m_097_2015,t2m_113_2015
10040907,519852.2018,2439890.485,90.1924,22.0637,Barisal,Barguna,Amtali,Amtali,25.34,24.74,21.64,19.86,19.08,18.56,21,23.99,25.78,27,28.19
10061031,513008.6331,2524427.722,90.1268,22.8275,Barisal,Barisal,Banaripara,Bisarkandi,24.19,23.46,19.71,18.56,17.91,17.36,19.59,23.62,24.58,26.85,27.87
10063613,556755.4499,2538579.562,90.5536,22.9544,Barisal,Barisal,Hizla,Bara Jalia,24.62,23.73,19.96,19.01,18.5,17.76,19.7,23.65,24.73,26.76,27.92
10065177,541836.9141,2508902.173,90.4073,22.6868,Barisal,Barisal,Barisal,Roy Pasha Karapur,24.46,23.7,19.97,18.86,18.29,17.65,19.83,23.72,24.86,26.84,27.94
10069494,516049.7474,2527785.913,90.1564,22.8578,Barisal,Barisal,Wazirpur,Sholak,24.34,23.55,19.79,18.71,18.1,17.49,19.6,23.62,24.6,26.81,27.89
10091887,568765.4527,2511180.765,90.6696,22.7065,Barisal,Bhola,Bhola,Bhedaria,24.8,23.97,20.27,19.22,18.72,17.98,20.04,23.79,25.07,26.82,27.99
10092519,576464.455,2438592.339,90.741,22.0504,Barisal,Bhola,Char Fasson,Aslampur,27,26.05,23.27,21.68,20.49,20.05,21.41,24.14,26.01,27.07,28.36
10092528,576464.455,2438592.339,90.741,22.0504,Barisal,Bhola,Char Fasson,Char Kalmi,26.88,26.02,23.28,21.55,20.36,19.96,21.51,24.2,26.1,27.12,28.39
10424331,511652.4997,2479302.988,90.1132,22.4198,Barisal,Jhalokati,Kanthalia,Adrabunia,24.39,23.75,20.17,18.78,18.22,17.61,20.12,23.76,25.11,26.87,27.98
10428440,514418.682,2493380.121,90.1402,22.547,Barisal,Jhalokati,Rajapur,Mathbari,24.38,23.71,20.07,18.77,18.19,17.58,20,23.74,24.99,26.87,27.96
10783853,557271.6776,2482253.362,90.5566,22.4456,Barisal,Patuakhali,Bauphal,Kalaiya,25.87,25.02,21.81,20.41,19.55,18.98,20.79,23.99,25.6,26.97,28.2
10783889,557271.6776,2482253.362,90.5566,22.4456,Barisal,Patuakhali,Bauphal,Nazirpur,25.62,24.77,21.45,20.14,19.36,18.75,20.62,23.95,25.48,26.94,28.15
10785744,548291.3734,2441658.439,90.4681,22.0791,Barisal,Patuakhali,Galachipa,Chhota Baisdia,26.32,25.57,22.73,20.96,19.95,19.51,21.43,24.17,26.03,27.1,28.32
10787613,526714.1824,2471530.613,90.2594,22.3495,Barisal,Patuakhali,Mirzapur,Amragachhia,24.46,23.84,20.3,18.86,18.34,17.69,20.27,23.79,25.26,26.87,28.01
10787667,526714.1824,2471530.613,90.2594,22.3495,Barisal,Patuakhali,Mirzapur,Majidbari,24.61,24.04,20.64,19.03,18.47,17.85,20.51,23.84,25.45,26.9,28.06
10791411,502313.8484,2481396.364,90.0225,22.4388,Barisal,Pirojpur,Bandaria,Bhandaria,24.3,23.7,20.13,18.68,18.1,17.52,20.1,23.74,25.08,26.89,27.97
10795851,495497.8562,2463763.005,89.9563,22.2795,Barisal,Pirojpur,Mothbaria,Gulishakhali,24.29,23.8,20.38,18.68,18.12,17.55,20.42,23.8,25.37,26.91,28.03
10797652,495005.9622,2519054.993,89.9513,22.779,Barisal,Pirojpur,Nazirpur,Nazirpur,24.13,23.46,19.74,18.5,17.85,17.32,19.68,23.65,24.69,26.89,27.9
10798017,496087.4932,2497967.139,89.9619,22.5885,Barisal,Pirojpur,Pirojpur,Durgapur,24.17,23.52,19.84,18.54,17.9,17.37,19.8,23.68,24.8,26.89,27.92
20120423,581070.1428,2629718.162,90.7957,23.7766,Chittagong,Brahamanbaria,Bancharampur,Dariadaulat,24.6,23.51,19.93,18.73,18.37,17.34,18.81,22.8,24.01,25.85,27.18
20121350,620087.1082,2653655.65,91.1805,23.9903,Chittagong,Brahamanbaria,Brahamanbaria,Dakshin Shuhilpur,24.8,23.83,20.36,18.79,18.62,17.55,18.84,22.69,24.16,25.9,27.06
20128536,599806.4811,2639144.208,90.9802,23.8607,Chittagong,Brahamanbaria,Nabinagar,Paschim Junedpur,24.67,23.64,20.07,18.76,18.49,17.44,18.86,22.84,24.15,25.88,27.12
20132207,567522.0107,2568802.239,90.66,23.227,Chittagong,Chandpur,Chandpur,Ashikati,24.69,23.7,20.01,18.99,18.54,17.69,19.39,23.39,24.46,26.42,27.66
20134511,579596.2305,2558509.965,90.7774,23.1335,Chittagong,Chandpur,Faridganj,Paschim Baluthupa,24.71,23.74,20.02,19.03,18.59,17.74,19.46,23.45,24.55,26.46,27.69
20134723,563335.1686,2552117.542,90.6184,23.0765,Chittagong,Chandpur,Haimchar,Dakshin Algi Durgapur,24.74,23.77,20.04,19.09,18.63,17.82,19.59,23.55,24.64,26.61,27.82
20135815,593998.2047,2583052.685,90.9196,23.3544,Chittagong,Chandpur,Kachua,Bitara,24.64,23.65,19.97,18.87,18.5,17.58,19.2,23.28,24.39,26.21,27.45
20150831,698338.692,2436010.878,91.9215,22.0175,Chittagong,Chittagong,Banshkhali,Gandamara,26.2,24.81,21.59,20.95,20.45,19.59,20.76,23.06,25.87,26.06,27.64
20153338,680751.2642,2519308.944,91.7606,22.7716,Chittagong,Chittagong,Fatikchhari,Daulatpur,25.5,24.29,20.83,20.11,19.68,18.57,19.87,23.02,24.93,25.67,27.05
20157077,714623.2378,2485555.666,92.0858,22.4629,Chittagong,Chittagong,Rangunia,Rangunia,25.33,23.95,20.44,20.01,19.68,18.6,19.86,22.72,25.13,25.45,26.91
20157475,696292.2945,2493343.409,91.9087,22.5354,Chittagong,Chittagong,Raozan,Raozan,25.61,24.32,20.99,20.31,19.81,18.79,19.99,22.9,25.08,25.56,26.97
20158247,712312.7919,2447518.452,92.0583,22.1198,Chittagong,Chittagong,Satkania,Kaliais,25.63,24.11,20.62,20.29,19.97,18.98,20.23,22.71,25.58,25.72,27.31
20190963,607077.3563,2581708.603,91.0475,23.3415,Chittagong,Comilla,Baura,Uttar Khosbas,24.67,23.67,19.96,18.85,18.56,17.56,19.14,23.26,24.47,26.05,27.27
20191863,613961.5838,2602592.872,91.1164,23.5296,Chittagong,Comilla,Burichang,Mainamati,24.65,23.65,19.94,18.8,18.54,17.5,19.05,23.19,24.43,25.93,27.15
20194011,600512.515,2610043.972,90.9851,23.5978,Chittagong,Comilla,Debidwar,Dakshin Bara Shalghar,24.65,23.63,19.98,18.76,18.49,17.45,18.94,23.01,24.28,25.89,27.13
20196768,618523.9201,2594913.857,91.1605,23.4599,Chittagong,Comilla,Comilla,Kalir Bazar,24.67,23.67,19.95,18.83,18.57,17.53,19.1,23.23,24.46,25.97,27.19
20197252,613925.2618,2571204.543,91.1136,23.2461,Chittagong,Comilla,Laksam,Laksam,24.82,23.8,20.03,19.04,18.79,17.69,19.29,23.27,24.56,26.04,27.3
20198194,598152.5304,2615819.726,90.9624,23.6501,Chittagong,Comilla,Muradnagar,Sreekail,24.63,23.58,19.97,18.75,18.44,17.4,18.87,22.88,24.14,25.86,27.14
20221616,714649.0079,2406500.696,92.0755,21.7491,Chittagong,Cox's Bazar,Chakaria,Baraitali,25.97,24.53,21.16,20.76,20.46,19.56,20.78,22.98,26.05,25.96,27.6
20224947,697126.0102,2391689.088,91.9044,21.6174,Chittagong,Cox's Bazar,Maheshkhali,Hoanak,26.51,25.2,22.09,21.43,20.98,20.2,21.34,23.35,26.35,26.26,27.88
20467023,688330.3973,2563637.78,91.8398,23.171,Chittagong,Khagrachhari,Matiranga,Belchhari,24.75,23.59,19.96,19.29,19.05,17.77,19.04,22.65,24.27,25.13,26.47
20514330,587353.1331,2536647.775,90.852,22.9356,Chittagong,Lakshmipur,Lakshmipur,Char Ruhita,24.82,23.87,20.08,19.19,18.76,17.92,19.71,23.65,24.82,26.64,27.83
20515811,576811.3569,2541832.21,90.7494,22.983,Chittagong,Lakshmipur,Roypur,Bamni,24.8,23.84,20.07,19.15,18.73,17.87,19.63,23.59,24.76,26.56,27.76
20517387,598502.4745,2503383.868,90.9586,22.6346,Chittagong,Lakshmipur,Kamalnagar,Char Ramiz,25.53,24.52,21,20.02,19.43,18.62,20.22,23.68,25.15,26.66,27.94
20750756,612762.4097,2535270.744,91.0996,22.9217,Chittagong,Noakhali,Begumganj,Jirtali,24.94,23.93,20.11,19.27,18.96,17.91,19.62,23.47,24.75,26.35,27.61
20751038,599735.8322,2550111.346,90.9736,23.0565,Chittagong,Noakhali,Chatkhil,Mohammadpur,24.83,23.84,20.06,19.12,18.8,17.8,19.49,23.44,24.69,26.3,27.53
20753638,612159.5445,2466256.72,91.0888,22.2984,Chittagong,Noakhali,Hatiya,Char King,26.44,25.39,22.32,21.06,20.16,19.5,20.85,23.77,25.57,26.75,28.09
20758740,606363.3811,2524304.118,91.0365,22.823,Chittagong,Noakhali,Noakhali,Char Matua,25,24.01,20.21,19.38,19,18.04,19.78,23.58,24.86,26.52,27.76
30261405,513270.4757,2647289.395,90.1304,23.9373,Dhaka,Dhaka,Dhamrai,Amta,24.43,23.23,19.84,18.64,18,17.12,18.75,22.51,23.59,26.03,27.45
30261483,513270.4757,2647289.395,90.1304,23.9373,Dhaka,Dhaka,Dhamrai,Sombhag,24.47,23.31,19.89,18.69,18.08,17.21,18.78,22.59,23.64,26.05,27.48
30266261,515885.2209,2617811.073,90.1558,23.671,Dhaka,Dhaka,Nawabganz,Joykrishnapur,24.45,23.34,19.92,18.73,18.06,17.31,19.05,22.9,23.84,26.34,27.71
30291047,501397.9853,2585983.553,90.0137,23.3836,Dhaka,Faridpur,Bhanga,Hamirdi,24.39,23.38,19.9,18.73,18.02,17.38,19.29,23.2,24.08,26.6,27.88
30291860,471215.2818,2588147.73,89.7183,23.4029,Dhaka,Faridpur,Boalmari,Moyna,24.31,23.28,19.91,18.67,17.86,17.27,19.31,23.15,24.06,26.65,27.93
30291895,471215.2818,2588147.73,89.7183,23.4029,Dhaka,Faridpur,Boalmari,Shekhar,24.29,23.3,19.87,18.65,17.87,17.28,19.34,23.21,24.12,26.67,27.91
30294771,481075.0439,2610411.061,89.8145,23.6041,Dhaka,Faridpur,Faridpur,Krishnanagar,24.37,23.28,19.93,18.71,17.93,17.28,19.19,23.01,23.92,26.52,27.86
30296222,486318.681,2591110.878,89.8661,23.4298,Dhaka,Faridpur,Nagarkandi,Char Jasordi,24.35,23.37,19.87,18.69,17.98,17.35,19.32,23.24,24.13,26.63,27.88
