"DIVISION_NAME","DISTRICT_NAME","UPAZILA_NAME","POVERTY_PERCENT","DIVISION_NAME 2","DIVISION_PCODE","DISTRICT_NAME 2","DISTRICT_PCODE","UPAZILA_NMAE","UPAZILA_PCODE","ADM3_PCODE"
"Khulna","Bagerhat","Bagerhat Sadar",35.9,"Khulna","BD40","Bagerhat","BD4001","Bagerhat Sadar","BD400108","BD400108"
"Khulna","Bagerhat","Chitalmari",50,"Khulna","BD40","Bagerhat","BD4001","Chitalmari","BD400114","BD400114"
"Khulna","Bagerhat","Fakirhat",36.4,"Khulna","BD40","Bagerhat","BD4001","Fakirhat","BD400134","BD400134"
"Khulna","Bagerhat","Kachua",42.5,"Khulna","BD40","Bagerhat","BD4001","Kachua","BD201358","BD201358"
"Khulna","Bagerhat","Mollahat",46.1,"Khulna","BD40","Bagerhat","BD4001","Mollahat","BD400156","BD400156"
"Khulna","Bagerhat","Mongla",41.9,"Khulna","BD40","Bagerhat","BD4001","Mongla","BD400158","BD400158"
"Khulna","Bagerhat","Morrelganj",46.5,"Khulna","BD40","Bagerhat","BD4001","Morrelganj","BD400160","BD400160"
"Khulna","Bagerhat","Rampal",41.1,"Khulna","BD40","Bagerhat","BD4001","Rampal","BD400173","BD400173"
"Khulna","Bagerhat","Sarankhola",48,"Khulna","BD40","Bagerhat","BD4001","Sarankhola","BD400177","BD400177"
"Chittagong","Bandarban","Alikadam",42.9,"Chittagong","BD20","Bandarban","BD2003","Alikadam","BD200304","BD200304"
"Chittagong","Bandarban","Bandarban Sadar",30.8,"Chittagong","BD20","Bandarban","BD2003","Bandarban Sadar","BD200314","BD200314"
"Chittagong","Bandarban","Lama",41,"Chittagong","BD20","Bandarban","BD2003","Lama","BD200351","BD200351"
"Chittagong","Bandarban","Naikhongchhari",46,"Chittagong","BD20","Bandarban","BD2003","Naikhongchhari","BD200373","BD200373"
"Chittagong","Bandarban","Rowangchhari",32.9,"Chittagong","BD20","Bandarban","BD2003","Rowangchhari","BD200389","BD200389"
"Chittagong","Bandarban","Ruma",42.3,"Chittagong","BD20","Bandarban","BD2003","Ruma","BD200391","BD200391"
"Chittagong","Bandarban","Thanchi",53,"Chittagong","BD20","Bandarban","BD2003","Thanchi","BD200395","BD200395"
"Barisal","Barguna","Amtali",22.8,"Barisal","BD10","Barguna","BD1004","Amtali","BD100409","BD100409"
"Barisal","Barguna","Bamna",17,"Barisal","BD10","Barguna","BD1004","Bamna","BD100419","BD100419"
"Barisal","Barguna","Barguna Sadar",19.2,"Barisal","BD10","Barguna","BD1004","Barguna Sadar","BD100428","BD100428"
"Barisal","Barguna","Betagi",19.6,"Barisal","BD10","Barguna","BD1004","Betagi","BD100447","BD100447"
"Barisal","Barguna","Patharghata",12.9,"Barisal","BD10","Barguna","BD1004","Patharghata","BD100485","BD100485"
"Barisal","Barisal","Agailjhara",51.1,"Barisal","BD10","Barisal","BD1006","Agailjhara","BD100602","BD100602"
"Barisal","Barisal","Babuganj",48.7,"Barisal","BD10","Barisal","BD1006","Babuganj","BD100603","BD100603"
"Barisal","Barisal","Bakerganj",55.4,"Barisal","BD10","Barisal","BD1006","Bakerganj","BD100607","BD100607"
"Barisal","Barisal","Banari Para",52.2,"Barisal","BD10","Barisal","BD1006","Banari Para","BD100610","BD100610"
"Barisal","Barisal","Barisal Sadar (Kotwali)",49.9,"Barisal","BD10","Barisal","BD1006","Barisal Sadar (Kotwali)","BD100651","BD100651"
"Barisal","Barisal","Gaurnadi",55.5,"Barisal","BD10","Barisal","BD1006","Gaurnadi","BD100632","BD100632"
"Barisal","Barisal","Hizla",62.3,"Barisal","BD10","Barisal","BD1006","Hizla","BD100636","BD100636"
"Barisal","Barisal","Mehendiganj",64.4,"Barisal","BD10","Barisal","BD1006","Mehendiganj","BD100662","BD100662"
"Barisal","Barisal","Muladi",58.2,"Barisal","BD10","Barisal","BD1006","Muladi","BD100669","BD100669"
"Barisal","Barisal","Wazirpur",52.1,"Barisal","BD10","Barisal","BD1006","Wazirpur","BD100694","BD100694"
"Barisal","Bhola","Bhola Sadar",49.2,"Barisal","BD10","Bhola","BD1009","Bhola Sadar","BD100918","BD100918"
"Barisal","Bhola","Burhanuddin",28.3,"Barisal","BD10","Bhola","BD1009","Burhanuddin","BD100921","BD100921"
"Barisal","Bhola","Char Fasson",28.2,"Barisal","BD10","Bhola","BD1009","Char Fasson","BD100925","BD100925"
"Barisal","Bhola","Daulat Khan",30.3,"Barisal","BD10","Bhola","BD1009","Daulatkhan","","BD100929"
"Barisal","Bhola","Lalmohan",27.8,"Barisal","BD10","Bhola","BD1009","Lalmohan","BD100954","BD100954"
"Barisal","Bhola","Manpura",32.8,"Barisal","BD10","Bhola","BD1009","Manpura","BD100965","BD100965"
"Barisal","Bhola","Tazumuddin",22.3,"Barisal","BD10","Bhola","BD1009","Tazumuddin","BD100991","BD100991"
"Rajshahi","Bogra","Adamdighi",13.1,"Rajshahi","BD50","Bogra","BD5010","Adamdighi","BD501006","BD501006"
"Rajshahi","Bogra","Bogra Sadar",17.6,"Rajshahi","BD50","Bogra","BD5010","Bogra Sadar","BD501020","BD501020"
