DISTRICT_NAME,DISTRICT_ID,DIVISION_PCODE
Bagerhat,BD1004,BD40
Bandarban,BD2003,BD20
Barguna,BD1004,BD10
Barisal,BD1006,BD10
Bhola,BD1009,BD10
Bogra,BD5010,BD50
Brahmanbaria,BD2012,BD20
Chandpur,BD2013,BD20
Chittagong,BD2015,BD20
Chuadanga,BD4018,BD40
Comilla,BD2019,BD20
Cox's Bazar,BD2022,BD20
Dhaka,BD3026,BD30
Dinajpur,BD5527,BD55
Faridpur,BD3029,BD30
Feni,BD2030,BD20
Gaibandha,BD5532,BD55
Gazipur,BD3033,BD30
Gopalganj,BD3035,BD30
Habiganj,BD6036,BD60
Jamalpur,BD4539,BD30
Jessore,BD4041,BD40
Jhalokati,BD1042,BD10
Jhenaidah,BD4044,BD40
Joypurhat,BD5038,BD50
Khagrachhari,BD2046,BD20
Khulna,BD4047,BD40
Kishoreganj,BD3048,BD30
Kurigram,BD5549,BD55
Kushtia,BD4050,BD40
Lakshmipur,BD2051,BD20
Lalmonirhat,BD5552,BD55
Madaripur,BD3054,BD30
Magura,BD4055,BD40
Manikganj,BD3056,BD30
Maulvibazar,BD6058,BD60
Meherpur,BD4057,BD40
Munshiganj,BD3059,BD30
Mymensingh,BD4561,BD30
Naogaon,BD5064,BD50
Narail,BD4065,BD40
Narayanganj,BD3067,BD30
Narsingdi,BD3068,BD30
Natore,BD5069,BD50
Nawabganj,BD5070,BD50
Netrakona,BD4572,BD30
Nilphamari,BD5573,BD55
Noakhali,BD2075,BD20
Pabna,BD5076,BD50
Panchagarh,BD5577,BD55
Patuakhali,BD1078,BD10
Pirojpur,BD1079,BD10
Rajbari,BD3082,BD30
Rajshahi,BD5081,BD50
Rangamati,BD2084,BD20
Rangpur,BD5585,BD55
Satkhira,BD4087,BD40
Shariatpur,BD3086,BD30
Sherpur,BD4589,BD30
Sirajganj,BD5088,BD50
Sunamganj,BD6090,BD60
Sylhet,BD6091,BD60
Tangail,BD3093,BD30
Thakurgaon,BD5594,BD55
