ID,Land_type,Longitude,Latitude,x,y,As,P,Fe,Ec,pH,Mg,Na,Ca,K,S
1,MHL,89.1134,22.7544,2652096.5,555447.2,0.059,0.761,3.440,1.030,7.030,33.900,69.400,99.100,5.300,2.936
2,MHL,89.1232,22.7576,2653102.8,555798.6,0.059,1.194,4.930,1.070,7.060,34.100,74.600,94.300,5.700,2.826
3,MHL,89.1281,22.7499,2653600.5,554942.3,0.079,1.317,9.700,1.400,6.840,40.500,89.400,133.900,6.000,2.307
4,MHL,89.1296,22.7568,2653752.9,555702.3,0.122,1.545,8.580,0.830,6.850,28.400,22.800,103.800,4.000,1.012
5,MHL,89.1312,22.7366,2653909.2,553466.9,0.072,0.966,4.780,1.420,6.950,43.400,93.000,130.500,5.300,2.511
6,MHL,89.1305,22.7297,2653832.2,552703.1,0.042,1.058,6.950,1.820,6.890,43.200,165.700,153.300,6.500,2.764
7,MHL,89.1278,22.7302,2653550.801,552764.127,0.075,0.868,7.810,1.710,6.860,50.100,110.500,172.000,5.900,2.792
8,MHL,89.1236,22.7345,2653122.753,553234.0851,0.064,0.890,8.140,1.740,6.980,51.500,127.000,163.200,6.400,1.562
9,MHL,89.1193,22.7506,2652689.8,555022,0.065,0.639,8.990,1.570,6.820,48.200,96.100,159.600,6.500,1.521
10,MHL,89.128,22.7445,2653579.7,554342.9,0.060,0.736,8.820,1.420,6.840,28.700,95.900,157.400,3.700,1.454
11,MHL,89.1289,22.7633,2653689.2,556421.1,0.096,1.016,5.010,0.900,6.960,36.300,29.100,107.100,4.400,1.302
12,HL,89.3043,22.7113,2671677.31,550556.8828,0.213,1.600,5.690,0.880,6.850,34.600,20.900,113.100,6.000,0.982
13,MHL,89.2951,22.7133,2670740.071,550779.6623,0.427,1.241,10.980,0.900,7.010,32.800,19.900,121.200,4.700,1.026
14,HL,89.2953,22.721,2670761.825,551635.6001,0.164,1.071,7.870,0.700,6.900,23.500,16.600,91.000,3.700,0.805
15,HL,89.2881,22.7448,2670040.071,554279.6623,0.053,0.784,3.060,0.750,7.100,22.900,38.900,78.300,3.900,0.682
16,HL,89.2968,22.7341,2670917.775,553082.9249,0.076,0.701,2.880,0.710,7.210,20.600,32.200,86.500,3.600,0.737
17,HL,89.3031,22.7341,2671570.195,553084.4121,0.086,1.331,3.590,0.700,7.050,38.700,18.700,62.600,7.200,0.522
18,HL,89.306,22.727,2671868.9,552291.1,,0.338,2.830,0.630,7.090,19.900,20.100,82.400,1.300,0.642
19,MHL,89.2685,22.731,2668012.7,552760.2,0.145,1.325,5.270,1.470,7.100,52.500,131.800,110.800,9.400,1.545
20,HL,89.2086,22.7428,2661860.696,554104.5586,0.139,0.680,5.220,2.300,7.030,66.600,214.600,171.400,10.900,8.620
21,MHL,89.2516,22.6787,2666240.071,546979.6623,0.287,2.136,5.050,2.060,7.020,56.200,252.700,120.900,11.800,1.052
22,MHL,89.2565,22.6658,2666738.6,545544.5,0.113,1.429,4.620,2.190,7.050,54.700,328.900,140.000,12.100,1.093
23,MHL,89.271,22.6572,2668227.3,544582.9,0.200,1.766,3.250,1.060,7.010,48.300,51.600,90.200,8.300,0.718
24,MHL,89.265,22.6632,2667608,545251.1,0.230,1.758,3.010,1.320,7.090,45.500,116.200,85.600,10.000,0.716
25,MHL,89.2603,22.6658,2667128.121,545536.6634,0.258,2.699,7.450,1.420,7.240,35.900,235.300,78.000,11.300,0.614
26,MHL,89.2459,22.6507,2665640.071,543879.6623,0.127,1.602,4.680,0.750,7.150,36.300,46.400,65.500,6.600,0.552
27,MHL,89.2371,22.6642,2664738.1,545381.3,0.166,1.691,3.410,1.260,7.040,37.400,155.500,90.900,8.100,0.806
28,MHL,89.2217,22.668,2663157.564,545810.0891,0.163,1.182,4.370,1.280,7.150,46.400,123.500,94.700,12.400,0.865
29,MHL,89.2166,22.6713,2662636.272,546172.0716,0.129,1.132,5.010,1.510,7.020,48.000,173.100,93.100,12.900,0.879
30,MHL,89.2484,22.7184,2665940.071,551379.6623,0.097,1.208,3.670,0.580,6.910,23.200,15.900,63.900,4.000,0.547
31,HL,89.2267,22.8037,2663769.8,560836.2,0.186,1.468,5.410,0.900,6.970,37.500,65.700,85.800,6.700,0.737
32,HL,89.208,22.8049,2661840.071,560979.6623,0.033,0.641,6.310,0.760,6.860,33.500,13.300,102.700,4.900,0.837
33,MHL,89.1447,22.7707,2655324.141,557235.7605,0.230,1.279,3.830,1.030,7.110,39.600,83.700,92.000,9.800,0.828
34,MHL,89.1122,22.7593,2651976.3,555998.3,0.032,1.017,5.190,1.310,7.110,48.800,71.200,133.800,6.500,1.164
35,MHL,89.1366,22.7363,2654463.3,553429.5,0.092,0.919,5.740,1.110,7.020,40.300,60.000,113.700,6.100,0.970
36,MHL,89.1414,22.7323,2654951.4,552982.7,0.127,1.253,5.980,0.820,6.950,31.100,24.500,103.100,4.000,0.927
37,MHL,89.1598,22.7247,2656840.1,552126.8,0.078,1.269,7.390,2.090,6.950,57.800,208.300,183.900,8.200,2.509
38,MHL,89.1317,22.7464,2653967.8,554552.1,0.073,1.769,6.410,2.900,6.880,69.300,499.000,218.000,14.800,11.330
39,HL,89.2292,22.7289,2663975.837,552550.9131,0.137,0.955,4.090,1.340,6.960,50.100,102.800,124.700,8.700,1.066
40,HL,89.2397,22.7246,2665049.4,552068.1,0.220,1.616,2.920,0.920,7.010,39.500,54.900,84.700,6.100,0.698
41,MHL,89.2445,22.7175,2665540.071,551279.6623,0.108,1.288,2.350,0.560,7.120,26.600,15.000,62.400,3.800,0.523
42,HL,89.2153,22.7228,2662540.071,551879.6623,0.177,1.340,4.630,2.130,7.070,49.700,323.700,117.300,9.600,0.989
43,HL,89.2281,22.7249,2663860.062,552102.6252,0.066,0.978,4.770,1.270,7.130,47.100,109.500,104.600,10.700,0.924
44,MHL,89.2318,22.7121,2664229.1,550685.1,0.085,1.102,6.230,2.050,6.970,63.600,241.200,137.000,14.000,1.131
45,MHL,89.2265,22.7006,2663671.948,549413.4897,0.162,1.291,5.310,1.900,7.020,54.100,290.700,112.600,13.300,1.030
46,MHL,89.2226,22.7031,2663280.6,549697.1,0.177,1.443,5.170,2.090,7.080,56.400,327.400,120.200,11.900,1.070
47,MHL,89.2196,22.6956,2662964.8,548867.8,0.200,1.133,5.470,2.040,7.070,55.800,329.800,118.300,14.000,1.040
48,MHL,89.1928,22.7065,2660214.696,550095.5373,0.183,1.327,6.320,1.630,6.810,49.900,159.000,132.800,9.000,1.110
49,MHL,89.195,22.6983,2660440.071,549179.6623,0.233,1.916,5.420,1.390,6.870,47.600,140.900,107.100,9.000,0.917
50,MHL,89.1994,22.6999,2660886.5,549354.6,0.281,2.205,6.420,1.520,6.960,42.900,177.700,115.100,9.000,0.983
51,MHL,89.1411,22.7645,2654941.9,556553.8,0.218,0.871,5.290,1.420,6.970,51.500,115.800,137.600,7.700,1.159
52,MHL,89.1382,22.7653,2654644.8,556637.4,0.148,0.962,5.320,0.930,6.980,26.300,66.100,103.500,4.500,0.918
53,MHL,89.1345,22.7663,2654270,556754.6,0.144,1.252,4.840,0.860,7.040,34.800,36.700,100.200,5.000,2.687
54,MHL,89.1319,22.76,2654000.4,556055.4,0.077,1.281,5.340,1.330,6.940,43.300,89.100,139.100,5.800,9.932
55,MHL,89.1372,22.756,2654539.8,555611.8,0.098,1.536,5.510,1.480,6.650,45.000,148.500,122.900,7.500,1.622
56,MHL,89.1385,22.7514,2654668.2,555104.3,0.114,1.334,9.760,1.670,6.850,48.300,98.800,197.300,6.600,1.658
57,MHL,89.1377,22.7464,2654582.6,554549.9,0.082,1.057,2.440,0.900,6.990,24.100,14.100,70.400,3.300,0.547
58,MHL,89.1409,22.7678,2654929.726,556915.254,0.258,1.360,9.580,0.950,7.010,30.200,74.400,91.900,6.300,0.845
59,HL,89.1863,22.7726,2659595.3,557418.2,0.174,1.543,8.030,1.560,6.850,39.800,219.600,92.400,8.800,0.845
60,HL,89.1895,22.7771,2659927.1,557914.6,0.129,1.694,9.540,1.520,6.840,44.000,164.600,116.200,8.100,1.017
61,HL,89.1994,22.7768,2660940.071,557879.6623,0.188,1.498,4.650,1.700,7.010,39.500,250.300,120.000,8.500,0.792
62,HL,89.2042,22.7805,2661440.071,558279.6623,0.200,1.150,3.410,1.120,7.120,29.200,142.200,77.800,6.900,0.698
63,HL,89.2081,22.7814,2661840.071,558379.6623,0.135,0.832,3.000,1.060,7.100,40.900,70.000,96.000,6.400,0.775
64,HL,89.2149,22.7814,2662540.071,558379.6623,0.181,1.225,2.620,1.060,7.090,30.400,118.900,78.000,6.700,0.692
65,HL,89.2142,22.7779,2662461.9,557989.5747,0.167,0.937,2.190,1.070,7.310,31.900,118.800,77.900,6.600,0.657
66,HL,89.1964,22.7831,2660640.071,558579.6623,0.157,1.098,3.150,1.720,7.150,34.800,134.700,107.000,6.800,0.747
67,HL,89.1886,22.7822,2659840.071,558479.6623,0.193,0.966,4.890,1.140,6.970,41.700,212.000,97.200,9.200,0.820
68,HL,89.193,22.7923,2660297,559596.1,0.159,1.494,2.950,1.140,7.020,28.900,147.900,74.300,7.100,0.650
69,HL,89.1924,22.8057,2660240.071,561079.6623,0.054,0.851,7.550,0.900,6.670,38.400,28.100,121.700,6.600,0.985
70,HL,89.2429,22.8168,2665440.071,562279.6623,0.152,1.113,4.310,0.790,7.020,26.500,44.000,96.000,5.300,0.763
71,MHL,89.107,22.7634,2651436.8,556450.6,0.146,1.123,4.510,0.650,7.540,23.900,14.000,86.400,4.100,0.794
72,MHL,89.1049,22.7694,2651226.1,557118,0.050,1.060,4.970,1.540,6.710,36.000,78.800,157.000,5.000,5.133
73,MHL,89.1039,22.7724,2651126.8,557448.1,0.044,1.288,2.460,1.140,6.740,34.100,43.300,138.300,4.200,2.222
74,MHL,89.1295,22.7664,2653754.3,556768.1,0.080,0.937,6.250,0.740,6.720,21.800,19.800,111.000,3.400,1.010
75,MHL,89.129,22.7683,2653708.804,556984.913,0.085,0.962,4.240,0.790,6.940,32.900,24.100,101.100,4.500,0.952
76,MHL,89.1401,22.7722,2654852.4,557406.5,0.101,1.063,4.940,0.830,7.020,32.900,27.600,102.600,3.900,1.147
77,MHL,89.1392,22.7675,2654753.7,556884.3,0.247,1.440,5.130,0.900,7.010,26.400,66.200,97.900,5.400,0.866
78,HL,89.1624,22.765,2657135,556591.9,0.175,1.320,4.870,1.280,7.000,44.100,146.100,103.300,9.800,0.945
79,HL,89.1593,22.7563,2656810.4,555630.2,0.174,1.232,3.300,1.230,7.050,43.500,124.400,104.100,7.300,0.898
80,MHL,89.1483,22.7454,2655673.826,554434.7175,0.059,1.238,4.680,2.130,7.030,53.800,278.500,148.300,8.100,7.668
81,MHL,89.1501,22.7431,2655858.247,554168.9292,0.079,1.186,5.610,2.200,7.010,63.900,277.000,163.400,9.500,6.032
82,MHL,89.1411,22.7548,2654940.071,555479.6623,0.053,0.790,3.220,2.320,7.010,62.100,248.000,238.500,8.700,14.171
