UPAZILA_ID,POVERTY_PERCENT
BD400108,35.9
BD400114,50
BD400134,36.4
BD201358,42.5
BD400156,46.1
BD400158,41.9
BD400160,46.5
BD400173,41.1
BD400177,48
BD200304,42.9
BD200314,30.8
BD200351,41
BD200373,46
BD200389,32.9
BD200391,42.3
BD200395,53
BD100409,22.8
BD100419,17
BD100428,19.2
BD100447,19.6
BD100485,12.9
BD100602,51.1
BD100603,48.7
BD100607,55.4
BD100610,52.2
BD100651,49.9
BD100632,55.5
BD100636,62.3
BD100662,64.4
BD100669,58.2
BD100694,52.1
BD100918,49.2
BD100921,28.3
BD100925,28.2
BD100929,30.3
BD100954,27.8
BD100965,32.8
BD100991,22.3
BD501006,13.1
BD501020,17.6
BD501027,19.8
BD501033,13.2
BD501040,15.6
BD501054,11.7
BD501067,16.1
BD501081,21.6
BD501085,12.5
BD501088,15.7
BD501094,16.9
BD501095,23.7
BD201202,26.9
BD201233,21.8
BD201204,27.3
BD201207,35.8
BD201213,26
BD201263,25.5
BD201285,30.5
BD201290,43.7
BD201294,31.1
BD201322,45.5
BD201345,46.6
BD201347,61.3
BD201349,53.7
BD201358,56.3
BD201376,53.7
BD201379,49.9
BD201395,50.5
BD507018,20.8
BD507066,25.4
BD507037,26.1
BD507056,24.2
BD501094,26
BD201504,15.5
BD201510,4.9
BD201508,27.9
BD201506,9.2
BD201512,10.5
BD201518,13.5
BD201519,16.9
BD201520,12.4
BD201528,0
BD201533,17.6
BD201535,5.6
BD201537,1.1
BD201543,1.1
BD201541,0.3
BD201547,18.3
BD201553,13.4
BD201555,30
BD201557,0.8
BD201565,3.9
BD201561,8.1
BD201570,14
BD201574,8.5
BD201578,19.1
BD201582,15.2
BD201586,11.5
BD401807,26
BD401823,29.2
BD401831,27.1
BD401855,29.1
BD201909,37.9
BD201915,39.9
BD201918,33.3
BD201927,41.2
BD201931,34.4
BD201967,24.4
BD201933,33.3
BD201936,38.5
BD201940,41.4
BD201954,38.3
BD201972,37.4
BD201974,47.1
BD201975,37.3
BD201981,45
BD201987,45.1
BD201994,37.7
BD202216,28.5
BD202224,26.2
BD202245,31.1
BD202249,40.2
BD202256,30.9
BD202266,34.3
BD202290,38.2
BD202294,37.8
BD302602,12.5
BD302604,13.4
BD302605,9.4
BD302606,1.3
BD302608,1.5
BD302609,10.7
BD302610,24.6
BD302611,14.2
BD302612,19.9
BD302614,22.8
BD302616,1.4
BD302618,23.9
BD302624,9.3
BD302626,3.3
BD302628,12.2
BD302629,11.6
