DISTRICT_ID,SEASON,YEAR,MT
BD1004,Aus,2012-2013,18113
BD2003,Aus,2012-2013,15309
BD1004,Aus,2012-2013,92322
BD1006,Aus,2012-2013,56747
BD1009,Aus,2012-2013,93360
BD5010,Aus,2012-2013,50923
BD2012,Aus,2012-2013,8243
BD2013,Aus,2012-2013,22360
BD5070,Aus,2012-2013,102335
BD2015,Aus,2012-2013,107343
BD4018,Aus,2012-2013,34671
BD2022,Aus,2012-2013,5690
BD2019,Aus,2012-2013,161670
BD3026,Aus,2012-2013,752
BD5527,Aus,2012-2013,10333
BD3029,Aus,2012-2013,9068
BD2030,Aus,2012-2013,27255
BD5532,Aus,2012-2013,110
BD3033,Aus,2012-2013,3730
BD3035,Aus,2012-2013,3224
BD6036,Aus,2012-2013,77574
BD4539,Aus,2012-2013,1062
BD4041,Aus,2012-2013,92290
BD1042,Aus,2012-2013,40919
BD4044,Aus,2012-2013,51147
BD5038,Aus,2012-2013,19
BD2046,Aus,2012-2013,4943
BD4047,Aus,2012-2013,6733
BD3048,Aus,2012-2013,40132
BD5549,Aus,2012-2013,219
BD4050,Aus,2012-2013,84560
BD2051,Aus,2012-2013,62770
BD5552,Aus,2012-2013,0
BD3054,Aus,2012-2013,1998
BD4055,Aus,2012-2013,19150
BD3056,Aus,2012-2013,359
BD6058,Aus,2012-2013,64335
BD4057,Aus,2012-2013,16949
BD3059,Aus,2012-2013,1187
BD4561,Aus,2012-2013,75085
BD5064,Aus,2012-2013,130208
BD4065,Aus,2012-2013,6041
BD3068,Aus,2012-2013,493
BD3067,Aus,2012-2013,328
BD5069,Aus,2012-2013,18747
BD4572,Aus,2012-2013,1418
BD5573,Aus,2012-2013,0
BD2075,Aus,2012-2013,94064
BD5076,Aus,2012-2013,30775
BD5577,Aus,2012-2013,4
BD1078,Aus,2012-2013,111964
BD1079,Aus,2012-2013,53089
BD3082,Aus,2012-2013,3982
BD5081,Aus,2012-2013,95161
BD2084,Aus,2012-2013,9899
BD5585,Aus,2012-2013,1068
BD4087,Aus,2012-2013,20089
BD3086,Aus,2012-2013,8581
BD4589,Aus,2012-2013,11733
BD5088,Aus,2012-2013,10078
BD6090,Aus,2012-2013,3228
BD6091,Aus,2012-2013,77674
BD3093,Aus,2012-2013,709
BD5594,Aus,2012-2013,3916
BD1004,Aus,2013-2014,18613
BD2003,Aus,2013-2014,14955
BD1004,Aus,2013-2014,113110
BD1006,Aus,2013-2014,48335
BD1009,Aus,2013-2014,81528
BD5010,Aus,2013-2014,56120
BD2012,Aus,2013-2014,8127
BD2013,Aus,2013-2014,22552
BD5070,Aus,2013-2014,103380
BD2015,Aus,2013-2014,110759
BD4018,Aus,2013-2014,57826
