UPAZILA_NAME,UPAZILA_PCODE,DISTRICT_PCODE
Bagerhat Sadar,BD400108,BD4001
Chitalmari,BD400114,BD4001
Fakirhat,BD400134,BD4001
Kachua,BD201358,BD4001
Mollahat,BD400156,BD4001
Mongla,BD400158,BD4001
Morrelganj,BD400160,BD4001
Rampal,BD400173,BD4001
Sarankhola,BD400177,BD4001
Alikadam,BD200304,BD2003
Bandarban Sadar,BD200314,BD2003
Lama,BD200351,BD2003
Naikhongchhari,BD200373,BD2003
Rowangchhari,BD200389,BD2003
Ruma,BD200391,BD2003
Thanchi,BD200395,BD2003
Amtali,BD100409,BD1004
Bamna,BD100419,BD1004
Barguna Sadar,BD100428,BD1004
Betagi,BD100447,BD1004
Patharghata,BD100485,BD1004
Agailjhara,BD100602,BD1006
Babuganj,BD100603,BD1006
Bakerganj,BD100607,BD1006
Banari Para,BD100610,BD1006
Barisal Sadar (Kotwali),BD100651,BD1006
Gaurnadi,BD100632,BD1006
Hizla,BD100636,BD1006
Mehendiganj,BD100662,BD1006
Muladi,BD100669,BD1006
Wazirpur,BD100694,BD1006
Bhola Sadar,BD100918,BD1009
Burhanuddin,BD100921,BD1009
Char Fasson,BD100925,BD1009
Daulatkhan,BD100929,BD1009
Lalmohan,BD100954,BD1009
Manpura,BD100965,BD1009
Tazumuddin,BD100991,BD1009
Adamdighi,BD501006,BD5010
Bogra Sadar,BD501020,BD5010
Dhunat,BD501027,BD5010
Dhupchanchia,BD501033,BD5010
Gabtali,BD501040,BD5010
Kahaloo,BD501054,BD5010
Nandigram,BD501067,BD5010
Sariakandi,BD501081,BD5010
Shajahanpur,BD501085,BD5010
Sherpur,BD501088,BD5010
Shibganj,BD501094,BD5010
Sonatola,BD501095,BD5010
Chandpur Sadar,BD201322,BD2013
Faridganj,BD201345,BD2013
Haim Char,BD201347,BD2013
Hajiganj,BD201349,BD2013
Kachua,BD201358,BD2013
Matlab Dakshin,BD201376,BD2013
Matlab Uttar,BD201379,BD2013
Shahrasti,BD201395,BD2013
Anowara,BD201504,BD2015
Bakalia,BD201510,BD2015
Banshkhali,BD201508,BD2015
