ID,DIV_NAME,DIV_PCODE,DIST_NAME,DIST_PCODE,UPAZILA_NAME,UPAZILA_PCODE,UNION_NAME,UNION_PCODE
1,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
2,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
3,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
4,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
5,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
6,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
7,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
8,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
9,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
10,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
11,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
12,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
13,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
14,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
15,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
16,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
17,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
18,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
19,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
20,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
21,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
22,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
23,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
24,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
25,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
26,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
27,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
28,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
29,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
30,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
31,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
32,RAJSHAHI,BD50,BOGRA,BD5010,Adamdighi,BD501006,Kundagram,BD50100654
