ID,PH,SOM,K,CA,MG,N,P,S,B,CU,FE,MN,ZN
1,6.5,1.4,0.1,5.9,0.4,50,11,25,0.3,3,42,13,2
2,7.4,1.5,0.4,6,1.7,40,32,117,1.1,3,20,4,5.2
3,6.9,1.3,0.5,15,1.3,50,32,47,0.2,4,20,3,5
4,7,1.7,0.3,3.1,0.2,27,12,120,1.5,9,70,28,1
5,6.6,0.7,0.2,3,1.2,0,17,11,0.1,2.4,68,6.3,1.7
6,5.8,1.8,0.1,4.2,0.7,0.1,18,12,0.3,28,94,4.9,1.9
7,5.6,1.8,0.1,3.5,0.7,0.1,18,11,0.3,3.6,83,2.2,1.6
8,5.9,1.7,0.1,4.6,1.1,0.1,24,10,0.5,4.1,77,26.6,2.3
9,5,1.2,0.2,3.5,1.1,0.1,19,15,0.3,3.5,305,100,4.1
10,5.7,1,0.2,6.2,2.2,0.1,24,10,0.2,3.6,70,100,3.4
11,5.2,1.2,0.3,5.7,2,0.1,17,14,0.3,3.6,75,90.5,1.9
12,6.3,2.2,0.2,5.8,1.9,0.1,17,17,0.3,5,96,36.4,1.5
13,5.7,2.2,0.1,4.2,1.1,0.2,18,16,0.3,3.2,84,6.6,2.1
14,5.9,2,0.3,5,2,0.1,17,12,0.9,4.6,500,24.1,4.2
15,5.4,2.2,0.1,4.6,0.9,0.2,17,12,0.7,3.6,102,5.6,2.7
16,5.8,1.8,0.1,5.1,1.3,0.1,13,10,0.3,4.9,73,11.8,2
17,5.6,1.6,0.1,3.8,1.3,0.1,5,13,0.3,4.4,257,5.9,2.3
18,5.7,1.4,0.3,3.5,1.1,0.1,13,15,0.4,3,177,6.8,2.2
19,6,1.4,0.1,4.8,1,0.1,9,9,0.8,3,60,5.3,1.7
20,6,2,0.1,4.7,0.9,0.7,17,11,0.2,3.7,92,4.3,1.7
21,5.9,2,0.1,3.7,0.8,0.7,17,11,0.4,2.6,126,4,1.2
22,5.5,1.9,0.1,3.8,0.7,0.3,17,12,0.4,3.4,141,1.6,1.4
23,5.6,2.3,0.2,5.2,1.1,0.1,24,24,0.7,4.2,199,8.7,1.5
24,5.8,1.9,0.1,5.1,1.4,0,22,32,0.5,6.2,75,4.9,2.7
25,6.6,2,0.2,10.1,3.5,0.1,17,12,0.7,6,214,3.6,2.5
26,6.3,2.7,0.3,6.7,2.1,0.1,20,15,0.7,6.4,234,7.5,2.3
27,6.9,1.6,0.1,7.2,1.7,0.1,7,11,0.8,4.4,120,5.8,1.8
28,5.3,1.7,0.1,5.1,1.6,0.1,12,11,0.7,4,208,6.5,2.7
29,6,2.4,0.2,5.5,1.8,0.3,17,18,0.4,4.7,135,19.1,4.8
30,5.8,1.8,0.1,5,1,0.2,17,13,0.3,3.7,109,8.7,1.3
31,6.5,1.7,0.2,8.3,3.1,0.1,12,11,0.4,7.7,245,15.2,2.9
32,6.8,2.2,0.3,11.5,4.8,0,11,17,0.6,10.2,216,13.7,2.5
33,6.3,2.5,0.3,10.5,4.6,0.1,11,20,0.6,10,262,9.2,2.5
34,5.8,1.2,0.3,4.3,1.8,0.1,24,17,0.4,4.1,312,15.4,3.4
35,7.6,1.3,0.1,6.2,2.2,0.1,10,10,0.1,4.5,46,7.9,1.4
36,6.5,1.5,0.2,8.2,3.3,0.1,5,15,0.3,5.6,148,21,1.1
37,6.5,2.8,0.3,13.5,4.8,0.1,9,23,0.5,8.2,112,16.8,1.5
38,6.6,2.9,0.2,10.7,3.5,0.1,8,17,0.6,7,261,7.5,1.6
39,6.4,2.1,0.2,6.2,1.8,0.1,12,17,0.5,4.9,149,5.7,1.7
40,6,2.1,0.2,6.3,2,0.1,15,16,0.4,6.2,276,8.1,1.9
41,6.4,2.1,0.3,13,5.6,0.1,7,24,0.4,8.1,341,22.2,3.2
42,6.7,2.2,0.2,7,1.6,0.1,17,11,0.5,4.5,96,9.9,1.4
43,5.9,1.5,0.2,11.3,4.6,0.1,10,17,0.2,6.8,322,27.1,2.3
44,6,1.5,0.1,5.2,1.5,0,18,28,0.4,4.9,83,3.3,3.3
45,5.9,1.7,0.3,7.4,5.5,0.1,11,19,0.2,7.9,360,39.3,3.4
46,5.4,2.6,0.2,5.4,1.2,0.1,17,26,0.7,3.9,127,11.4,1.9
47,5.3,1.9,0.1,4.4,0.9,0.1,18,15,0.2,3.6,79,7.6,2.4
48,5.8,1.7,0.1,3.6,0.7,0.1,13,11,0.2,2.9,82,4.7,3.5
49,5.9,2.7,0.2,8.4,1.9,0.2,11,12,0.8,6.1,96,22,1.6
50,5.8,2.4,0.2,6.3,1.9,0.1,12,18,0.4,6.4,273,8.9,2.4
51,5.6,2.3,0.1,4.2,1,0.1,18,10,0.3,4.3,111,10,1.9
52,5.7,2.4,0.3,8.3,2.5,0.1,10,15,0.6,5.8,300,8.5,2.3
53,6.3,2.1,0.2,5.1,2,0.1,24,12,0.8,5.1,190,7.8,2.4
54,5.8,1.8,0.1,3,0.9,0,22,19,0.3,2.9,73,1.9,1.4
55,7.3,1,0.2,6.9,3.1,0,11,14,0.2,3.2,55,17.1,2
56,5.9,2,0.2,8.1,3.4,0.1,17,14,0.2,5.4,420,17.7,1.7
57,5.7,1.8,0.2,8,3.3,0,17,37,0.6,4.4,362,9.5,2
58,6.1,2,0.1,5.8,230,0.1,8,10,0.5,4.6,206,8.7,1.3
59,5.6,2.4,0.1,4.2,1.1,0.2,17,13,0.7,3.8,90,8,2.4
60,5.9,2.1,0.1,4,0.9,0.1,24,15,31,3.1,92,10.7,1.2
61,5.8,1.7,0.2,4.7,1.8,0.9,11,44,0.7,5.5,110,100,5.4
62,5.6,1.6,0.1,4.5,1.6,0.1,18,13,0.4,5.2,121,40.2,4.1
63,5.4,2.2,0.1,4.4,0.9,0.1,24,20,0.6,5.4,123,6.2,1.8
64,5.8,2.3,0.2,6.1,1.5,0.2,13,16,0.7,5,102,13.2,1.6
65,5.7,2.2,0.2,5.5,1.3,0.1,11,19,0.5,4.4,77,19.1,1.4
66,5.3,2.4,0.3,5.6,1.9,0.2,18,16,0.3,6.7,127,23.1,1.7
67,5.7,1.3,0.1,3.1,0.6,7,23,14,44,4,339,33,0.8
68,5.5,1,0.1,3,0.6,7,5,23,0.1,4.3,451,69,2.6
69,6.8,2.9,0.1,8.2,2.4,14,3,29,0,3.2,500,58,3.2
70,5.7,2.1,0.1,4.8,1.7,7,17,21,0.1,5.3,300,71,1.7
71,5.5,1.5,0.1,3.1,0.4,7,23,16,0,7.3,463,44,5
72,5.3,1.7,0.1,2.1,0.3,11,17,14,0.4,3,500,26,0.3
73,5.7,1.3,0.2,5.1,1.4,21,8,21,0.6,0.7,87,100,3
74,6.2,2.9,0.1,3.6,1,21,16,23,0,8,500,85,1.8
75,5.3,2.1,0.1,2.2,0.6,17,24,19,0,5.4,500,24,6
76,6.4,2.9,0.1,3.8,1.3,15,17,23,0,2,91,62,2.1
77,5.4,2.3,0.1,3.5,0.6,15,10,19,0,13.4,109,49,1.1
78,6.8,2.1,0.1,6.8,1.6,7,17,19,0.9,3.8,500,21,1.8
79,6,2.1,0.1,2.2,0.4,17,13,14,0.3,2.8,269,12,1.6
80,5.6,2.7,0.1,1.9,0.3,27,5,16,0.3,3.5,100,6,2.7
81,5.4,2.3,0.1,5.3,1.1,14,16,19,0.7,4.5,500,18,1.3
82,6,1.7,0.1,3.6,0.7,7,13,19,0.3,2.2,254,6,1.1
83,5.5,2.5,0.1,2.4,0.5,28,4,18,0.9,2.3,219,100,2.6
