ID,x,y,xm,ym,DIVISION_NAME,DISTRICT_NAME,Land_type,pH,SOM,DEM,NDFI,NDVI
1,88.25598954,24.46837843,323244.6799,2707198.588,RAJSHAHI,CHAPAI,Medium Lowland,7.5,1.9,14,0.131788194,0.013138195
2,89.09706356,23.98702785,408149.5982,2653084.583,RAJSHAHI,PABNA,Medium Lowland,8.1,0.6,13.65925694,-0.160908386,0.41726625
3,89.02431406,24.14663538,400871.4946,2670806.562,RAJSHAHI,NATORE,Highland,8.1,1.4,16.36268234,-0.037456129,0.332249075
4,88.96806812,24.14419181,395154.5792,2670576.953,RAJSHAHI,NATORE,Medium Highland 2,8.1,2,7.431497097,0.075035818,-0.004695313
5,89.28763851,23.97196851,427528.0026,2651306.118,RAJSHAHI,PABNA,Medium Lowland,7.6,2.7,12.64418507,-0.123363867,0.372566879
6,88.85722137,24.1636,383909.0164,2672813.481,RAJSHAHI,RAJSHAHI,Medium Highland 2,6.9,2,16.17922401,-0.203881294,0.392535567
7,89.16614668,23.97225279,415167.6885,2651405.36,RAJSHAHI,PABNA,Medium Highland 2,7.6,1.6,16.72710037,-0.221077412,0.411644787
8,88.37400277,24.39027027,335105.9569,2698402.372,RAJSHAHI,RAJSHAHI,Lowland,6.9,0.7,14.32430935,0.232447296,-0.012957364
9,88.99035195,24.15608079,397428.2916,2671876.889,RAJSHAHI,NATORE,Medium Highland 2,8.3,1.7,7.057690144,0.041584462,0.028991781
10,89.38207372,23.9438912,437122.0116,2648152.146,RAJSHAHI,PABNA,Medium Highland 2,7.2,2.7,14.01597214,-0.198969036,0.423008591
11,89.66907817,23.86178048,466305.607,2638963.215,RAJSHAHI,PABNA,Medium Lowland,7.7,0.4,9.84478569,-0.124986447,0.351407379
12,88.2462462,24.51512589,322322.7095,2712388.61,RAJSHAHI,CHAPAI,Medium Highland 2,7.2,0.5,23.96853828,-0.163143873,0.426019639
13,88.8420911,24.15372743,382362.8016,2671732.913,RAJSHAHI,RAJSHAHI,Highland,7.5,0.9,18.58457375,-0.259061933,0.472517192
14,88.75601434,24.18651621,373649.2684,2675438.762,RAJSHAHI,RAJSHAHI,Medium Lowland,7.3,1.8,11,0.070518665,0.047975
15,89.17144959,24.02904236,415744.1943,2657690.019,RAJSHAHI,PABNA,Highland,7.4,2.6,19.56197548,-0.200654835,0.528458893
16,88.14655059,24.52487733,312234.5332,2713600.678,RAJSHAHI,CHAPAI,Medium Highland 1,6.4,0.7,16,-0.011909677,0.100333959
17,89.3057867,23.92314884,429347.7835,2645891.662,RAJSHAHI,PABNA,Medium Lowland,7.6,1.6,2,0.037198622,0.002944203
18,89.08950443,23.99973459,407389.7011,2654496.462,RAJSHAHI,PABNA,Medium Lowland,8.4,1.5,13.5892992,-0.212334201,0.392261952
19,89.00210434,24.15820626,398623.9941,2672103.676,RAJSHAHI,NATORE,Medium Highland 2,8,2.1,7,0.200087994,0.051204052
20,89.11061457,24.00306801,409539.3496,2654851.828,RAJSHAHI,PABNA,Highland,8,2.5,13.76891708,-0.237818703,0.406120837
21,88.1974136,24.51030856,317367.3236,2711918.798,RAJSHAHI,CHAPAI,Medium Highland 2,6.9,2,24,-0.232260644,0.343469322
22,88.8333267,24.1695542,381486.913,2673492.83,RAJSHAHI,RAJSHAHI,Medium Highland 2,6.8,2.4,17.71453857,-0.255527109,0.450404286
23,88.9874606,24.16566591,397142.2122,2672940.35,RAJSHAHI,NATORE,Lowland,8,1.5,7.764005184,0.197580546,0.007690441
24,88.216257,24.5314508,319307.1557,2714235.646,RAJSHAHI,CHAPAI,Medium Highland 2,6.5,0.8,23.97061729,-0.223128393,0.39387238
25,88.30981138,24.45714361,328685.3781,2705886.559,RAJSHAHI,RAJSHAHI,Medium Highland 2,6.3,0.8,17.26780891,-0.095722727,0.242225751
26,88.1668609,24.51692792,314280.8592,2712692.718,RAJSHAHI,CHAPAI,Medium Highland 1,7.5,1.4,23.44960594,0.100128949,0.060621429
27,89.64944743,23.86021889,464306.3647,2638795.135,RAJSHAHI,PABNA,Lowland,6.3,1.8,11.38499355,-0.141074196,0.388105512
28,88.88528195,24.13801773,386737.2874,2669957.76,RAJSHAHI,NATORE,Medium Highland 2,8.2,2.3,16.08392143,-0.174809679,0.335806727
29,89.01995852,24.15485678,400435.3196,2671719.983,RAJSHAHI,NATORE,Medium Highland 1,7.8,3.6,18.08416367,0.07427226,0.318459511
30,88.80292953,24.14259621,378373.2826,2670533.793,RAJSHAHI,RAJSHAHI,Highland,7.3,1.4,17.76881981,0.034948699,0.019422298
31,89.27651362,23.94663119,426381.7873,2648506.55,RAJSHAHI,PABNA,Medium Highland 2,7.2,2.3,15.42608452,0.015865562,0.047378946
32,88.78805608,24.16011225,376878.7246,2672486.388,RAJSHAHI,RAJSHAHI,Medium Highland 2,7.1,2.5,13.8571043,0.027836667,0.00120625
33,88.21855103,24.46395674,319443.1812,2706757.235,RAJSHAHI,CHAPAI,Medium Highland 2,5.9,1.7,22.90134048,-0.14727354,0.383704305
34,88.20590437,24.48364526,318189.4136,2708954.443,RAJSHAHI,CHAPAI,Highland,7.3,2,23.48280334,-0.219496116,0.456992626
35,89.1217713,24.01379658,410681.5856,2656032.604,RAJSHAHI,PABNA,Highland,8.1,2.9,17.54538536,-0.237836763,0.447863817
36,89.63742005,23.8625275,463082.3675,2639053.812,RAJSHAHI,PABNA,Medium Lowland,6,3.1,10.41783714,-0.14204517,0.421776712
37,88.89223819,24.12939794,387436.6005,2668997.686,RAJSHAHI,NATORE,Medium Highland 2,7,2.8,16.22410965,-0.184178069,0.334358275
38,88.77043633,24.18550652,375113.2677,2675313.998,RAJSHAHI,RAJSHAHI,Highland,7.2,1.3,11.97287941,0.01020974,0.331217796
39,88.15160443,24.55380545,312789.5792,2716797.881,RAJSHAHI,CHAPAI,Medium Highland 2,8.2,0.7,18.43841171,-0.047438312,0.16139172
40,88.1233947,24.62778575,310043.4784,2725030.677,RAJSHAHI,CHAPAI,Highland,8.3,0.3,18,0.08743611,-0.017555714
41,89.09978357,24.01638098,408447.077,2656332.883,RAJSHAHI,PABNA,Highland,8.4,2.4,16.45590401,-0.174476117,0.477912247
42,88.67044521,24.34079638,365120.0086,2692603.375,RAJSHAHI,RAJSHAHI,Highland,7.8,0.5,11.35283089,0.260040969,-0.039406251
43,89.29934763,23.94720892,428705.6545,2648558.794,RAJSHAHI,PABNA,Lowland,7.2,2.8,15.02331638,0.014911764,0.135491863
44,89.1672075,23.96443166,415270.5029,2650538.756,RAJSHAHI,PABNA,Medium Highland 2,7.6,0.6,13.94150257,-0.192228377,0.371301234
45,89.38108422,23.92268555,437011.032,2645804.755,RAJSHAHI,PABNA,Highland,7.2,2,12.98254204,-0.198811606,0.356042951
46,88.75316858,24.19797606,373371.5145,2676710.335,RAJSHAHI,RAJSHAHI,Medium Highland 2,7.2,2,11,0.220967114,0.033865985
47,89.24014872,23.9602454,422689.4577,2650033.356,RAJSHAHI,PABNA,Medium Lowland,7.6,2.2,13.72655773,-0.131078705,0.307122856
48,88.3364288,24.45022646,331374.5696,2705087.769,RAJSHAHI,RAJSHAHI,Medium Lowland,5.8,0.9,22.4896183,-0.162062347,0.460493267
