ID,YEAR,YID,Longitude,Latitude,x,y,Grain_As,Grain_iAs,Straw_As,TF,logTF,WAs,WP,WP_WAs,WFe,WFe_WAs,WEc,WpH,WMg,WNa,WCa,WK,WS,SAs,SPAs,SAoAs,SAoFe,AoFe_AoAs,LogAoFe_AoAs,SpH,SEc,SOC,SAND,SILT,CLAY,SP,ELEV,Year_Irrig,DIS_STW,Variety,Land_type,Soil_As_Class,WFe_WAs,WP_WAs,PER_SPAs,PER_AoAs,LTID
218,YEAR_02,B059,89.2504,22.7871,2666185.1,558982,0.309,0.222,10.2,0.03,-1.519,0.02,0.36,18,2.15,107.5,0.547,7.29,16.4,45,83.3,2.1,1.344,7.6,0.939,2.63,1610,612.2,2.8,8,0.446,0.68,18.7,58.4,22.9,13.94,8,3,10,BR28,HL,Low,1075,0.01,12.36,34.61,1
159,YEAR_01,A166,89.1507,22.7921,2655946.446,559606.6626,0.177,0.136,3.2,0.055,-1.257,0.02,0.666,33.3,6.63,331.5,0.71,6.75,20.4,14.8,99.2,2.8,0.848,8.8,1.7,5.45,3740,686.2,2.8,8.18,1.241,1.36,10.5,48,41.4,16.96,4,1,6,Purbachi,HL,Low,431.5,0.03,19.32,61.93,1
133,YEAR_01,A140,89.2676,22.7811,2667951.3,558310.3,0.16,0.125,4.2,0.038,-1.419,0.027,0.609,22.6,6.4,237,0.78,6.82,20,22.7,125.5,1.8,1.47,13.7,2.34,7.047,2340,332.1,2.5,8.12,0.628,1.27,12.2,46.4,41.4,15.36,4,4,12,Ratna,HL,Low,237.04,0.04,17.08,51.44,1
144,YEAR_01,A151,89.2595,22.7988,2667130.5,560275.6,0.26,0.19,11.6,0.022,-1.649,0.013,0.216,16.6,2.98,229.2,0.49,6.88,12.2,11.3,74.9,1.6,1.294,13.6,2,3.16,2940,930.4,3,8.02,0.492,1.21,12.1,45.4,42.5,15.9,5,5,4,Ratna,HL,Low,229.23,0.06,14.71,23.24,1
140,YEAR_01,A147,89.2397,22.7457,2665063,554405.4,0.22,0.164,7.6,0.029,-1.538,0.016,0.627,39.2,3.65,228.1,0.49,6.86,16.4,8.6,77.2,1.6,0.588,13,2.52,10.2,2850,279.4,2.4,8.23,1.172,1.3,12.5,45.1,42.4,19.28,7,15,8,IET,HL,Low,228.13,0.03,19.38,78.46,1
260,YEAR_02,B102,89.248,22.7897,2665940.071,559279.6623,0.347,0.247,10.5,0.033,-1.481,0.024,0.59,24.6,5.39,224.6,0.54,6.91,14.5,33,75.8,2.7,0.898,17.6,1.514,3.52,1450,411.9,2.6,8.01,0.457,0.74,12.7,36.4,50.9,6.92,4,4,10,Ratna,HL,High,224.58,0.04,8.6,20,1
142,YEAR_01,A149,89.2553,22.7785,2666687.696,558033.6628,0.168,0.13,3.5,0.048,-1.319,0.016,0.308,19.3,3.53,220.6,0.65,6.81,14.1,22.7,103.4,2,2.474,9.2,2.076,3.6,2300,638.9,2.8,7.77,0.499,1.41,11.5,50.4,38.1,16.32,8,2,10,Purbachi,HL,Low,220.63,0.05,22.57,39.13,1
32,YEAR_01,A033,89.208,22.8049,2661840.071,560979.6623,0.158,0.123,5.8,0.027,-1.565,0.033,0.641,19.4,6.31,191.2,0.76,6.86,33.5,13.3,102.7,4.9,0.837,10.28,2.369,6.26,2360,377,2.6,8.17,0.755,1.15,12.3,46.1,41.5,18.42,7,3,25,Purbachi,HL,Low,191.21,0.05,23.04,60.89,1
92,YEAR_01,A099,89.1238,22.8112,2653197.426,561734.5001,0.15,0.118,4.2,0.036,-1.447,0.031,0.998,32.2,5.86,189,0.65,6.8,19.6,16.3,76.5,4.4,0.661,9.4,2.13,4.685,2630,561.4,2.7,8.19,0.827,1.21,11.6,44.1,44.3,18.68,8,11,10,Purbachi,HL,Low,189.03,0.03,22.66,49.84,1
158,YEAR_01,A165,89.127,22.8179,2653540.071,562479.6623,0.169,0.131,1.8,0.094,-1.027,0.043,0.814,18.9,8.05,187.2,0.67,6.73,20.8,12,95.4,4.2,0.797,11.2,3.6,7.5,2990,398.7,2.6,7.89,0.963,1.23,11.1,49.5,39.5,15.63,5,2,5,Purbachi,HL,Low,187.21,0.05,32.14,66.96,1
215,YEAR_02,B056,89.2553,22.7644,2666675.8,556465,0.296,0.214,7.4,0.04,-1.398,0.012,0.47,39.2,2.11,175.8,0.734,7.21,17.1,51,87.4,2.7,2.84,9.3,1.304,2.56,2650,1035.2,3,7.81,0.667,0.7,12.9,54.2,32.9,5.63,6,2,10,BR28,HL,Low,175.83,0.03,14.02,27.53,1
148,YEAR_01,A155,89.2751,22.7177,2668682.83,551283.1105,0.237,0.175,3.2,0.074,-1.13,0.018,0.312,17.4,3.15,175,0.66,6.98,16.8,15.8,99.1,1.7,1.302,10.8,1.65,3.5,2340,668.6,2.8,8.41,1.489,1.23,11.4,45.7,42.9,16.99,5,2,4,Purbachi,HL,Low,175,0.06,15.28,32.41,1
128,YEAR_01,A135,89.2501,22.7646,2666139.999,556493.7506,0.233,0.173,5,0.047,-1.332,0.011,0.271,24.6,1.92,174.5,0.45,7.09,13.6,10.1,76.7,1.7,1.132,8.9,1.995,4.41,2800,634.9,2.8,7.42,0.701,1.41,11.1,51.7,37.2,13.88,6,4,12,BR28,HL,Low,174.55,0.04,22.42,49.55,1
156,YEAR_01,A163,89.1216,22.8175,2652976.8,562436.7,0.188,0.143,3.3,0.057,-1.244,0.042,0.893,21.3,7.32,174.3,0.68,6.8,23.4,18.6,96.4,4.1,0.825,14.7,1.2,7.596,3400,447.6,2.7,8.29,0.841,1.41,10.5,47.9,41.6,18.25,4,3,4,Ratna,HL,Low,174.29,0.05,8.16,51.67,1
131,YEAR_01,A138,89.2705,22.7624,2668237.6,556237.3,0.139,0.111,2.7,0.051,-1.288,0.017,1.138,67,2.91,171.2,1.23,6.87,19.8,8.9,65.1,9.4,0.538,8.6,1.914,5.26,2820,536.1,2.7,7.58,0.966,1.39,11.8,52.2,36,14.27,5,2,15,Purbachi,HL,Low,171.18,0.01,22.26,61.16,1
6,YEAR_01,A006,89.1305,22.7297,2653832.2,552703.1,0.537,0.372,27.1,0.02,-1.703,0.042,1.058,25.2,6.95,165.5,1.82,6.89,43.2,165.7,153.3,6.5,2.764,25.6,9.53,13.585,2500,184,2.3,7.77,1.442,1.74,16.7,43.6,39.8,13.41,2,9,5,BR29,MHL,High,165.48,0.04,37.23,53.07,2
34,YEAR_01,A035,89.1122,22.7593,2651976.3,555998.3,0.154,0.121,3.8,0.041,-1.392,0.032,1.017,31.8,5.19,162.2,1.31,7.11,48.8,71.2,133.8,6.5,1.164,10.1,2.32,5.72,2370,414.3,2.6,8.19,1.005,1.26,11.5,48,40.4,15.67,6,1,5,Purbachi,MHL,Low,162.19,0.03,22.97,56.63,2
216,YEAR_02,B057,89.2518,22.7797,2666329.35,558167.6246,0.335,0.24,7.2,0.047,-1.332,0.019,0.54,28.4,3.08,162.1,0.615,7.17,15.9,12.2,88.7,2.5,1.192,6.6,1.543,4.42,3000,678.7,2.8,7.67,0.492,1.23,14.6,54.2,31.2,12,6,5,10,Purbachi,HL,Low,162.11,0.04,23.38,66.97,1
18,YEAR_01,A018,89.306,22.727,2671868.9,552291.1,0.221,0.165,4.6,0.048,-1.318,0.018,0.338,18.8,2.83,157.2,0.63,7.09,19.9,20.1,82.4,1.3,0.642,4.7,0.857,2.102,2780,1322.5,3.1,8.21,0.853,1.3,11.3,49.3,39.4,18.13,6,5,10,Purbachi,HL,Low,157.22,0.05,18.23,44.72,1
154,YEAR_01,A161,89.1311,22.7954,2653940.071,559979.6623,0.262,0.192,8.7,0.03,-1.521,0.038,0.792,20.8,5.69,149.7,0.74,6.78,26.2,26.5,98.2,4.3,0.836,15.8,6.4,8.201,3340,407.3,2.6,8.09,0.786,1.34,11.8,47,41.2,14.86,4,4,5,Purbachi,HL,High,149.74,0.05,40.51,51.91,1
263,YEAR_02,B105,89.2396,22.8086,2665094.9,561371,0.312,0.224,7.6,0.041,-1.387,0.028,1.44,51.4,4.19,149.6,0.74,7.1,14.7,86,78.5,1.6,0.618,8.5,1.786,5.12,4020,785.2,2.9,7.84,0.466,1.42,17.5,60.8,21.7,22.15,5,10,10,Ratna,HL,Low,149.64,0.02,21.01,60.24,1
93,YEAR_01,A100,89.1262,22.8062,2653440.071,561179.6623,0.108,0.091,1.6,0.068,-1.171,0.021,0.582,27.7,3.13,149,0.48,6.94,18.1,7.6,70.1,4.7,0.575,9.7,3.14,3.6,2340,650,2.8,7.64,0.792,1.39,11.8,52.2,36,14.27,5,6,20,Ratna,HL,Low,149.05,0.04,32.37,37.11,1
10,YEAR_01,A010,89.128,22.7445,2653579.7,554342.9,0.3,0.217,11.8,0.025,-1.595,0.06,0.736,12.3,8.82,147,1.42,6.84,28.7,95.9,157.4,3.7,1.454,12.4,2.943,6.333,2160,341.1,2.5,7.92,1.257,1.39,13.1,44.5,42.4,15.64,3,2,8,IET,MHL,Low,147,0.08,23.73,51.07,2
127,YEAR_01,A134,89.2513,22.7944,2666282.823,559796.0742,0.147,0.116,1.6,0.092,-1.037,0.016,0.318,19.9,2.35,146.9,0.56,7.01,16.2,15.3,85,3.1,1.913,9.7,1.65,5.7,2170,380.7,2.6,7.46,0.435,1.57,12.3,47.6,40.1,15.1,4,8,8,Purbachi,HL,Low,146.88,0.05,17.01,58.76,1
233,YEAR_02,B074,89.2709,22.7077,2668240.071,550179.6623,0.306,0.221,10,0.031,-1.514,0.033,0.48,14.5,4.83,146.4,1.527,7.13,36.1,187,171.8,3.7,4.318,10.6,2.109,5.46,1840,337,2.5,8.43,1.322,0.54,10.4,60.1,29.5,13.62,7,5,10,BR28,MHL,Low,146.36,0.07,19.9,51.51,2
