ID,District,Type,x,y,Wheat_yield,Rice_harvest_date,Rice_yield,Rice_N_applied,Rice_P_applied,Rice_K_applied,Rice_Zn_applied,Rice_S_applied,Wheat_sowing_date,Wheat_seed__rate,Turn_around_time,Wheat_days_maturity,Wheat_N_applied,Wheat_P_applied,Wheat_K_applied,Wheat_S_applied,Wheat_Zn_applied,Wheat_B_applied,Soil_pH,Soil_OC,Soil_TN,Soil_P,Soil_K,Soil_S,Soil_B,Soil_Zn,Sand,Silt,Clay,t2m_80,mx2t_40,mx2t_90,tp_40,tp_60,tp_70,par_90,Irrigation_No,Plough_No,Weeding_No,Wheat_variety_ID,Rice_OM_applied_ID,Aman_residue_retained_ID,Wheat_Insecticide_ID,Seed_treatment_ID,Wheat_OM_applied_ID,Rice_variety_type_ID,Ground_cover_ID,Rice DOT,Rice DOH,Rice Early DOH,Wheat DOS,Wheat DOH,Otimum_Date
B01,Bhola,Cal,90.60845,22.73678,4100,27,4322.5,177.53,38.59,77.19,0,0,35,123.5,20,103,106.5,30.88,57.19,4.17,2.8,0,5.45,1.18,0.29,4.45,0.17,0,3.14,1.2,51.76,32.18,16.06,25.97714704,25.62863104,30.15667049,0.00E+00,0.630778002,1.447654176,756698.5899,2,3,2,2,0,0,1,1,0,2,1,8/15/2014,11/21/2014,10/25/2014,12/11/2014,3/24/2015,11/30/2014
B03,Bhola,Cal,90.64218,22.7121,4459.5,48,4940,42.61,24.7,30.88,0,0,40,154.4,4,103,106.5,30.88,38.59,13.89,2.8,0,5.77,1.31,0.23,4.22,0.17,0,3.31,1.16,55.76,30.32,13.92,26.03447027,25.51777047,30.01409292,0.00E+00,0.591173083,1.417200173,757704.7022,2,2,1,2,1,1,0,0,0,1,1,7/29/2014,12/12/2014,10/25/2014,12/16/2014,3/29/2015,11/30/2014
B05,Bhola,Cal,90.63128,22.63128,3205.3,39,5928,39.77,0,0,0,4.4,39,154.4,12,104,99.4,24.7,30.88,5.56,0,0,5.09,0.5,0.23,8.9,0.14,0,3.35,0.8,52.26,30.82,16.92,26.17507624,25.21799556,29.66689428,0.00E+00,0.474193108,1.445149452,760043.4165,2,2,1,2,0,0,0,0,0,1,2,8/25/2014,12/3/2014,10/25/2014,12/15/2014,3/29/2015,11/30/2014
B06,Bhola,Cal,90.62547,22.7313,3716.3,41,3952,45.45,9.88,15.44,0,3.3,36,123.5,7,102,99.4,24.7,46.31,5.56,2.2,0,6.23,1.05,0.2,7.61,0.16,0,2.8,0.96,53.26,38,8.74,25.99307588,25.59622452,30.11299745,0.00E+00,0.620085013,1.429297586,756988.1678,2,3,2,2,0,0,0,1,1,2,1,8/15/2014,12/5/2014,10/25/2014,12/12/2014,3/24/2015,11/30/2014
B07,Bhola,Cal,90.58852,22.73173,3948.5,31,4940,42.61,18.53,15.44,0,2.2,34,123.5,15,104,90.9,22.23,46.31,11.12,2.2,0,7.05,0.83,0.09,11.86,0.14,0,2.71,0.92,60.76,31.82,7.42,25.9797705,25.63329374,30.16598419,0.00E+00,0.62928831,1.475030499,756698.103,2,3,2,6,1,0,0,1,1,2,1,7/20/2014,11/25/2014,10/25/2014,12/10/2014,3/24/2015,11/30/2014
B09,Bhola,Cal,90.59127,22.72008,4388.6,44,4940,71.01,30.88,46.31,0,8.9,40,123.5,8,102,99.4,24.7,61.75,5.56,0,0,5.78,1.1,0.09,3.98,0.15,110,3.1,1.08,58.76,21.5,19.74,26.0028501,25.59512667,30.11768688,0.00E+00,0.614084987,1.476621823,757058.498,1,3,1,4,0,0,0,1,0,1,1,7/30/2014,12/8/2014,10/25/2014,12/16/2014,3/28/2015,11/30/2014
B11,Bhola,Cal,90.61685,22.6975,4751.3,21,3556.8,56.81,17.78,7.41,0.89,0,35,123.5,5,131,113.6,24.7,55.58,4.45,1.8,0,5.84,1.13,0.2,4.8,0.12,0,3.39,0.68,55.4,31,13.6,26.05402943,25.49220688,29.98784666,0.00E+00,0.577412512,1.452618372,757938.5998,2,2,1,2,1,0,0,0,0,1,1,8/16/2014,11/15/2014,10/25/2014,12/11/2014,3/31/2015,11/30/2014
B12,Bhola,Cal,90.61842,22.70765,3794.9,46,3705,56.81,18.53,9.26,1.11,0,42,123.5,8,102,99.4,24.7,30.88,11.12,0,0,5.85,0.76,0.17,9.09,0.14,0,2.97,0.92,55.9,32.82,11.28,26.03566238,25.52554127,30.02792532,0.00E+00,0.590889042,1.447388147,757648.0095,1,3,1,2,1,0,1,0,0,1,1,8/18/2014,12/10/2014,10/25/2014,12/18/2014,3/30/2015,11/30/2014
B13,Bhola,Cal,90.6231,22.69998,3716.3,41,3705,71.01,23.16,9.65,0.69,0,39,115.8,10,101,106.5,30.88,48.24,0,0,0,5.22,0.83,0.17,27.52,0.14,0,2.62,1.24,56.4,34.82,8.78,26.05149779,25.49413946,29.98919777,0.00E+00,0.579241252,1.444200766,757918.1593,1,2,1,2,0,0,0,0,0,2,1,8/14/2014,12/5/2014,10/25/2014,12/15/2014,3/26/2015,11/30/2014
B14,Bhola,Cal,90.59682,22.6725,3688.4,20,2470,25.25,13.72,20.58,4.94,9.9,22,137.2,14,105,101,27.44,34.31,1.24,1.2,0,6.63,0.97,0.2,14.95,0.15,0,2.92,0.54,54.9,35.32,9.78,26.0923188,25.42790317,29.91287574,0.00E+00,0.547696434,1.484119357,758487.1905,2,3,1,2,0,0,0,1,0,1,1,8/17/2014,11/14/2014,10/25/2014,11/28/2014,3/13/2015,11/30/2014
B15,Bhola,Cal,90.59457,22.6814,4225.6,39,6175,42.61,49.4,46.31,0,0,37,123.5,10,102,85.2,24.7,46.31,16.67,2.2,0,6.05,0.96,0.17,7.97,0.16,0,3.87,0.6,53.9,31.14,14.96,26.07553929,25.46272924,29.9548756,0.00E+00,0.561103919,1.485007564,758209.0332,2,3,1,2,0,1,0,1,1,2,1,8/30/2014,12/3/2014,10/25/2014,12/13/2014,3/25/2015,11/30/2014
B16,Bhola,Cal,90.61427,22.67338,3809.2,35,3040,34.96,19,47.5,0,0,30,126.7,7,106,110.7,25.33,63.33,0,2.3,0,6.56,0.88,0.2,12.54,0.18,0,3.2,0.7,56.8,31,12.2,26.09706276,25.40810228,29.88770072,0.00E+00,0.543794136,1.461895715,758630.8891,1,3,1,5,0,1,0,1,1,2,1,8/18/2014,11/29/2014,10/25/2014,12/6/2014,3/22/2015,11/30/2014
B18,Bhola,Cal,90.67633,22.57122,3251.7,37,2470,28.41,16.06,15.44,0,0,34,123.5,9,102,113.6,24.7,46.31,4.45,0,0,5.61,1.23,0.17,20.14,0.17,0,3.7,0.6,55.9,30.14,13.96,26.27893681,24.88037834,29.30050719,3.62E-06,0.360196401,1.383647761,762333.0693,2,3,1,2,0,0,0,0,0,2,2,8/14/2014,12/1/2014,10/25/2014,12/10/2014,3/22/2015,11/30/2014
B19,Bhola,Cal,90.68097,22.5543,3716.3,50,2470,28.41,0,7.72,0,0,45,138.9,7,100,92.3,24.7,38.59,5.56,0,0,6.35,1.05,0.2,9.25,0.17,0,3.48,0.7,57.22,29.82,12.96,26.30328375,24.79143152,29.2096357,3.37E-06,0.329632212,1.373185662,762881.2525,2,4,2,3,0,0,0,0,1,2,1,8/28/2014,12/14/2014,10/25/2014,12/21/2014,3/31/2015,11/30/2014
B20,Bhola,Cal,90.69108,22.54958,3809.2,43,5488.9,50.5,16.47,0,0,0,39,123.5,8,100,82.1,13.72,20.58,4.94,4.9,0,6.62,0.88,0.2,9.27,0.13,0,3.14,0.56,55.22,34,10.78,26.31130437,24.75261073,29.17014753,3.59E-06,0.318348911,1.359998653,763150.006,2,2,1,4,0,0,1,1,0,1,1,8/25/2014,12/7/2014,10/25/2014,12/15/2014,3/25/2015,11/30/2014
B21,Bhola,Cal,90.71362,22.57037,3887.4,38,1852.5,28.41,18.53,0,0,0,34,123.5,8,103,99.4,18.53,38.59,0,0,0,6.71,0.95,0.17,19.87,0.12,0,5.24,0.52,54.22,34.64,11.14,26.28570627,24.82508536,29.24139833,5.39E-06,0.348137985,1.342550906,762822.7337,2,2,1,5,0,0,0,1,0,2,1,8/23/2014,12/2/2014,10/25/2014,12/10/2014,3/23/2015,11/30/2014
B22,Bhola,Cal,90.73033,22.61167,3887.4,38,3087.5,71.01,24.7,0,0,0,35,102.9,9,101,118.4,20.58,41.17,7.41,0,0,6.85,0.81,0.12,20.54,0.2,150,4.56,0.44,54.78,32.94,12.28,26.22556016,25.01286849,29.43327126,5.01E-06,0.415380136,1.335064221,761719.1925,2,3,1,2,0,0,0,0,1,2,1,8/12/2014,12/2/2014,10/25/2014,12/11/2014,3/22/2015,11/30/2014
