"REGION_ID","STATE","County","Empty Column 1","X","Y","Fips","LCB Mortality Rate","Smoking","PM  25","NO2","SO2","Ozone","Pop 65","Pop Black","Pop Hipanic","Pop White","Education","Poverty %","Income Equality","Uninsured","DEM","Radon Zone Class","Urban Rural","Coal Production"
3,"Alabama","Baldwin County",,789777.5039,884557.0795,1003,48.1,20.8,7.89,0.7939,0.035343,39.79,19.5,9.24,4.54,83.06,66,13.14,4.5,13.34,36.78,"Zone-3","Medium/small metro","No"
3,"Alabama","Butler County",,877731.5725,1007285.71,1013,38.3,26,8.46,0.6344,0.0135,38.31,19,43.94,1.26,52.64,38,26.14,5.1,12.74,111.7,"Zone-3","Nonmetro","No"
3,"Alabama","Butler County",,877731.5725,1007285.71,1013,38.3,26,8.46,0.6344,0.0135,38.31,19,43.94,1.26,52.64,38,26.14,5.1,12.74,111.7,"Zone-3","Nonmetro","No"
3,"Alabama","Chambers County",,984214.6861,1148648.711,1017,49.6,25.1,8.87,0.8442,0.048177,40.1,18.9,39.24,2.14,56.42,47,21.52,4.7,13.34,227.03,"Zone-3","Nonmetro","No"
3,"Alabama","Choctaw County",,726606.4744,1023615.755,1023,31.8,21.8,8.58,0.5934,0.023989,37.07,22.1,41.94,0.86,56.28,55,23.06,5.8,12.86,68.24,"Zone-3","Nonmetro","No"
3,"Alabama","Clarke County",,770408.8693,988910.4968,1025,42,22.6,8.42,0.6432,0.0337,37.68,19,43.96,1.34,52.98,39,24.6,8.2,13.28,69.29,"Zone-3","Nonmetro","No"
3,"Alabama","Coffee County",,946787.0873,975094.3328,1031,53.7,21.2,8.42,0.5698,0.009712,38.46,16.3,17.26,6.76,70.9,60,16.2,4.8,13.16,99.32,"Zone-3","Nonmetro","No"
3,"Alabama","Conecuh County",,851719.0504,968600.8416,1035,46.9,24.9,8.23,0.5873,0.018734,37.92,21.6,45.94,1.84,50.56,35,29.76,4.9,15.16,96.03,"Zone-3","Nonmetro","No"
3,"Alabama","Covington County",,904857.0021,953605.3385,1039,65.5,25.9,8.24,0.5503,0.012516,38.26,20.5,12.7,1.62,83.18,53,20.56,4.6,13.66,86.59,"Zone-3","Nonmetro","No"
3,"Alabama","Crenshaw County",,912418.1539,1008415.674,1041,57.1,22.9,8.45,0.6464,0.011284,38.59,18.3,23.74,1.86,70.64,44,20.78,5.8,13.9,120.06,"Zone-3","Nonmetro","No"
3,"Alabama","Dale County",,981951.9843,982254.8233,1045,55.7,22.2,8.4,0.6045,0.008885,38.61,16.1,19.68,6.14,69.7,58,20.14,5.2,12.4,101.91,"Zone-3","Nonmetro","No"
3,"Alabama","Escambia County",,839009.4497,933580.2072,1053,58.3,25.3,8.08,0.5742,0.0259,38.03,17.3,32,2.16,60.42,38,25.7,5.6,15.64,72.04,"Zone-3","Nonmetro","No"
3,"Alabama","Escambia County",,839009.4497,933580.2072,1053,58.3,25.3,8.08,0.5742,0.0259,38.03,17.3,32,2.16,60.42,38,25.7,5.6,15.64,72.04,"Zone-3","Nonmetro","No"
3,"Alabama","Geneva County",,964463.038,942645.4236,1061,57.3,25.3,8.2,0.5257,0.010643,38.35,19.4,9.5,3.76,83.96,45,22.72,4.9,16.02,66.26,"Zone-3","Medium/small metro","No"
3,"Alabama","Henry County",,1015751.445,995307.1768,1067,51,21.6,8.38,0.6106,0.008434,38.92,21.6,26.7,2.6,68.58,58,18.08,5.1,13.94,106.37,"Zone-3","Medium/small metro","No"
3,"Alabama","Houston County",,1014495.139,954644.0686,1069,48.3,22.3,8.4,0.6355,0.008618,38.69,16.9,26.44,3.32,67.2,59,18.98,5,12.62,71.24,"Zone-3","Medium/small metro","No"
3,"Alabama","Marengo County",,768811.3741,1052639.321,1091,55.4,21,8.71,0.6973,0.032335,37.43,18.9,50.82,2.42,45.36,50,26.54,6.9,11.82,58.92,"Zone-3","Nonmetro","No"
3,"Alabama","Mobile County",,743214.0162,886353.9691,1097,52.1,23.8,8.04,0.913,0.044606,38.78,15.3,35.28,2.78,57.58,60,19.76,5.3,13.88,41.25,"Zone-3","Medium/small metro","No"
3,"Alabama","Monroe County",,815207.5273,981058.0214,1099,44.9,24,8.39,0.6023,0.025802,37.9,18.9,40.86,1.24,54.64,40,26.08,8,14.86,83.24,"Zone-3","Nonmetro","No"
3,"Alabama","Pike County",,946548.7153,1019904.422,1109,48.4,21.9,8.54,0.6164,0.010493,38.76,14.6,36.84,2.22,56.64,59,25.88,6.6,14.36,131.52,"Zone-3","Nonmetro","No"
