FIPS,PM25
1003,7.89
1013,8.46
1013,8.46
1017,8.87
1023,8.58
1025,8.42
1031,8.42
1035,8.23
1039,8.24
1041,8.45
1045,8.4
1053,8.08
1053,8.08
1061,8.2
1067,8.38
1069,8.4
1091,8.71
1097,8.04
1099,8.39
1109,8.54
1123,9.04
1129,8.3
1131,8.76
5001,9.11
5003,8.57
5011,8.32
5011,8.32
5013,8.25
5017,8.68
5019,7.95
5021,9.44
5023,7.97
5025,8.43
5027,7.87
5029,8.31
5031,9.59
5033,7.71
5035,9.62
5037,9.6
5039,8.14
5041,8.92
5043,8.57
5045,8.61
5047,7.76
5053,8.49
5055,9.49
5057,7.65
5059,8.05
5061,7.46
5067,9.31
5069,8.86
5071,7.49
5073,7.79
5075,8.84
5077,9.19
5079,8.66
5081,7.56
5083,7.75
5085,9.05
5087,7.11
5091,7.64
5093,9.47
5095,9.27
5099,7.79
5101,7.01
5103,8.02
5105,7.86
5107,9.07
5109,7.56
5111,9.81
5113,7.16
5115,7.7
5117,9.29
5119,8.96
5123,9.35
5125,8.2
5127,7.33
5131,7.89
5133,7.46
5139,8.16
5141,7.49
5143,7.57
5145,8.97
5147,9.4
5149,7.72
6007,5.77
6011,5.53
6015,3.73
6021,5
6023,3.46
6025,7.48
6031,9.89
6033,3.32
6035,3.67
6041,5.2
6045,3.18
6047,9.24
6049,3.56
6055,5.04
6059,10.98
6067,8.27
6073,7.43
6077,8.57
6089,4.07
6093,3.95
6095,7.35
6097,4.43
6099,8.72
6101,7.24
6103,4.49
6105,3.55
6113,6.7
9003,7.1
10001,9.23
10005,8.65
11001,9.79
12003,7.42
12005,7.76
12007,7.1
12009,6.14
12011,6.37
12013,7.7
12015,7.03
12019,7.06
12021,6.58
12027,7.08
12029,7.07
12031,7.36
12033,7.74
12035,6.81
12037,7.33
12039,7.96
12041,7.08
12043,6.81
12045,7.32
12047,7.73
12049,7.3
12051,6.92
12053,7.52
12055,6.89
12059,8.09
12061,6.1
12063,8.12
12065,7.82
12067,7.2
12069,7.34
12071,6.98
12075,7.14
12077,7.66
12079,7.76
12081,7.63
12085,6.26
12087,5.38
12089,7.51
12091,7.99
12093,6.48
12095,7.32
12097,6.77
12099,6.55
12101,7.77
12103,7.9
12107,7.02
12109,6.89
12111,6.05
12113,7.81
12115,7.32
12117,7.14
12119,7.45
12121,7.47
12123,7.42
12127,6.73
12129,7.64
12131,7.99
12133,7.83
13001,8.27
13003,8.19
13005,8.21
13007,8.63
13009,8.77
13017,8.55
13019,8.44
13021,9.13
13023,8.53
13025,7.86
13027,8.22
13029,8.11
13031,8.3
13033,8.45
13037,8.53
13039,7.62
13043,8.4
13049,7.7
13051,8.27
