FIPS,LBC_Rate
1003,48.1
1013,38.3
1013,38.3
1017,49.6
1023,31.8
1025,42
1031,53.7
1035,46.9
1039,65.5
1041,57.1
1045,55.7
1053,58.3
1053,58.3
1061,57.3
1067,51
1069,48.3
1091,55.4
1097,52.1
1099,44.9
1109,48.4
1123,53.3
1129,52.3
1131,42.5
5001,58.5
5003,63.9
5011,69.9
5011,69.9
5013,88.5
5017,78.2
5019,61
5021,88.2
5023,55.3
5025,74.8
5027,55.6
5029,53.5
5031,47.2
5033,62.5
5035,68.1
5037,82.5
5039,57.2
5041,63.1
5043,50.1
5045,54.3
5047,71.7
5053,60.1
5055,60.4
5057,49.2
5059,61.7
5061,68.2
5067,81.1
5069,60.7
5071,55.4
5073,54
5075,83.3
5077,44.4
5079,63
5081,51.3
5083,66.5
5085,65.7
5087,67.2
5091,57.6
5093,68.7
5095,96.6
5099,75.8
5101,61
5103,59.3
5105,70.1
5107,58.8
5109,69.9
5111,81.7
5113,64.8
5115,57.2
5117,51.2
5119,46.5
5123,59.6
5125,51.4
5127,54.9
5131,57.1
5133,51.8
5139,67.2
5141,53.2
5143,41
5145,61.5
5147,63.1
5149,60.7
6007,40.5
6011,29.2
6015,40.7
6021,52.2
6023,36.3
6025,22.8
6031,38.7
6033,49.3
6035,36.8
6041,21.6
6045,36.2
6047,36
6049,28.4
6055,33.4
6059,27.3
6067,36
6073,29.9
6077,35.6
6089,46.8
6093,38.8
6095,35.6
6097,31.3
6099,38.4
6101,38.3
6103,41.2
6105,36.7
6113,30.1
9003,33.8
10001,47.9
10005,46.1
11001,33.8
12003,56.6
12005,45.9
12007,48.6
12009,50
12011,32.4
12013,74.4
12015,42.5
12019,51.4
12021,26.1
12027,40.2
12029,65.2
12031,46.6
12033,53.4
12035,41.6
12037,51.1
12039,47.5
12041,56
12043,38.1
12045,51.9
12047,64.7
12049,50.8
12051,39.1
12053,52.3
12055,48
12059,59.1
12061,43.3
12063,57.7
12065,30
12067,55.1
12069,45.5
12071,34.9
12075,65.3
12077,60.3
12079,52.4
12081,36.1
12085,36.1
12087,37.5
12089,55.6
12091,50.3
12093,65
12095,34.5
12097,33.5
12099,32.6
12101,50.5
12103,44.5
12107,70.3
12109,41.6
12111,42.6
12113,45.5
12115,35.5
12117,35.7
12119,37.1
12121,64.4
12123,65.1
12127,47.3
12129,66.2
12131,47.9
12133,67.8
13001,49.7
13003,62.5
13005,60.7
13007,42.42
13009,50.9
13017,57.9
13019,47.3
13021,47.7
13023,60
13025,78.3
