FIPS,Smoking
1003,20.8
1013,26
1013,26
1017,25.1
1023,21.8
1025,22.6
1031,21.2
1035,24.9
1039,25.9
1041,22.9
1045,22.2
1053,25.3
1053,25.3
1061,25.3
1067,21.6
1069,22.3
1091,21
1097,23.8
1099,24
1109,21.9
1123,24.5
1129,22.8
1131,24.8
5001,24.1
5003,25
5011,25
5011,25
5013,26.2
5017,25.9
5019,21.8
5021,26.7
5023,23.4
5025,23.6
5027,22.4
5029,25.2
5031,23.3
5033,24.4
5035,26.2
5037,26.3
5039,25.3
5041,25.7
5043,23.4
5045,21.2
5047,25.6
5053,25.1
5055,25.4
5057,24.5
5059,25.3
5061,25.4
5067,27.6
5069,25.5
5071,25.3
5073,24.1
5075,25.5
5077,28
5079,27
5081,24.7
5083,25.9
5085,23
5087,26.1
5091,27.1
5093,27.5
5095,26.3
5099,26.1
5101,24.1
5103,25.3
5105,25.7
5107,26.9
5109,24.8
5111,28.2
5113,25.8
5115,23
5117,24.4
5119,21.3
5123,27.1
5125,22.7
5127,26.6
5131,24.6
5133,24.8
5139,25
5141,25.6
5143,22
5145,22.4
5147,26.4
5149,25.3
6007,18.3
6011,16.8
6015,21.8
6021,17.7
6023,19.3
6025,15
6031,16.6
6033,20.4
6035,20.1
6041,11.5
6045,18.8
6047,16.6
6049,18.5
6055,13.2
6059,11.5
6067,15.7
6073,13.1
6077,16.6
6089,19.7
6093,19.2
6095,14.7
6097,14.6
6099,16.9
6101,16.5
6103,19.7
6105,19.8
6113,12.4
9003,15
10001,22.6
10005,21.2
11001,17.6
12003,24
12005,24.6
12007,21.3
12009,19.3
12011,22.2
12013,25.1
12015,24.8
12019,22.1
12021,20
12027,22.5
12029,25.6
12031,23.4
12033,24.5
12035,23.8
12037,22.3
12039,22.2
12041,24.9
12043,23
12045,20.9
12047,25.8
12049,22.6
12051,22.2
12053,22.3
12055,23.1
12059,22.3
12061,16.8
12063,24.7
12065,23.6
12067,24.5
12069,19.9
12071,20.7
12075,19.1
12077,22.7
12079,23
12081,20.4
12085,16.6
12087,18.4
12089,22.5
12091,22.2
12093,22.9
12095,22.2
12097,18.9
12099,19.6
12101,22.2
12103,21.2
12107,24.5
12109,21.5
12111,23.9
12113,25
12115,20.5
12117,21.6
12119,19.3
12121,26
12123,24.1
12127,23.8
12129,23
12131,22.4
12133,23.8
13001,22.3
13003,23.7
13005,23
13007,23.9
13009,22
13017,21.3
13019,22.6
13021,23.7
13023,23.4
13025,23.6
13027,21.5
13029,21.4
13031,22.8
13033,22.2
13037,23.8
13039,18.8
13043,26.1
13049,23.6
13051,19.9
13053,23.5
13055,18.3
13061,21.8
13065,22
13069,24.6
13071,23.4
13073,19.6
13075,23.1
13079,22.2
13081,24.9
13083,20.9
13087,23.3
13091,21.9
13093,24.6
13095,24.4
13099,23.9
13101,18.1
13103,21.4
13107,23.8
13109,17.9
13125,20.9
13127,19.1
13129,23.8
13131,25.3
13141,22.3
13153,22.5
13155,24.6
13161,24
13163,22.3
13165,23.6
13167,20.8
13169,22
13173,22.9
13175,21.4
13177,22.4
13179,23.9
13181,23.7
13183,23.2
13185,24.9
13189,23.1
13191,23.2
13193,23.5
13197,20.8
13201,21.8
13205,22.1
13209,21.7
13213,22.5
13215,22.4
13225,21
13229,21.1
13233,22.4
13235,18.9
13237,22.3
13239,23.3
13243,23.4
13249,21.9
13251,22.9
13253,22.3
13259,25.9
13261,24.7
13265,23.9
13267,22.8
13269,22.3
13271,25.7
13273,23.7
13275,23.6
13277,23.5
13279,21.4
13283,23.5
13287,23.6
13289,25.4
13299,21.8
13301,23
13303,24.7
13305,23.6
13307,22.4
13309,26.2
13315,20.5
