Foodstatus,Schooling_year,Age,Household_size,Rainfed_area,Irrigated_area,Remittance,No_livestock,Infrastructure_Index,Region,Sex,Caste,Livelihood,School_Class,Household_Class,Remitance_Class,Foodstatus_ID,Sex_ID,Region_ID,Livelihood_ID
1,0,55,3,0.175,0.076,0,3.21,0.381,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,5,25,3,0.258,0,0,1.96,0.726,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,5,25,3,0.257,0,0,1.961,0.727,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,84,2,0.334,0,30.6,2.83,0.765,1,1,1,0,0,0,0,Food adquate,Female,central,Non Agriculture Household
0,0,84,2,0.334,0,30.6,2.83,0.765,1,1,1,0,0,0,0,Food adquate,Female,central,Non Agriculture Household
1,0,16,2,0.127,0.051,0,1.42,0.773,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,65,3,0,0,0,1.48,0.785,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,49,3,0.052,0.016,0,1.41,0.809,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,60,3,0.267,0,0,3.8,0.82,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,74,1,0,0,0,0.72,0.823,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,69,1,0.033,0,2.55,0.01,0.828,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,45,2,0.1,0,0,1,0.829,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,60,3,0.319,0,0,3.871,0.831,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,48,3,0,0,132.6,0,0.838,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,73,1,0.043,0,0,0.656,0.841,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,60,3,0.203,0.153,0,2.65,0.842,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,52,3,0,0,0,0.76,0.844,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,52,3,0,0,0,0.76,0.844,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,73,1,0.128,0.018,2.446,0.599,0.845,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,60,3,0.249,0.145,1.675,2.703,0.845,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,21,2,0.071,0.028,0,0.968,0.846,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,75,3,0.067,0,0,1.6,0.847,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,41,3,1.103,0.254,93.5,1.48,0.847,1,0,1,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
1,0,40,3,1.078,0.237,96.347,1.435,0.851,1,0,1,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
0,0,68,2,0,0,0,4.97,0.851,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,68,2,0,0,0,4.97,0.851,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,74,1,0.157,0.042,5.245,0.506,0.854,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,42,3,1.015,0.282,127.886,1.7,0.854,1,0,1,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
0,0,45,3,0.102,0.153,0,1.45,0.855,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,59,2,0.001,0.003,0,2.92,0.856,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,2,30,3,0,0,0,2.15,0.856,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,68,1,0.167,0.167,0,0.6,0.859,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
0,5,56,2,0,0,0,7.2,0.86,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,24,1,0.001,0,0,1.4,0.861,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,39,3,0.133,0,0,0.94,0.862,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,59,3,0,0,0,2.2,0.865,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,60,1,0.203,0.261,63.75,1.63,0.868,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
0,0,60,3,0,0,0,3.54,0.868,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,60,3,0,0,0,3.54,0.868,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,57,3,2.038,0.54,127.5,3.25,0.87,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,67,2,0.189,0.139,8.608,0.681,0.872,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
0,2,22,3,0.203,0,0,2.16,0.875,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,2,22,3,0.203,0,0,2.16,0.875,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,4,20,2,0.026,0.005,0,2.3,0.875,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,4,20,2,0.026,0.005,0,2.3,0.875,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,4,20,2,0.026,0.005,0,2.3,0.875,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,4,20,2,0.026,0.005,0,2.3,0.875,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,4,20,2,0.026,0.005,0,2.3,0.875,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,69,2,0.016,0.023,0,0.74,0.876,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,73,2,0.207,0.013,0,2.1,0.877,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,78,1,0.008,0,7.65,0,0.882,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,34,3,0.268,0,0,3.458,0.882,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,34,3,0.022,0,0,3.28,0.884,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,32,2,0.2,0,0,0.84,0.884,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,71,3,0.814,0.153,0,0.24,0.885,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,74,2,0.187,0.011,0,1.841,0.885,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,36,3,0.01,0.023,0,0.7,0.886,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,67,2,0.026,0.017,10.2,2.37,0.888,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,67,2,0.026,0.017,10.2,2.37,0.888,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,67,2,0.026,0.017,10.2,2.37,0.888,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,72,2,0.171,0.011,12.792,1.833,0.888,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,36,3,0.023,0.022,0.192,0.702,0.889,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,50,3,0.018,0,0,4.65,0.89,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,52,2,0,0,0,1.47,0.891,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,81,1,0.356,0,0,0.24,0.891,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,67,2,21.087,0,0,0.03,0.891,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,68,2,0,0,12.75,1.4,0.893,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,53,2,0.07,0,3.035,1.404,0.894,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,24,3,0.018,0.035,0,2.3,0.894,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,24,3,0.018,0.035,0,2.3,0.894,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,52,2,0,0,0,1.476,0.895,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,22,3,0.013,0,0,5.02,0.895,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,75,3,0.28,0.102,18.7,0.75,0.896,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,52,2,0.036,0,0,1.475,0.896,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,72,1,0.445,0.064,8.5,0.3,0.898,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,75,2,0.382,0.102,12.75,0.2,0.898,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,72,1,0.442,0.066,8.737,0.294,0.898,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,45,3,0.661,0,0,3.34,0.898,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,75,1,0.037,0,4.411,0.148,0.9,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,35,2,0,0.033,0,0,0.9,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,35,2,0,0.033,0,0,0.9,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,60,3,0,0,0,1.23,0.901,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,60,3,0,0,0,1.23,0.901,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,67,3,1.119,0,34,3.72,0.902,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,72,1,0.479,0.057,7.658,0.411,0.904,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,75,2,0.149,0.009,0,1.52,0.905,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,65,2,0.021,0,10.105,0.568,0.905,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,70,2,0.203,0,0,0.42,0.905,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,54,2,0.002,0.006,3.136,2.467,0.906,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,37,3,0,0,0,0.53,0.907,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,37,3,0,0,0,0.53,0.907,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,68,1,0,0,45.05,0.1,0.907,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
0,0,50,3,0.203,0.203,0,2.26,0.908,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,50,3,0.203,0.203,0,2.26,0.908,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,71,3,0,0,106.25,1.14,0.909,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,71,3,0,0,106.25,1.14,0.909,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,69,2,0.173,0,0,0.571,0.909,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,5,30,2,0,0,212.5,0.71,0.909,1,1,1,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,45,3,0.601,0,14.392,3.486,0.91,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,55,1,0.203,0,0,0,0.912,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,1,38,3,0.763,0,0,3.33,0.913,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,70,2,0.473,0.04,0,0.063,0.913,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,67,2,0.079,0,46.621,0.359,0.914,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,73,1,0.06,0,1.797,0.268,0.914,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,18,1,0,0,72.25,0,0.915,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,40,2,1.001,0,62.05,0.09,0.915,1,1,1,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,42,2,0.014,0.004,0,5.1,0.915,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,22,2,0,0,1.275,0,0.916,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,35,3,0.077,0.098,79.035,1.623,0.918,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
0,0,20,1,0,0,9.52,0.2,0.918,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,20,1,0,0,9.52,0.2,0.918,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,65,1,0.01,0.102,0,2.3,0.918,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,1,37,3,0.614,0.01,0,3.005,0.918,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,77,2,0,0.667,0,0.7,0.919,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,65,1,0.01,0.1,0,2.298,0.919,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,66,3,0.44,0.213,2.064,1.4,0.919,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,24,2,0,0.334,68,4.2,0.919,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,20,2,0,0.367,0,0,0.92,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,79,1,0.051,0,0,0,0.92,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,77,2,0.739,0.137,0,1.6,0.921,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,48,2,0.356,0.254,0,3.1,0.921,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,19,1,0.588,0,91.8,2.1,0.921,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,19,1,0.588,0,91.8,2.1,0.921,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,19,1,0.588,0,91.8,2.1,0.921,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,65,2,1.78,0,0,3.52,0.921,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,65,2,1.78,0,0,3.52,0.921,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,65,2,1.78,0,0,3.52,0.921,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,67,2,0.099,0,0,0,0.921,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,35,3,0.076,0.102,82.45,1.65,0.921,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,67,2,0.118,0,0,0,0.921,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,1,59,2,0,0,0,0.9,0.921,1,0,0,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
1,0,68,2,0.144,0,0,0,0.922,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,64,2,0,0,0,2.75,0.923,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,21,2,0,1.066,0,0.234,0.923,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,51,3,0,0,0,0,0.923,1,0,0,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
1,0,77,2,0,0.605,0.874,0.635,0.923,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,64,2,0.018,0,11.9,0.7,0.923,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,70,2,0.353,0,0,0,0.923,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,41,2,0.012,0.003,0.515,4.851,0.924,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,66,3,0.525,0.254,0,1.4,0.924,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,45,3,0,0.1,0,0.8,0.924,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,45,3,0,0.1,0,0.8,0.924,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,57,1,0.005,0.013,7.013,3.7,0.924,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,70,3,3.67,0,0,1.55,0.924,1,0,1,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
1,0,72,1,0.076,0,0,0.35,0.924,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,86,3,0.051,1.17,42.5,0.67,0.925,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,86,3,0.051,1.17,42.5,0.67,0.925,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,86,3,0.051,1.17,42.5,0.67,0.925,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,78,1,0.049,0.025,0,0,0.925,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
