A_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,A_Depth,A_Ag,A_Al,A_As,A_Ba,A_Be,A_Bi,A_C_Tot,A_C_Inorg,A_C_Org,A_Ca,A_Cd,A_Ce,A_Co,A_Cr,A_Cs,A_Cu,A_Fe,A_Ga,A_Hg,A_In,A_K,A_La,A_Li,A_Mg,A_Mn,A_Mo,A_Na,A_Nb,A_Ni,A_P,A_Pb,A_Rb,A_S,A_Sb,A_Sc,A_Se,A_Sn,A_Sr,A_Te,A_Th,A_Ti,A_Tl,A_U,A_V,A_W,A_Y,A_Zn
C-328943,96,AL,31.3146,-87.1166,2/18/2009,Planted/Cultivated,Pasture/Hay,0-20,<1,0.87,1.6,49,0.2,0.08,0.71,N.D.,0.71,0.07,<0.1,25.2,1.2,11,<5,4.4,0.57,1.96,0.01,<0.02,0.09,11.4,5,0.03,81,0.34,<0.01,5.2,3.2,260,6.8,8.4,<0.01,0.19,1.6,<0.2,0.5,6.2,<0.1,4.4,0.24,<0.1,1.4,14,0.3,3.8,15
C-328929,208,AL,33.8523,-86.9041,2/26/2009,Developed,Low Intensity Residential,0-20,<1,1.15,1.5,118,0.4,0.1,0.88,N.D.,0.88,0.02,<0.1,27.8,2.4,14,<5,6.1,0.54,2.24,0.02,<0.02,0.25,13.8,8,0.05,191,0.36,0.02,3.5,4.6,170,11.6,20,<0.01,0.23,1.6,<0.2,0.5,15.2,<0.1,3.2,0.13,0.2,1.1,16,0.3,4.9,17
C-328930,288,AL,31.2179,-85.8788,2/18/2009,Planted/Cultivated,Fallow,0-20,<1,1.05,1.2,34,0.2,0.07,0.65,N.D.,0.65,0.05,<0.1,42.2,1,8,<5,10.9,0.38,1.98,<0.01,<0.02,0.05,23.4,5,0.03,249,0.41,<0.01,3.4,4.2,510,7,5.7,<0.01,0.19,1.4,<0.2,0.6,3.9,<0.1,3,0.13,<0.1,1,12,0.4,16.3,19
C-329034,656,AL,33.0992,-86.9976,2/23/2009,Forested Upland,Evergreen Forest,0-20,<1,4.17,3.7,316,1.1,0.16,1.14,N.D.,1.14,0.05,<0.1,41.7,7,28,<5,13.8,2.38,9.53,0.03,0.03,0.89,20.6,21,0.16,228,1.19,0.06,8.4,11.5,200,14,57.8,0.01,0.62,7.5,0.5,1.3,30.4,<0.1,8.2,0.31,0.5,2.4,56,0.8,8.8,32
C-328968,912,AL,34.5501,-87.6779,2/25/2009,Developed,Low Intensity Residential,0-5,<1,1.51,2.7,179,0.6,0.09,1.36,N.D.,1.36,0.03,<0.1,61.7,6.1,17,<5,5.2,1.06,3.29,0.03,<0.02,0.44,21,6,0.06,321,0.48,0.06,0.6,6.9,200,14.5,24.6,0.01,0.1,2.2,<0.2,0.4,21.9,<0.1,5,0.05,0.3,1.4,21,<0.1,8.4,32
C-329029,1232,AL,34.3577,-87.313,2/26/2009,Forested Upland,Deciduous Forest,0-10,<1,2.78,4.3,160,0.5,0.19,1.71,N.D.,1.71,0.02,<0.1,32.6,3.5,30,<5,8.4,1.66,6.43,0.05,0.02,0.46,16.3,17,0.11,96,0.66,0.05,9.1,8.4,190,15.4,31.8,0.01,0.46,4.1,0.4,1,27.2,<0.1,7.1,0.28,0.4,2.2,37,0.7,6.7,28
C-328984,1312,AL,31.0634,-85.6928,2/19/2009,Planted/Cultivated,Fallow,0-25,<1,2.14,2.7,50,0.3,0.16,0.89,N.D.,0.89,0.04,<0.1,48.6,1.5,17,<5,15.1,0.9,4.22,0.02,<0.02,0.1,22.3,9,0.04,155,0.76,<0.01,7.1,7.7,680,10.5,9,<0.01,0.3,3.1,0.2,1.1,6.7,<0.1,7.2,0.3,0.1,2,27,0.6,9.1,26
C-329033,1488,AL,34.2848,-85.6099,2/24/2009,Forested Upland,Mixed Forest,0-30,<1,1.83,3.7,185,0.5,0.21,4.59,N.D.,4.59,0.24,0.2,44.9,3.9,22,<5,10.1,1.12,4.65,0.09,<0.02,0.33,20.9,18,0.1,598,0.72,0.04,6.1,7,440,26.6,24.7,0.03,0.4,2.5,0.4,1.3,27.9,<0.1,5.9,0.18,0.3,1.9,30,0.4,9.4,48
C-328905,1680,AL,32.7952,-86.9501,2/23/2009,Forested Upland,Evergreen Forest,0-20,<1,1.78,2.9,77,0.4,0.15,2.32,N.D.,2.32,<0.01,<0.1,39.1,1.3,22,<5,3.2,1.47,4.81,0.03,0.03,0.21,21.1,8,0.04,76,0.22,<0.01,2.1,3.8,100,13.2,14.3,<0.01,0.18,3.1,0.3,1,10.4,<0.1,9.2,0.35,0.1,1.9,26,<0.1,5.7,20
C-328969,1824,AL,31.7278,-87.1307,2/20/2009,Developed,Low Intensity Residential,0-20,<1,1.23,3,41,0.2,0.12,0.89,N.D.,0.89,0.04,<0.1,23.7,1.2,10,<5,9.2,1.4,2.77,0.02,<0.02,0.1,12.8,4,0.06,45,0.27,<0.01,0.1,3.5,320,12,11.3,<0.01,0.12,1.7,0.3,0.9,8.7,<0.1,4.8,0.02,0.1,0.9,22,<0.1,2.4,34
C-328908,2144,AL,30.4554,-87.5496,2/17/2009,Developed,Low Intensity Residential,0-15,<1,1.48,2.3,54,0.2,0.12,3.1,N.D.,3.1,0.04,<0.1,27,1,17,<5,9.7,0.64,3.58,0.05,<0.02,0.1,14.2,7,0.03,278,0.66,<0.01,7,4.5,130,14.3,8.8,0.02,0.36,2.4,0.3,1,8.6,<0.1,5.8,0.25,0.1,1.2,20,0.4,4.8,10
C-328936,2336,AL,32.1407,-85.5465,2/19/2009,Planted/Cultivated,Fallow,0-30,<1,0.91,1.5,43,0.2,0.08,0.6,N.D.,0.6,<0.01,<0.1,87.1,0.6,10,<5,48.1,0.56,2.37,0.02,<0.02,0.11,41.8,5,0.03,73,0.67,<0.01,5.1,2.6,250,10,10.7,<0.01,0.15,1.4,<0.2,0.5,6.1,<0.1,17.4,0.29,0.1,3.2,16,0.2,7.5,12
C-328917,2704,AL,32.9905,-86.651,2/23/2009,Forested Upland,Mixed Forest,0-5,<1,7.33,23.9,412,2.4,0.31,2.99,N.D.,2.99,0.05,<0.1,217,3.7,31,<5,22.3,2.71,17.6,0.05,0.08,1.77,106,21,0.19,258,0.85,0.21,9,9,510,19.3,96.6,0.02,0.39,11.1,0.7,2.2,48,<0.1,19.6,0.23,0.7,3.3,48,0.8,12,23
C-329074,2768,AL,32.5952,-85.5658,2/20/2009,Planted/Cultivated,Pasture/Hay,0-20,<1,1.45,2.3,88,0.4,0.12,3.66,N.D.,3.66,0.32,<0.1,45.1,1.5,11,<5,6.5,0.61,3.37,0.05,<0.02,0.17,22.5,7,0.17,221,0.4,0.02,6.5,3.7,530,14.8,12.1,0.02,0.22,1.9,<0.2,0.6,14,<0.1,9.5,0.19,0.1,1.7,16,0.5,5.1,18
C-328928,2848,AL,32.392,-87.4686,2/21/2009,Developed,Low Intensity Residential,0-15,<1,6.18,10,213,1.6,0.4,2.23,N.D.,2.23,0.25,0.1,88.5,10.1,90,<5,14.5,3.23,13.4,0.05,0.07,0.65,38.9,76,0.33,604,1.55,0.08,16.7,26.9,800,33.2,59.3,0.03,0.94,10.8,0.8,2.9,47.7,<0.1,14.9,0.47,0.6,4.7,91,1,14.8,80
C-328909,2960,AL,34.0736,-87.9234,2/25/2009,Forested Upland,Deciduous Forest,0-15,<1,1.53,1.9,171,0.6,0.08,1.25,N.D.,1.25,0.02,<0.1,33.8,3.5,10,<5,6.1,0.61,3.03,0.03,<0.02,0.29,16.2,9,0.07,662,0.4,0.04,4,7,100,10.5,20.9,<0.01,0.27,1.8,<0.2,0.6,15.4,<0.1,3.6,0.14,0.2,1.1,17,0.3,9,20
C-329072,3052,AL,34.9852,-87.5194,2/25/2009,Planted/Cultivated,Pasture/Hay,0-20,<1,1.36,2.9,58,0.2,0.06,0.79,N.D.,0.79,0.04,<0.1,31.9,0.9,18,<5,4.9,1.36,3.02,0.02,<0.02,0.13,15.9,4,0.03,64,0.81,0.01,2.9,4,170,13.6,8.6,<0.01,0.19,2.6,0.2,0.6,6.1,<0.1,6.4,0.12,<0.1,1.3,22,0.2,3.3,15
C-328904,3168,AL,31.3746,-88.0048,2/17/2009,Developed,Low Intensity Residential,0-20,<1,1.23,1.5,157,0.4,0.09,1.95,N.D.,1.95,0.02,<0.1,58.6,3.8,15,<5,4.6,0.59,2.82,0.04,<0.02,0.34,28.1,8,0.04,173,0.25,0.03,3.5,4.1,130,19.8,19.5,<0.01,0.29,1.9,0.2,0.8,19.2,<0.1,8.8,0.3,0.2,1.9,16,0.1,7.3,16
C-329040,3472,AL,33.3123,-87.8587,2/21/2009,Planted/Cultivated,Pasture/Hay,0-20,<1,0.98,1.6,126,0.4,0.08,1.47,N.D.,1.47,0.07,<0.1,33.6,3,9,<5,5.1,0.53,2.3,0.02,<0.02,0.31,16.3,7,0.05,113,0.28,0.04,5.7,4.3,130,8.9,17.1,<0.01,0.2,1.6,<0.2,0.5,18.6,<0.1,5.4,0.23,0.2,1.3,13,0.3,4.9,17
C-328907,3536,AL,33.6629,-85.66,2/24/2009,Planted/Cultivated,Fallow,0-20,<1,5.82,10.6,384,1.8,0.27,1.93,N.D.,1.93,0.11,0.2,74.7,12.9,42,<5,20.1,3.16,13.2,0.03,0.06,1.58,31.7,15,0.14,695,0.8,0.19,5,16.1,1150,57.6,86.5,0.02,1.53,9.4,0.5,2,39.7,<0.1,12.1,0.16,0.5,3.3,53,0.4,8.7,67
C-328941,3616,AL,30.8919,-88.0869,2/17/2009,Developed,Low Intensity Residential,0-15,<1,0.26,<0.6,22,<0.1,<0.04,0.54,N.D.,0.54,<0.01,<0.1,7.95,0.2,2,<5,2.2,0.15,0.65,0.01,<0.02,0.01,4.4,3,<0.01,12,0.18,<0.01,1.4,1.9,<50,3,1.6,<0.01,0.09,0.4,<0.2,0.2,2.8,<0.1,1.3,0.05,<0.1,0.3,4,<0.1,1,4
C-329035,3728,AL,32.6467,-86.5986,2/23/2009,Planted/Cultivated,Pasture/Hay,0-30,<1,0.93,1.5,80,0.3,0.09,0.85,N.D.,0.85,0.02,<0.1,<0.05,2,13,<5,4.4,0.44,2.51,0.02,<0.02,0.14,<0.5,6,0.04,372,0.36,0.02,4.6,3.9,220,8,11,<0.01,0.17,1.5,<0.2,0.3,7.5,<0.1,<0.2,0.16,0.1,<0.1,12,0.3,11.3,11
C-328977,3792,AL,33.0284,-85.6592,2/23/2009,Developed,Low Intensity Residential,0-5,<1,5.16,2.6,182,0.9,0.19,1.01,N.D.,1.01,<0.01,<0.1,30.6,2.7,29,<5,17.8,3.27,12.7,0.03,0.05,0.55,12.8,12,0.09,149,0.83,0.03,14.8,11.5,270,15.5,37.4,0.01,0.29,8,0.5,2.1,13.9,<0.1,11.7,0.46,0.4,3.5,56,0.8,4.6,35
C-329044,3872,AL,31.9654,-87.0744,2/20/2009,Planted/Cultivated,Pasture/Hay,0-20,<1,6.9,5.9,439,1.9,0.38,2.9,1.8,1.1,7.33,0.2,61.2,14.2,73,7,23.1,3.7,15.3,0.03,0.06,1.56,27.8,38,1.1,238,0.47,0.07,9.1,39,660,20.9,83.5,0.03,0.59,12.3,0.5,1.6,376,<0.1,11.8,0.25,0.6,2,173,0.9,15.5,109
C-329046,3984,AL,34.5247,-86.4085,2/24/2009,Planted/Cultivated,Pasture/Hay,0-30,<1,2.15,4.5,110,0.4,0.2,0.67,N.D.,0.67,0.11,<0.1,49.5,3.3,27,<5,6.3,1.62,5.57,0.03,0.02,0.29,22.1,16,0.1,163,0.92,0.03,11.4,6.5,370,14.2,22.9,0.01,0.47,3.6,0.4,1,20.2,<0.1,8.6,0.4,0.3,2.9,39,0.8,8.6,27
