UNION_ID,x,y,LONG,LAT,DIVISION,DISTRICT,UPAZILA,UNION,NDVI_305_2014,NDVI_321_2014,NDVI_337_2014,NDVI_353_2014,NDVI_001_2105,NDVI_017_2015,NDVI_033_2015,NDVI_049_2015,NDVI_065_2015,NDVI_081_2015,NDVI_097_2015,NDVI_113_2015
10040907,519852.2018,2439890.485,90.1924,22.0637,Barisal,Barguna,Amtali,Amtali,0.769,0.601,0.549,0.448,0.426,0.414,0.409,0.418,0.424,0.469,0.504,0.504
10061031,513008.6331,2524427.722,90.1268,22.8275,Barisal,Barisal,Banaripara,Bisarkandi,0.693,0.572,0.553,0.612,0.615,0.606,0.608,0.64,0.69,0.696,0.677,0.677
10063613,556755.4499,2538579.562,90.5536,22.9544,Barisal,Barisal,Hizla,Bara Jalia,0.675,0.552,0.52,0.518,0.542,0.506,0.508,0.539,0.57,0.563,0.603,0.603
10065177,541836.9141,2508902.173,90.4073,22.6868,Barisal,Barisal,Barisal,Roy Pasha Karapur,0.782,0.653,0.673,0.639,0.605,0.579,0.561,0.632,0.671,0.724,0.726,0.726
10069494,516049.7474,2527785.913,90.1564,22.8578,Barisal,Barisal,Wazirpur,Sholak,0.727,0.587,0.557,0.563,0.554,0.536,0.56,0.66,0.708,0.741,0.714,0.714
10091887,568765.4527,2511180.765,90.6696,22.7065,Barisal,Bhola,Bhola,Bhedaria,0.593,0.478,0.446,0.405,0.418,0.423,0.452,0.496,0.528,0.518,0.532,0.532
10092519,576464.455,2438592.339,90.741,22.0504,Barisal,Bhola,Char Fasson,Aslampur,0.772,0.569,0.543,0.492,0.485,0.494,0.508,0.508,0.497,0.509,0.555,0.555
10092528,576464.455,2438592.339,90.741,22.0504,Barisal,Bhola,Char Fasson,Char Kalmi,0.765,0.59,0.518,0.396,0.364,0.345,0.326,0.415,0.481,0.582,0.648,0.648
10424331,511652.4997,2479302.988,90.1132,22.4198,Barisal,Jhalokati,Kanthalia,Adrabunia,0.807,0.681,0.69,0.605,0.514,0.498,0.51,0.532,0.57,0.583,0.627,0.627
10428440,514418.682,2493380.121,90.1402,22.547,Barisal,Jhalokati,Rajapur,Mathbari,0.808,0.702,0.672,0.582,0.52,0.52,0.527,0.543,0.565,0.571,0.613,0.613
10783853,557271.6776,2482253.362,90.5566,22.4456,Barisal,Patuakhali,Bauphal,Kalaiya,0.719,0.561,0.48,0.41,0.411,0.405,0.401,0.425,0.44,0.481,0.578,0.578
10783889,557271.6776,2482253.362,90.5566,22.4456,Barisal,Patuakhali,Bauphal,Nazirpur,0.721,0.567,0.493,0.434,0.432,0.429,0.432,0.45,0.463,0.482,0.578,0.578
