ID,Longitude,Latitude,WAs,WP,WFe,WEc,WpH,WMg,WNa,WCa,WK,WS,SAs,SPAs,SAoAs,SAoFe,SpH,SEc,SOC,SP,Sand,Silt,Clay,Elevation,Year_Irrigation,Distance_STW,Land_type,Land_type_ID
1,89.1134,22.7544,0.059,0.761,3.44,1.03,7.03,33.9,69.4,99.1,5.3,2.936,29.1,9.89,13.28,2500,7.74,1.128,1.66,13.79,16.3,44.8,38.9,3,14,5,MHL,2
2,89.1232,22.7576,0.059,1.194,4.93,1.07,7.06,34.1,74.6,94.3,5.7,2.826,45.1,10.7,21.9,2670,7.87,1.021,1.26,15.31,11.1,48.7,40.2,5,20,6,MHL,2
3,89.1281,22.7499,0.079,1.317,9.7,1.4,6.84,40.5,89.4,133.9,6,2.307,23.2,5.869,12.266,2160,8.03,1.257,1.36,15.54,12.3,46.4,41.3,4,10,5,MHL,2
4,89.1296,22.7568,0.122,1.545,8.58,0.83,6.85,28.4,22.8,103.8,4,1.012,23.8,6.031,12.596,2500,8.07,1.067,1.61,16.28,12.7,43.6,43.7,3,8,8,MHL,2
5,89.1312,22.7366,0.072,0.966,4.78,1.42,6.95,43.4,93,130.5,5.3,2.511,26,6.627,13.805,2060,7.81,1.354,1.26,14.2,12.1,50.9,37.1,5,10,5,MHL,2
6,89.1305,22.7297,0.042,1.058,6.95,1.82,6.89,43.2,165.7,153.3,6.5,2.764,25.6,9.53,13.585,2500,7.77,1.442,1.74,13.41,16.7,43.6,39.8,2,9,5,MHL,2
7,89.1278,22.7302,0.075,0.868,7.81,1.71,6.86,50.1,110.5,172,5.9,2.792,26.3,6.708,13.969,2520,7.66,1.428,1.71,13.26,16.8,43.4,39.8,2,8,10,MHL,2
8,89.1236,22.7345,0.064,0.89,8.14,1.74,6.98,51.5,127,163.2,6.4,1.562,31.6,8.63,19,2140,7.89,1.385,1.69,14.84,13.7,40.8,45.5,3,10,8,MHL,2
9,89.1193,22.7506,0.065,0.639,8.99,1.57,6.82,48.2,96.1,159.6,6.5,1.521,19.2,4.785,10.069,2150,8,1.219,1.41,15.72,12.6,44.9,42.4,3,8,10,MHL,2
10,89.128,22.7445,0.06,0.736,8.82,1.42,6.84,28.7,95.9,157.4,3.7,1.454,12.4,2.943,6.333,2160,7.92,1.257,1.39,15.64,13.1,44.5,42.4,3,2,8,MHL,2
11,89.1289,22.7633,0.096,1.016,5.01,0.9,6.96,36.3,29.1,107.1,4.4,1.302,30.19,7.762,19.7,2180,7.96,0.894,1.71,17.06,12.1,41.3,46.7,2,20,5,MHL,2
12,89.3043,22.7113,0.213,1.6,5.69,0.88,6.85,34.6,20.9,113.1,6,0.982,11.3,2.645,5.728,2580,8.2,1.054,1.25,16.07,12,47.2,40.8,5,4,5,HL,1
13,89.2951,22.7133,0.427,1.241,10.98,0.9,7.01,32.8,19.9,121.2,4.7,1.026,21,5.273,11.058,2630,7.98,1.203,1.18,16.32,11.5,47.3,41.2,6,15,9,MHL,2
14,89.2953,22.721,0.164,1.071,7.87,0.7,6.9,23.5,16.6,91,3.7,0.805,25.4,7.55,11.7,2190,8.1,1.033,1.16,16.1,10.8,48,41.1,6,10,5,HL,1
15,89.2881,22.7448,0.053,0.784,3.06,0.75,7.1,22.9,38.9,78.3,3.9,0.682,10.4,2.401,5.234,3200,8.2,1.416,1.25,16.07,12,47.2,40.8,5,5,10,HL,1
16,89.2968,22.7341,0.076,0.701,2.88,0.71,7.21,20.6,32.2,86.5,3.6,0.737,17.1,3.76,10.28,2220,8.19,1.003,1.3,17.51,10.9,48.5,40.6,5,4,10,HL,1
17,89.3031,22.7341,0.086,1.331,3.59,0.7,7.05,38.7,18.7,62.6,7.2,0.522,11.7,2.753,5.948,2650,8.12,0.949,1.27,15.36,12.2,46.4,41.4,4,4,12,HL,1
18,89.306,22.727,0.018,0.338,2.83,0.63,7.09,19.9,20.1,82.4,1.3,0.642,4.7,0.857,2.102,2780,8.21,0.853,1.3,18.13,11.3,49.3,39.4,6,5,10,HL,1
19,89.2685,22.731,0.145,1.325,5.27,1.47,7.1,52.5,131.8,110.8,9.4,1.545,20.19,5.053,10.613,2230,8.08,1.373,1.65,17.12,12.3,42.1,45.6,3,8,6,MHL,2
20,89.2086,22.7428,0.139,0.68,5.22,2.3,7.03,66.6,214.6,171.4,10.9,8.62,13.6,3.268,7.65,2250,8.02,2.269,1.21,15.9,12.1,45.4,42.5,5,5,9,HL,1
21,89.2516,22.6787,0.287,2.136,5.05,2.06,7.02,56.2,252.7,120.9,11.8,1.052,20.24,5.067,11.6,2250,8.04,1.902,1.61,15.06,13.5,41.7,44.8,3,7,5,MHL,2
22,89.2565,22.6658,0.113,1.429,4.62,2.19,7.05,54.7,328.9,140,12.1,1.093,16.4,3.34,8.53,2290,8.39,2.135,1.44,17.78,12.4,46,41.6,4,3,5,MHL,2
23,89.271,22.6572,0.2,1.766,3.25,1.06,7.01,48.3,51.6,90.2,8.3,0.718,11.9,2.808,5,2950,8.13,1.529,1.54,15.21,12.7,44.6,42.8,3,4,12,MHL,2
24,89.265,22.6632,0.23,1.758,3.01,1.32,7.09,45.5,116.2,85.6,10,0.716,14.7,3.566,7.596,2310,8.02,1.853,1.5,15.01,13.5,41.6,44.9,3,3,5,MHL,2
25,89.2603,22.6658,0.258,2.699,7.45,1.42,7.24,35.9,235.3,78,11.3,0.614,11.4,2.672,4.95,2310,8.14,2.012,1.61,15.68,13,42.8,44.2,3,3,17,MHL,2
26,89.2459,22.6507,0.127,1.602,4.68,0.75,7.15,36.3,46.4,65.5,6.6,0.552,9.8,2.239,4.904,2760,8.07,2.44,1.62,14.18,13.2,41.5,45.3,2,1,5,MHL,2
27,89.2371,22.6642,0.166,1.691,3.41,1.26,7.04,37.4,155.5,90.9,8.1,0.806,19.9,5.067,11.6,2550,8.39,2.37,1.37,17.16,12.9,43.7,43.4,1,7,5,MHL,2
28,89.2217,22.668,0.163,1.182,4.37,1.28,7.15,46.4,123.5,94.7,12.4,0.865,27.7,7.088,14.739,2330,8.22,2.137,1.64,16.45,11.5,42.3,46.2,3,10,9,MHL,2
29,89.2166,22.6713,0.129,1.132,5.01,1.51,7.02,48,173.1,93.1,12.9,0.879,19,4.731,9.9,2340,8.2,2.054,1.66,15.21,12.1,41.6,46.4,2,8,5,MHL,2
30,89.2484,22.7184,0.097,1.208,3.67,0.58,6.91,23.2,15.9,63.9,4,0.547,14.4,3.485,8.27,2350,8.41,1.19,1.34,16.96,13.1,43.3,43.6,1,7,25,MHL,2
31,89.2267,22.8037,0.186,1.468,5.41,0.9,6.97,37.5,65.7,85.8,6.7,0.737,14.9,2.37,5,2350,8.21,0.566,1.44,18.99,10.5,49.5,39.9,4,5,10,HL,1
32,89.208,22.8049,0.033,0.641,6.31,0.76,6.86,33.5,13.3,102.7,4.9,0.837,10.28,2.369,6.26,2360,8.17,0.755,1.15,18.42,12.3,46.1,41.5,7,3,25,HL,1
33,89.1447,22.7707,0.23,1.279,3.83,1.03,7.11,39.6,83.7,92,9.8,0.828,30.5,6.8,17.1,2370,8.16,0.95,1.32,15.46,13.3,44.3,42.3,3,8,5,MHL,2
