County,State,CKD_number,POP_total,Hypertension,Obesity,Heart_disease,Diabetes,Smoking,Food_Env_Index,Excessive_drinking,Unemployed,Median_household_income,POP_65,POP_Black,POP_White
AUTAUGA,Alabama,1326,42438,25.17,35.8,7.9,12.9,18.3,6.6,17,2.8,66444,16,20.7,72.5
BALDWIN,Alabama,5479,170912,26.1,29.7,7.8,12,16.9,7.5,19,3,65658,21.5,8.4,83.1
BARBOUR,Alabama,887,19689,28.05,40.7,11,19.7,25.9,5.8,13,5.7,38649,20,47.4,45.3
BIBB,Alabama,595,17813,44.44,38.7,8.6,14.1,22.8,7.4,16,3.5,48454,16.7,21.3,73.6
BLOUNT,Alabama,1507,44448,35.2,34,9.2,13.5,21.8,7.8,16,2.4,56894,18.7,1.6,86.3
BULLOCK,Alabama,360,8001,23.53,45.8,10,20.6,25.5,4.3,13,4,32027,17.6,68.2,21.3
BUTLER,Alabama,662,15302,32.76,41.2,10.4,18.6,22.3,6.8,14,5.3,39442,21.2,44.7,50.6
CALHOUN,Alabama,3204,89582,28.52,40.9,9.1,14.7,21,6,16,4.1,48166,18.5,21.3,71.1
CHAMBERS,Alabama,1068,26623,31.06,39.1,9.8,17.5,21.7,6.9,15,3.7,45447,20.3,40.1,54.7
CHEROKEE,Alabama,814,21042,40,39.1,10.8,15.9,22.7,7.4,18,2.5,46365,24,4.1,91.1
CHILTON,Alabama,1185,33662,30.43,40.4,9.4,15.2,22.1,7.1,16,2.9,55142,17.5,9.9,79.9
CHOCTAW,Alabama,464,10274,17.44,42.9,11,19.2,22,6.1,15,4.4,40601,23.7,41,56.4
CLARKE,Alabama,811,18725,20.95,40.5,10.7,19.1,23.3,5.1,13,6,45447,20.5,45,51.5
CLAY,Alabama,418,10587,26.47,35.9,10.6,16.4,23.3,7.5,16,2.7,47036,21.2,13.6,80.4
CLEBURNE,Alabama,416,11575,36.51,37.1,9.9,14.4,22.1,7.3,17,2.6,49769,19.7,2.8,92.4
COFFEE,Alabama,1302,39629,28.05,36,8.2,14.1,19.6,6.9,15,2.8,55052,17.1,16.6,68.9
