FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,X,Y,Diabetes_Count,Diabetes_Per,Urban_Rural,Total_POP,Per_Rural_POP,Per_65_POP,Per_Black_POP,Per_Native_POP,Per_Asian_POP,Per_Hispanic_POP,Per_White_POP,Median_Income,Per_Unemployed,Per_Some_College,Per_Obesity,Per_Physically_Inactive,Per_Access_Exercise,Per_uninsured,Food_Env_Index
1001,1,Autauga,Alabama,872679.179,1094432.99,3862,8.1,Urban,56145,42,16.2,20.3,0.5,1.2,3.1,73.2,67565,4.9,61,37,26,56,11,6.6
1003,1,Baldwin,Alabama,789777.5039,884557.0795,19354,8.7,Urban,229287,42.3,21.6,8.5,0.8,1.1,4.6,83.3,71135,5.6,66,33,23,66,11,7.5
1005,1,Barbour,Alabama,997210.9974,1033023.763,2201,9.8,Rural,24589,67.8,20.3,47.8,0.7,0.5,4.7,45.3,38866,7,38,46,36,55,14,5.8
1007,1,Bibb,Alabama,822862.4715,1141553.577,1708,8.7,Urban,22136,68.4,17.1,21,0.5,0.3,2.9,74.2,50907,6.6,38,38,32,18,13,7.4
1009,1,Blount,Alabama,863725.1736,1255735.164,5043,9.6,Urban,57879,90,19,1.5,0.6,0.4,9.5,86.8,55203,4.1,56,33,29,41,13,7.8
1011,1,Bullock,Alabama,964066.8275,1055199.419,721,8.3,Rural,9976,51.4,17.7,68.7,0.9,0.3,8.9,21.1,33124,5.5,28,48,40,3,12,4.3
1013,1,Butler,Alabama,877731.5725,1007285.71,2199,12.1,Rural,19504,71.2,21.4,44.6,0.4,1.4,1.7,51,42268,8.8,37,45,32,45,13,6.8
1015,1,Calhoun,Alabama,933856.5711,1239468.533,13883,13.9,Urban,113469,33.7,18.5,21.2,0.5,0.9,4.1,71.4,50259,7.1,58,37,28,65,13,6
1017,1,Chambers,Alabama,984214.6861,1148648.711,3220,10.4,Urban,32865,49.1,20.6,40,0.3,1.1,2.8,54.8,39318,6.8,54,41,32,50,13,6.9
1019,1,Cherokee,Alabama,949215.6474,1286592.363,2647,9.5,Rural,26294,85.7,24.3,4.1,0.7,0.5,1.8,91.5,50388,4.6,53,41,29,38,13,7.4
1021,1,Chilton,Alabama,862209.9831,1128435.63,3677,9.5,Urban,44397,86.7,17.5,9.9,0.6,0.5,7.9,80.1,52693,5,42,38,31,33,15,7.1
1023,1,Choctaw,Alabama,726606.4744,1023615.755,1363,10.8,Rural,12418,100,24,41.2,0.2,0.2,1.2,56.4,41649,6.7,64,41,31,25,13,6.1
1025,1,Clarke,Alabama,770408.8693,988910.4968,2299,10.5,Rural,23291,76,20.9,44.9,0.6,0.4,1.4,51.8,44178,9,43,41,32,53,14,5.1
1027,1,Clay,Alabama,936619.6404,1183406.326,959,7.5,Rural,13112,100,21.4,13.5,0.6,0.3,3.1,80.6,44763,4,37,39,31,64,14,7.5
1029,1,Cleburne,Alabama,963188.5886,1231820.526,1022,7.3,Rural,14967,100,20.3,2.8,0.5,0.2,2.8,92.4,50134,4.6,50,38,29,42,13,7.3
