Foodstatus_ID,Foodstatus,Schooling_year,Age,Household_size,Rainfed_area,Irrigated_area,Remittance,No_livestock,Infrastructure_index,Region_ID,Region,Sex_ID,Sex,Caste_ID,Caste,Livelihood_ID,Livlihood
1,Food sufficent,0,49,2,0,0,0,0,0.993,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,5,42,7,0,0,0,0,0.995,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,9,30,6,0,0,0,0.74,0.991,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,11,26,2,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,5,58,3,0,0,0,0,0.997,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,5,40,6,0,0,0,0,0.985,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,4,27,3,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,12,56,2,0,0,345000,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,15,35,4,0,0,0,0,0.996,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,12,50,4,0,0,0,0,0.992,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,12,28,3,0,0,0,0,0.99,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,5,60,2,0,0,0,0.8,0.986,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,0,69,7,0,0,0,0,0.997,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,10,31,4,0,0,0,0,0.996,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,12,48,2,0,0,0,0,0.995,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,15,21,1,0,0,130000,0,0.998,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,8,35,5,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,11,27,4,0,0,3000,0,0.996,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,10,36,5,0,0,0,1.6,0.993,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,4,30,2,0,0,0,0,0.983,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,5,24,4,0,0,0,0,0.996,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,10,49,6,0,0,0,0,0.986,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,1,32,5,0,0,0,0,0.997,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,5,38,4,0,0,0,0,0.986,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,0,46,5,0,0,0,0,0.992,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,17,39,5,0,0,0,0,0.998,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,0,78,2,0,0,10800,1.8,0.975,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,3,50,7,0,0,2000,0.1,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,7,29,4,0,0,0,0,0.991,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,4,52,6,0,0,0,0,0.987,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,0,46,4,0,0,0,0,0.993,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,11,52,5,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,7,40,6,0,0,0,0.1,0.993,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,15,51,3,0,0,10000,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,5,60,2,0,0,0,0.8,0.986,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,15,42,7,0,0,0,0,0.996,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,2,22,4,0,0,400,0.03,0.981,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,12,31,4,0,0,0,0,0.993,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,11,49,5,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,10,64,4,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,17,27,1,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,0,60,3,0.26692,0.40038,0,0,0.993,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,0,72,5,0,0,0,0,0.993,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,2,43,5,2.5435,1.32262,330000,0,0.996,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,3,31,5,0,0,0,0,0.995,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,8,29,3,0,0,0,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,9,40,2,0,0,0,0,0.992,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,17,47,4,0,0,0,3.5,0.99,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
1,Food sufficent,0,71,5,0,0,48004,0,1,1,Central,0,Male,1,Janjati caste,0,Non Agriculture Household
