"id.layer_local_c","dataset.code_ascii_txt","id.layer_uuid_txt","acidity_usda.a795_cmolc.kg","aggstb_usda.a1_w.pct","al.dith_usda.a65_w.pct","al.ext_aquaregia_g.kg","al.ext_usda.a1056_mg.kg","al.ext_usda.a69_cmolc.kg","al.ox_usda.a59_w.pct","awc.33.1500kPa_usda.c80_w.frac","b.ext_mel3_mg.kg","bd_usda.a4_g.cm3","c.tot_usda.a622_w.pct","ca.ext_aquaregia_mg.kg","ca.ext_usda.a1059_mg.kg","ca.ext_usda.a722_cmolc.kg","caco3_usda.a54_w.pct","cec_usda.a723_cmolc.kg","cf_usda.c236_w.pct","clay.tot_usda.a334_w.pct","cu.ext_usda.a1063_mg.kg","ec_usda.a364_ds.m","efferv_usda.a479_class","fe.dith_usda.a66_w.pct","fe.ext_aquaregia_g.kg","fe.ext_usda.a1064_mg.kg","fe.ox_usda.a60_w.pct","k.ext_aquaregia_mg.kg","k.ext_usda.a1065_mg.kg","k.ext_usda.a725_cmolc.kg","mg.ext_aquaregia_mg.kg","mg.ext_usda.a1066_mg.kg","mg.ext_usda.a724_cmolc.kg","mn.ext_aquaregia_mg.kg","mn.ext_usda.a1067_mg.kg","mn.ext_usda.a70_mg.kg","n.tot_usda.a623_w.pct","na.ext_aquaregia_mg.kg","na.ext_usda.a1068_mg.kg","na.ext_usda.a726_cmolc.kg","oc_usda.c729_w.pct","p.ext_aquaregia_mg.kg","p.ext_usda.a1070_mg.kg","p.ext_usda.a270_mg.kg","p.ext_usda.a274_mg.kg","ph.cacl2_usda.a481_index","ph.h2o_usda.a268_index","s.ext_mel3_mg.kg","s.tot_usda.a624_w.pct","sand.tot_usda.c60_w.pct","silt.tot_usda.c62_w.pct","wr.10kPa_usda.a414_w.pct","wr.1500kPa_usda.a417_w.pct","wr.33kPa_usda.a415_w.pct","zn.ext_usda.a1073_mg.kg","p.ext_usda.a652_mg.kg"
"49629","KSSL.SSL","00490537b983a715eeb9eb7ce83fbf68",16.61616,NA,0.23235,NA,535.40442,NA,NA,NA,NA,NA,7.1786,NA,2118.51956,14.83819,NA,22.38506,12,22.99427,0.96199,NA,"none",3.3127,NA,157.05265,NA,NA,284.97666,0.67887,NA,740.55658,7.17664,NA,61.5984,NA,0.56698,NA,7.34423,0,7.18,NA,85.83435,NA,NA,5.25,5.33,NA,0.07332,58.3,18.7,NA,22.91169,NA,10.71636,NA
"68469","KSSL.SSL","00ea9780f81792f0fbc7f7738f81adf7",5.56197,NA,0.0649,NA,877.35915,0.28988,0.11713,0.18864,NA,1.30594,0.34198,NA,1694.58639,8.40559,NA,13.74166,0,21.27519,1.48776,0.046,"none",1.01796,NA,144.57742,0.29057,NA,107.01664,0.30323,NA,501.70037,4.75503,NA,76.61951,1.45693,0.08244,NA,24.10982,0,0.34,NA,25.21036,24.80404,NA,4.85,5.82,NA,0.00102,10.9,67.8,NA,7.95107,22.39143,1.30434,NA
"193720","KSSL.SSL","012bebf3b10a791ba25952ee7910c821",0.22052,NA,0.07377,NA,833.80715,NA,0.07343,0.38016,NA,1.31769,0,NA,1443.35846,8.29377,NA,9.43198,0,3.44338,3.97336,0.12205,"none",0.68924,NA,130.2929,0.07011,NA,303.02987,0.80421,NA,414.15744,2.83451,NA,82.43251,NA,0.0202,NA,28.93961,0.08684,0.0012,NA,42.61826,NA,NA,7.57,8.22,NA,0.01919,37.5,59.1,NA,5.17015,33.98997,0.75729,NA
"104765","KSSL.SSL","0144b51c18e7a07024036777d9c8eabe",3.30312,NA,0.14222,NA,519.50657,1.31255,0.0352,NA,NA,NA,0.08623,NA,12.95981,0.11943,NA,2.04872,1,11.32919,0.14054,NA,"none",1.36995,NA,41.43926,0.02857,NA,1.16448,0.02389,NA,9.00461,0.09554,NA,0.01004,0,0.00902,NA,5.74207,0,0.09,NA,1.16448,NA,0.65438,4.22,5.05,NA,0,75.8,12.9,NA,5.13585,NA,0.29112,NA
"50008","KSSL.SSL","015248a0ea0f1a00c694818b04ef3ac5",4.68562,NA,0.19145,NA,387.38176,NA,0.1022,0.18352,NA,1.23761,2.61014,NA,3959.31181,26.18508,NA,28.81632,17,29.52175,2.24848,0.145,"none",2.17282,NA,62.29442,0.16703,NA,264.82381,0.78457,NA,498.63511,4.83002,NA,93.82501,NA,0.19958,NA,9.87468,0,2.61,NA,18.1433,NA,NA,6.75,7.32,NA,0.01039,24.9,45.6,28.00301,12.13018,26.93755,1.52317,NA
"68342","KSSL.SSL","0279d5754c6b272f762e84bce68bb2a5",3.62106,NA,0.05821,NA,486.31247,NA,0.08108,0.06344,NA,1.21582,2.49386,NA,3268.8093,17.67787,1.51041,21.81381,0,24.13516,3.26212,0.359,"very slight",0.89023,NA,128.89481,0.22244,NA,446.5105,1.04128,NA,923.93933,9.29719,NA,253.912,NA,0.21824,NA,16.13621,0,2.3088,NA,33.29825,18.86546,NA,7.13,7.63,NA,0.00922,3.2,72.7,NA,14.9061,20.09495,6.08314,NA
"193739","KSSL.SSL","0340655097a5db979c1d2d6d3acc606b",5.22345,NA,0.08717,NA,1034.78559,NA,0.08013,0.25875,NA,1.15434,0.35451,NA,1185.77718,7.43374,NA,11.17145,0,5.53997,2.63034,0.10306,"none",0.68919,NA,202.80928,0.12587,NA,594.53761,1.67014,NA,231.15624,1.89101,NA,42.84418,NA,0.08103,NA,33.13216,0.10163,0.35,NA,51.18033,NA,NA,5.09,5.92,NA,0,35.4,59.1,NA,8.08361,30.61957,0.82957,NA
"49516","KSSL.SSL","0373b7f3acd05a60817c44bc07a22390",23.04326,NA,0.26921,NA,1928.0236,11.34958,0.27206,NA,NA,NA,0.07997,NA,899.45435,4.52232,NA,34.47448,0,65.72355,2.84271,NA,"none",2.71806,NA,65.42649,0.13983,NA,186.15839,0.39467,NA,1446.51815,13.30819,NA,13.98402,1.37784,0.01493,NA,65.83879,0.23833,0.08,NA,0.71494,NA,NA,4.38,5.03,NA,0.01706,4.7,29.6,NA,27.25061,NA,5.50952,NA
"197157","KSSL.SSL","042bba856ad6828a07fba047dbb5f7a9",29.04118,NA,1.37256,NA,2142.96935,NA,0.91571,NA,NA,NA,4.41761,NA,2308.26572,12.29536,NA,29.91748,19,44.48445,2.44149,NA,"none",6.23268,NA,155.92623,0.57428,NA,221.2436,0.64942,NA,189.53198,1.50937,NA,98.73204,NA,0.24424,NA,12.83434,0.06136,4.42,NA,0,NA,NA,5.33,5.66,NA,0.03186,15.9,39.6,NA,25.73473,NA,2.06461,NA
"49613","KSSL.SSL","0576525308368a4440a82d09bbb7167d",6.99914,NA,0.15831,NA,1019.69356,0.9668,NA,NA,NA,NA,0.18068,NA,60.53333,0,NA,4.55622,3,54.28501,0.12186,NA,"none",3.57217,NA,13.98329,NA,NA,27.42837,0.11885,NA,70.88116,0.4754,NA,13.50601,0.334,0.00914,NA,5.67659,0.11885,0.18,NA,3.4222,NA,NA,4.56,5.5,NA,0,35.1,10.6,NA,17.4772,NA,0.12186,NA
"193738","KSSL.SSL","06741f1442edf21b1262f880d19e7dd5",17.923,27,0.0711,NA,944.36556,NA,0.07416,0.21726,NA,1.0162,1.69279,NA,1530.02433,8.995,NA,12.50237,0,6.46793,2.4074,0.28406,"none",0.69164,NA,212.08479,0.14841,NA,1159.16706,2.69989,NA,379.7647,2.81111,NA,63.13967,NA,0.17232,NA,33.3035,0.08214,1.69,NA,39.36006,NA,NA,6.35,6.86,NA,0.00405,41.8,51.7,NA,9.8791,31.24689,3.57817,NA
"49468","KSSL.SSL","07634feb81e02fb78beeb05c3698c872",NA,NA,0.20111,NA,56.42459,NA,0.13325,0.1155,NA,1.50328,1.71098,NA,7121.69999,48.95027,3.7763,27.4912,3,44.82113,8.45532,0.351,"slight",2.32275,NA,65.11013,0.2809,NA,306.73546,0.82726,NA,989.79531,9.92714,NA,197.01516,NA,0.10556,NA,286.95755,1.4418,1.2564,NA,142.57883,NA,NA,7.68,7.96,NA,0.01672,23.7,31.5,NA,17.8499,25.49651,4.26952,NA
"50019","KSSL.SSL","08319c98abd82ed8f1db1722c68b23c5",7.40732,NA,0.21415,NA,393.14133,NA,0.11894,NA,NA,NA,1.00674,NA,5157.72456,27.74885,NA,27.70434,88,28.73874,3.18164,0.061,"none",6.28913,NA,95.87817,0.2668,NA,99.30053,0.20934,NA,701.24717,5.93123,NA,178.61117,NA,0.07131,NA,30.04762,0,1.01,NA,12.45443,NA,NA,6.16,7.01,NA,0,13.9,57.4,NA,15.02209,NA,0.8582,NA
"183612","KSSL.SSL","0842b36ed12c9807f997f9e514963dcd",3.88226,NA,0.08098,NA,766.6871,NA,0.0784,0.30016,NA,1.12382,0.47623,NA,2037.28806,11.67463,0.12106,15.53384,0.09184,10.33136,3.20633,0.09402,"none",1.03886,NA,113.90301,0.21314,NA,210.02256,0.61326,NA,535.95844,4.29281,NA,42.72068,NA,0.08106,NA,13.62565,0,0.4656,NA,31.43008,NA,NA,7.17,7.88,NA,0,21.2,68.5,NA,7.61714,34.387,0.30392,NA
"50013","KSSL.SSL","08ffa1bf9381ac894b2af9b9bce391e9",5.40903,NA,0.26341,NA,429.38127,NA,0.11412,0.1224,NA,1.43714,0.56982,NA,3910.26647,24.14377,NA,24.72083,31,29.48343,2.18785,0.074,"none",2.6908,NA,48.13747,0.15469,NA,104.38051,0.23717,NA,971.01881,7.61311,NA,45.5727,NA,0.09741,NA,37.19816,0,0.57,NA,2.03599,NA,NA,6.3,7.09,NA,0,24.1,46.4,24.11376,13.60202,22.14374,0.6752,NA
"50002","KSSL.SSL","094548bcf30f026da01a0a936fc8cb2b",4.57789,NA,0.04558,NA,400.65768,NA,0.04317,0.16952,NA,1.62862,0.2508,NA,903.79831,4.4482,NA,6.69811,0.45817,13.98222,1.75732,0.026,"none",0.86549,NA,94.34649,0.18326,NA,51.33798,0.13901,NA,298.83498,2.3631,NA,77.92118,NA,0.03554,NA,23.63741,0,0.25,NA,2.88484,NA,NA,5.07,5.96,NA,0,32.4,53.6,17.13139,5.25773,15.70132,0.42663,NA
"50033","KSSL.SSL","09839dcc830350bd269fa1ca808a51d2",2.82957,NA,0,NA,94.37899,NA,0.02111,0.07137,NA,1.17027,0.20451,NA,17.09712,0,0.11754,8.05019,56,16.35657,0.20587,0.077,"none",2.03956,NA,189.44763,0.36795,NA,6.91708,0.02347,NA,1431.4953,9.85949,NA,59.89654,NA,0,NA,8.97573,0.04695,0.1856,NA,0.19557,NA,NA,6.96,7.56,NA,0,71.8,11.8,36.7573,25.94595,31.97341,0.2985,NA
"188606","KSSL.SSL","09e828484e5529e4d94ad348e49576a1",22.071,NA,0.47957,NA,2068.88692,1.40105,0.74345,NA,NA,NA,0.91382,NA,27.23935,0.18554,NA,16.43849,60,6.07484,0.89293,0.03297,"none",2.15805,NA,115.62867,0.53431,NA,9.4219,0.05943,NA,4.39278,0,NA,11.51565,2.52388,0.08214,NA,7.5642,0.02022,0.91,NA,19.29539,NA,NA,4.79,5.03,NA,0.01335,77.3,16.6,NA,6.94143,NA,0.17448,NA
"70551","KSSL.SSL","0a02f95876776fe5d7af094fae4b0180",7.7615,NA,0.13267,NA,1052.92659,NA,0.13859,0.00584,NA,1.45937,0.60484,NA,3372.4438,18.05544,NA,26.48271,0,36.22459,2.52777,0.045,"none",0.78834,NA,178.65694,0.2095,NA,320.9036,0.99118,NA,894.42994,7.97429,NA,85.27371,NA,0.09909,NA,32.45869,0,0.6,NA,12.62856,5.90394,5.04427,5.44,6.1,NA,0.00516,2.7,61.1,NA,19.96277,20.36912,1.43413,NA
"68341","KSSL.SSL","0b2969866e50f2249b5550293802105b",2.18533,NA,0.06122,NA,730.70039,NA,0.09559,0.11644,NA,1.63661,0.34471,NA,2957.30004,15.28737,1.09377,19.63001,1,26.5636,3.33691,0.404,"very slight",0.83714,NA,189.11533,0.18337,NA,237.98817,0.55857,NA,1168.39985,11.10599,NA,219.04481,NA,0.04309,NA,73.69943,0,0.2092,NA,22.32134,10.48444,NA,7.52,7.85,NA,0,5.1,68.3,NA,13.55786,20.6549,2.71059,NA
