"id.layer_local_c","dataset.code_ascii_txt","id.layer_uuid_txt","longitude.point_wgs84_dd","latitude.point_wgs84_dd","layer.sequence_usda_uint16","layer.upper.depth_usda_cm","layer.lower.depth_usda_cm","observation.date.begin_iso.8601_yyyy.mm.dd","observation.date.end_iso.8601_yyyy.mm.dd","surveyor.title_utf8_txt","id.project_ascii_txt","id.location_olc_txt","layer.texture_usda_txt","pedon.taxa_usda_txt","horizon.designation_usda_txt","longitude.county_wgs84_dd","latitude.county_wgs84_dd","location.point.error_any_m","location.country_iso.3166_txt","observation.ogc.schema.title_ogc_txt","observation.ogc.schema_idn_url","surveyor.contact_ietf_email","surveyor.address_utf8_txt","dataset.title_utf8_txt","dataset.owner_utf8_txt","dataset.address_idn_url","dataset.doi_idf_url","dataset.license.title_ascii_txt","dataset.license.address_idn_url","dataset.contact.name_utf8_txt","dataset.contact_ietf_email","id.dataset.site_ascii_txt","id_mir","id_vis","id_neon"
"49468","KSSL.SSL","07634feb81e02fb78beeb05c3698c872",-66.2459717,17.9610271,NA,0,23,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: CEAP  -   Jobos Bay","779MXQ63+CJ","","Fine, mixed, superactive, isohyperthermic Sodic Haplustert","Ap",-66.25438,18.004475,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12323",TRUE,FALSE,FALSE
"49469","KSSL.SSL","f1601678cb2f4c30f0c99446d96bf147",-66.2459717,17.9610271,NA,23,67,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: CEAP  -   Jobos Bay","779MXQ63+CJ","","Fine, mixed, superactive, isohyperthermic Sodic Haplustert","Bkss",-66.25438,18.004475,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12323",TRUE,FALSE,FALSE
"49475","KSSL.SSL","fb0735903499e1e35c8dd86d056f39e0",-66.2495804,17.9592495,NA,0,35,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: CEAP  -   Jobos Bay","779MXQ52+M5","","Fine, mixed, superactive, isohyperthermic Sodic Haplustert","Ap",-66.25438,18.004475,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12324",TRUE,FALSE,FALSE
"49476","KSSL.SSL","d7f3a2493e21ed33aa2f1212d7eccead",-66.2495804,17.9592495,NA,35,63,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: CEAP  -   Jobos Bay","779MXQ52+M5","","Fine, mixed, superactive, isohyperthermic Sodic Haplustert","Bkss1",-66.25438,18.004475,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12324",TRUE,FALSE,FALSE
"49477","KSSL.SSL","fc41b82d07efda67e187b9283daa74ca",-66.2495804,17.9592495,NA,63,93,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: CEAP  -   Jobos Bay","779MXQ52+M5","","Fine, mixed, superactive, isohyperthermic Sodic Haplustert","Bkss2",-66.25438,18.004475,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12324",TRUE,FALSE,FALSE
"49488","KSSL.SSL","0bb920e60db8120d34cb8fd926dbe7f6",-65.9599444,18.1214444,NA,0,20,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: Benchmark Study","77CP42CR+H2","","Loamy, mixed, active, isohyperthermic, shallow Dystric Eutrudept","Ap",-65.98665,18.1525,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12326",TRUE,FALSE,FALSE
"49489","KSSL.SSL","96f6ab3c9d6ba047a3eeacc353e41c9a",-65.9599444,18.1214444,NA,20,48,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: Benchmark Study","77CP42CR+H2","","Loamy, mixed, active, isohyperthermic, shallow Dystric Eutrudept","Bw1",-65.98665,18.1525,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12326",TRUE,FALSE,FALSE
"49490","KSSL.SSL","3ffd4335ca55e54ee11fd5608649813e",-65.9599444,18.1214444,NA,48,88,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: Benchmark Study","77CP42CR+H2","","Loamy, mixed, active, isohyperthermic, shallow Dystric Eutrudept","Bw2",-65.98665,18.1525,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12326",TRUE,FALSE,FALSE
"49491","KSSL.SSL","407bb7472774524dd9e8c2940c8f4d87",-65.9599444,18.1214444,NA,88,117,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: Benchmark Study","77CP42CR+H2","","Loamy, mixed, active, isohyperthermic, shallow Dystric Eutrudept","C",-65.98665,18.1525,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12326",TRUE,FALSE,FALSE
"49492","KSSL.SSL","28344ee83242dadb2b73d6f6038a4123",-65.9599444,18.1214444,NA,117,150,2009-01-01,2009-12-31,"USDA NRCS staff","KSSL: Benchmark Study","77CP42CR+H2","","Loamy, mixed, active, isohyperthermic, shallow Dystric Eutrudept","Cr",-65.98665,18.1525,30,"USA","Open Soil Spectroscopy Library","https://soilspectroscopy.github.io","rich.ferguson@usda.gov","USDA-NRCS-NSSC, Federal Building, Room 152, Mail Stop, 100 Centennial Mall North, Lincoln, NE","Kellogg Soil Survey Laboratory database","USDA, Soil and Plant Science Division, National Soil Survey Center","http://ncsslabdatamart.sc.egov.usda.gov/","https://doi.org/10.2136/sssaj2019.06.0205","CC-BY","https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx","Scarlett Murphy","Scarlett.Murphy@usda.gov","12326",TRUE,FALSE,FALSE
