stas,TF,Predicted,logTF,var
2.2,0.074545455,0.076891234,-1.12757883,BR28
3.1,0.08,0.066342189,-1.096910013,BR28
4.6,0.049782609,0.054063927,-1.302922347,BR28
5,0.0466,0.051554869,-1.331614083,BR28
5.7,0.064385965,0.047723634,-1.191208791,BR28
5.8,0.045862069,0.047226954,-1.338546357,BR28
6,0.053833333,0.046267545,-1.268948731,BR28
6,0.037333333,0.046267545,-1.427903236,BR28
6,0.032666667,0.046267545,-1.485895175,BR28
6,0.072833333,0.046267545,-1.137669815,BR28
6.2,0.047258065,0.04535104,-1.325524065,BR28
6.4,0.043125,0.044474796,-1.365270892,BR28
6.4,0.03,0.044474796,-1.522878745,BR28
6.6,0.043181818,0.043636372,-1.364699077,BR28
6.8,0.050735294,0.042833515,-1.294689819,BR28
7.2,0.049166667,0.041326308,-1.308329231,BR28
7.2,0.044583333,0.041326308,-1.350827467,BR28
7.4,0.04,0.040618232,-1.397940009,BR28
7.4,0.030675676,0.040618232,-1.513205858,BR28
7.5,0.0532,0.040274828,-1.274088368,BR28
7.5,0.039866667,0.040274828,-1.399390071,BR28
7.7,0.035454545,0.0396083,-1.450328084,BR28
7.7,0.058831169,0.0396083,-1.230392522,BR28
8.1,0.022098765,0.038351283,-1.655631996,BR28
8.2,0.031219512,0.038051882,-1.50557389,BR28
8.4,0.035952381,0.037469809,-1.444272343,BR28
8.4,0.043214286,0.037469809,-1.364372658,BR28
8.5,0.038705882,0.037186844,-1.412223032,BR28
8.5,0.040235294,0.037186844,-1.395392821,BR28
8.7,0.024482759,0.036636367,-1.611139642,BR28
8.7,0.03954023,0.036636367,-1.402960809,BR28
8.9,0.035617978,0.036105617,-1.448330739,BR28
8.9,0.032921348,0.036105617,-1.48252239,BR28
9.5,0.040526316,0.034622164,-1.392262874,BR28
9.9,0.026363636,0.033715297,-1.578994693,BR28
9.9,0.029494949,0.033715297,-1.53025235,BR28
9.9,0.035656566,0.033715297,-1.447860485,BR28
10,0.0311,0.033497958,-1.507239611,BR28
10,0.0306,0.033497958,-1.514278574,BR28
10,0.0211,0.033497958,-1.675717545,BR28
10.1,0.033267327,0.033284195,-1.477982093,BR28
10.2,0.030294118,0.033073924,-1.518641687,BR28
10.2,0.026764706,0.033073924,-1.572437523,BR28
10.5,0.02647619,0.032463269,-1.577144511,BR28
10.6,0.034150943,0.032266183,-1.4665973,BR28
10.7,0.029345794,0.032072208,-1.532454135,BR28
10.7,0.036261682,0.032072208,-1.440552055,BR28
10.7,0.029719626,0.032072208,-1.52695666,BR28
10.8,0.02962963,0.031881275,-1.528273772,BR28
10.9,0.034954128,0.031693316,-1.456501528,BR28
11.2,0.037589286,0.031146636,-1.424935924,BR28
11.2,0.026071429,0.031146636,-1.583835164,BR28
11.3,0.030088496,0.030969935,-1.52159952,BR28
11.5,0.018347826,0.030624465,-1.736415387,BR28
11.6,0.030258621,0.030455584,-1.519150868,BR28
11.9,0.026890756,0.029963713,-1.570396988,BR28
12.1,0.021983471,0.029647602,-1.657903735,BR28
12.1,0.027768595,0.029647602,-1.556446094,BR28
12.1,0.038347107,0.029647602,-1.416267395,BR28
12.3,0.026504065,0.029340483,-1.576687512,BR28
12.4,0.022822581,0.029190182,-1.641635243,BR28
12.9,0.027674419,0.028469552,-1.557921488,BR28
14.1,0.020212766,0.026926944,-1.694374252,BR28
14.3,0.022027972,0.026692549,-1.657025484,BR28
14.8,0.023581081,0.026131765,-1.62743629,BR28
15,0.021266667,0.025917002,-1.672300569,BR28
15,0.025933333,0.025917002,-1.586141663,BR28
15.2,0.019407895,0.025707412,-1.712021566,BR28
15.8,0.031075949,0.02510794,-1.5075756,BR28
16.1,0.020062112,0.024823682,-1.697623349,BR28
16.3,0.014662577,0.024639563,-1.833789694,BR28
16.5,0.024424242,0.02445959,-1.612178906,BR28
17.7,0.022711864,0.023459696,-1.643747221,BR28
18.2,0.017582418,0.023079681,-1.754921399,BR28
18.8,0.016808511,0.022648906,-1.774470757,BR28
18.8,0.01606383,0.022648906,-1.794150901,BR28
19.1,0.022617801,0.02244315,-1.645549621,BR28
19.9,0.021708543,0.021923379,-1.663369324,BR28
21.7,0.011336406,0.020888479,-1.945524609,BR28
21.8,0.015091743,0.020835815,-1.821260599,BR28
22.5,0.017955556,0.020479855,-1.745801142,BR28
23.5,0.019659574,0.02000707,-1.706425897,BR28
25.6,0.013398438,0.019131681,-1.872945829,BR28
25.8,0.012984496,0.019055595,-1.886574903,BR28
