stas,TF,Predicted,logTF,var
5,0.0334,0.051554869,-1.476253533,IET
5.2,0.095384615,0.05039255,-1.020521669,IET
5.5,0.042181818,0.048752853,-1.374874706,IET
5.7,0.048245614,0.047723634,-1.316542162,IET
6.6,0.039393939,0.043636372,-1.404570592,IET
6.6,0.021818182,0.043636372,-1.66118144,IET
6.6,0.040151515,0.043636372,-1.396298063,IET
7,0.044714286,0.042064137,-1.3495537,IET
7.2,0.046527778,0.041326308,-1.332287687,IET
7.3,0.042328767,0.040968658,-1.373364382,IET
7.5,0.0708,0.040274828,-1.149966742,IET
7.5,0.0232,0.040274828,-1.634512015,IET
7.6,0.028947368,0.039938247,-1.538390918,IET
7.7,0.037402597,0.0396083,-1.427098242,IET
8,0.04025,0.038656463,-1.395234115,IET
8.4,0.032380952,0.037469809,-1.489710387,IET
8.5,0.056705882,0.037186844,-1.24637189,IET
8.8,0.058295455,0.036368589,-1.234365304,IET
8.8,0.044545455,0.036368589,-1.351196601,IET
8.9,0.051797753,0.036105617,-1.28568908,IET
8.9,0.026067416,0.036105617,-1.583902017,IET
9,0.046777778,0.035847329,-1.329960412,IET
9.1,0.042417582,0.035593608,-1.372454092,IET
9.1,0.032527473,0.035593608,-1.487749675,IET
9.2,0.035,0.035344339,-1.455931956,IET
9.3,0.051505376,0.035099413,-1.288147438,IET
9.4,0.023297872,0.034858722,-1.632683745,IET
9.5,0.038842105,0.034622164,-1.410697242,IET
9.5,0.039368421,0.034622164,-1.404852004,IET
9.5,0.038842105,0.034622164,-1.410697242,IET
9.7,0.042164948,0.034161047,-1.375048431,IET
9.9,0.033131313,0.033715297,-1.479761353,IET
9.9,0.02969697,0.033715297,-1.52728786,IET
10,0.0163,0.033497958,-1.787812396,IET
10.1,0.024455446,0.033284195,-1.611624412,IET
10.1,0.029405941,0.033284195,-1.531564918,IET
10.3,0.022815534,0.032867064,-1.641769362,IET
10.6,0.027264151,0.032266183,-1.564408022,IET
10.6,0.033962264,0.032266183,-1.469003366,IET
10.7,0.035700935,0.032072208,-1.44732041,IET
10.8,0.033518519,0.031881275,-1.474715179,IET
10.9,0.022844037,0.031693316,-1.641227145,IET
11.3,0.034070796,0.030969935,-1.46761772,IET
11.6,0.027672414,0.030455584,-1.557952954,IET
11.8,0.025423729,0.03012526,-1.594760749,IET
11.9,0.021680672,0.029963713,-1.663927261,IET
12.1,0.041570248,0.029647602,-1.381217385,IET
12.3,0.038373984,0.029340483,-1.41596311,IET
13.2,0.026666667,0.028060442,-1.574031262,IET
13.4,0.02261194,0.027796779,-1.645662176,IET
13.4,0.019402985,0.027796779,-1.712131452,IET
13.5,0.036962963,0.027667567,-1.432233222,IET
13.8,0.029202899,0.027290016,-1.534574034,IET
13.9,0.037769784,0.027167424,-1.422855499,IET
13.9,0.03352518,0.027167424,-1.474628882,IET
14.2,0.021056338,0.026809,-1.676617157,IET
14.3,0.041328671,0.026692549,-1.38374856,IET
14.9,0.03147651,0.026023725,-1.502013427,IET
15.1,0.027880795,0.025811572,-1.554694847,IET
15.9,0.019622642,0.025012086,-1.707242519,IET
16.3,0.025398773,0.024639563,-1.595187263,IET
16.4,0.018353659,0.024549067,-1.736277341,IET
17.2,0.021569767,0.023860451,-1.666154546,IET
17.2,0.035523256,0.023860451,-1.449487234,IET
17.6,0.021420455,0.023538137,-1.669171308,IET
17.9,0.028603352,0.02330529,-1.543583069,IET
17.9,0.024692737,0.02330529,-1.607430769,IET
17.9,0.019329609,0.02330529,-1.713776931,IET
18.3,0.020382514,0.02300603,-1.690742251,IET
18.6,0.020752688,0.022789574,-1.682925643,IET
18.7,0.03459893,0.022718883,-1.460937332,IET
18.7,0.019625668,0.022718883,-1.707175552,IET
19.2,0.023177083,0.022375923,-1.634941224,IET
22.5,0.020044444,0.020479855,-1.698005986,IET
25.6,0.012421875,0.019131681,-1.905812845,IET
26.2,0.017977099,0.018906849,-1.74528039,IET
27,0.015814815,0.018622372,-1.800935884,IET
28.1,0.019359431,0.018257313,-1.713107411,IET
