stas,TF,Predicted,logTF,var
0.9,0.138888889,0.099463583,-0.857332496,Purbachi
1,0.094,0.097297231,-1.026872146,Purbachi
1.6,0.091875,0.085955598,-1.036802648,Purbachi
1.6,0.060625,0.085955598,-1.217348248,Purbachi
1.8,0.093888889,0.082714276,-1.0273858,Purbachi
1.9,0.104736842,0.081180092,-0.979900525,Purbachi
2.3,0.068695652,0.075558136,-1.16307075,Purbachi
2.5,0.0756,0.073023672,-1.121478204,Purbachi
2.7,0.051481481,0.070651955,-1.288348968,Purbachi
2.7,0.06037037,0.070651955,-1.219176162,Purbachi
3.2,0.0553125,0.065346318,-1.257176712,Purbachi
3.2,0.0740625,0.065346318,-1.130401632,Purbachi
3.5,0.048,0.062533444,-1.318758763,Purbachi
3.5,0.064285714,0.062533444,-1.191885528,Purbachi
3.8,0.040526316,0.059958811,-1.392262874,Purbachi
4.2,0.035714286,0.056850395,-1.447158028,Purbachi
4.6,0.048043478,0.054063927,-1.31836556,Purbachi
5.4,0.06537037,0.049286203,-1.184619057,Purbachi
5.8,0.027241379,0.047226954,-1.564770912,Purbachi
5.9,0.033898305,0.046741713,-1.469822017,Purbachi
6,0.036833333,0.046267545,-1.433758981,Purbachi
6.2,0.04983871,0.04535104,-1.302433207,Purbachi
6.2,0.038548387,0.04535104,-1.41399379,Purbachi
6.6,0.04030303,0.043636372,-1.394662302,Purbachi
6.6,0.033939394,0.043636372,-1.469295916,Purbachi
6.9,0.049130435,0.042444765,-1.308649391,Purbachi
7.2,0.046527778,0.041326308,-1.332287687,Purbachi
7.8,0.025897436,0.039284804,-1.586743232,Purbachi
7.9,0.04721519,0.038967582,-1.325918258,Purbachi
8.3,0.04746988,0.037758107,-1.323581866,Purbachi
8.7,0.041724138,0.036636367,-1.379612627,Purbachi
8.7,0.030114943,0.036636367,-1.521217955,Purbachi
9,0.053888889,0.035847329,-1.26850077,Purbachi
9.1,0.026153846,0.035593608,-1.582464438,Purbachi
9.2,0.030543478,0.035344339,-1.515081511,Purbachi
9.9,0.029191919,0.033715297,-1.534737355,Purbachi
10.4,0.02625,0.032663538,-1.580870692,Purbachi
11.2,0.018125,0.031146636,-1.741721985,Purbachi
