stas,TF,Predicted,logTF,var
1.6,0.0675,0.085955598,-1.170696227,Ratna
2.4,0.054166667,0.074269621,-1.266267887,Ratna
2.5,0.0668,0.073023672,-1.175223538,Ratna
3.3,0.056969697,0.064380377,-1.24435609,Ratna
3.4,0.052058824,0.063443141,-1.283505647,Ratna
4.2,0.038095238,0.056850395,-1.419129309,Ratna
5.1,0.044901961,0.050966469,-1.347734692,Ratna
5.2,0.086346154,0.05039255,-1.063757002,Ratna
5.4,0.027962963,0.049286203,-1.553416812,Ratna
6,0.030166667,0.046267545,-1.520472671,Ratna
6.1,0.047377049,0.0458041,-1.324431994,Ratna
6.2,0.036774194,0.04535104,-1.434456837,Ratna
6.3,0.034761905,0.044908043,-1.458896432,Ratna
6.7,0.026268657,0.043230632,-1.58056213,Ratna
6.7,0.04,0.043230632,-1.397940009,Ratna
6.7,0.034925373,0.043230632,-1.456858947,Ratna
7.1,0.033098592,0.041691394,-1.480190481,Ratna
7.2,0.030138889,0.041326308,-1.520872761,Ratna
7.3,0.033424658,0.040968658,-1.475933028,Ratna
7.5,0.059066667,0.040274828,-1.228657535,Ratna
7.5,0.0464,0.040274828,-1.333482019,Ratna
7.6,0.041052632,0.039938247,-1.386658994,Ratna
7.8,0.02474359,0.039284804,-1.606537289,Ratna
7.9,0.028607595,0.038967582,-1.543518651,Ratna
8,0.03375,0.038656463,-1.471726223,Ratna
8,0.03525,0.038656463,-1.452840879,Ratna
9.6,0.026979167,0.034389638,-1.568971464,Ratna
10.5,0.033047619,0.032463269,-1.480859825,Ratna
11.3,0.020265487,0.030969935,-1.693242955,Ratna
11.6,0.022413793,0.030455584,-1.649484643,Ratna
11.9,0.014117647,0.029963713,-1.850237681,Ratna
14.3,0.021678322,0.026692549,-1.663974337,Ratna
14.3,0.020909091,0.026692549,-1.679664847,Ratna
15.7,0.023949045,0.025204921,-1.6207118,Ratna
