stas,TF,Predicted,logTF,var
0.9,0.138888889,0.099463583,-0.857332496,Purbachi
1,0.094,0.097297231,-1.026872146,Purbachi
1.6,0.0675,0.085955598,-1.170696227,Ratna
1.6,0.091875,0.085955598,-1.036802648,Purbachi
1.6,0.060625,0.085955598,-1.217348248,Purbachi
1.8,0.093888889,0.082714276,-1.0273858,Purbachi
1.9,0.104736842,0.081180092,-0.979900525,Purbachi
2.2,0.074545455,0.076891234,-1.12757883,BR28
2.3,0.068695652,0.075558136,-1.16307075,Purbachi
2.4,0.054166667,0.074269621,-1.266267887,Ratna
2.5,0.0668,0.073023672,-1.175223538,Ratna
2.5,0.0756,0.073023672,-1.121478204,Purbachi
2.7,0.051481481,0.070651955,-1.288348968,Purbachi
2.7,0.06037037,0.070651955,-1.219176162,Purbachi
3.1,0.08,0.066342189,-1.096910013,BR28
3.2,0.0553125,0.065346318,-1.257176712,Purbachi
3.2,0.0740625,0.065346318,-1.130401632,Purbachi
3.3,0.056969697,0.064380377,-1.24435609,Ratna
3.4,0.052058824,0.063443141,-1.283505647,Ratna
3.5,0.048,0.062533444,-1.318758763,Purbachi
3.5,0.064285714,0.062533444,-1.191885528,Purbachi
3.8,0.040526316,0.059958811,-1.392262874,Purbachi
4.2,0.035714286,0.056850395,-1.447158028,Purbachi
4.2,0.038095238,0.056850395,-1.419129309,Ratna
4.3,0.057209302,0.05612548,-1.242533351,Minikate
4.6,0.049782609,0.054063927,-1.302922347,BR28
4.6,0.048043478,0.054063927,-1.31836556,Purbachi
4.8,0.06125,0.052777192,-1.212893907,Minikate
5,0.0466,0.051554869,-1.331614083,BR28
5,0.0334,0.051554869,-1.476253533,IET
5.1,0.044901961,0.050966469,-1.347734692,Ratna
5.2,0.095384615,0.05039255,-1.020521669,IET
5.2,0.086346154,0.05039255,-1.063757002,Ratna
5.4,0.027962963,0.049286203,-1.553416812,Ratna
5.4,0.06537037,0.049286203,-1.184619057,Purbachi
5.5,0.042181818,0.048752853,-1.374874706,IET
5.6,0.06625,0.048232135,-1.178814117,Minikate
5.7,0.064385965,0.047723634,-1.191208791,BR28
5.7,0.048245614,0.047723634,-1.316542162,IET
5.7,0.067368421,0.047723634,-1.171543632,Minikate
5.8,0.027241379,0.047226954,-1.564770912,Purbachi
5.8,0.045862069,0.047226954,-1.338546357,BR28
5.9,0.033898305,0.046741713,-1.469822017,Purbachi
6,0.053833333,0.046267545,-1.268948731,BR28
6,0.037333333,0.046267545,-1.427903236,BR28
6,0.036833333,0.046267545,-1.433758981,Purbachi
6,0.030166667,0.046267545,-1.520472671,Ratna
6,0.032666667,0.046267545,-1.485895175,BR28
6,0.072833333,0.046267545,-1.137669815,BR28
6.1,0.047377049,0.0458041,-1.324431994,Ratna
6.2,0.047258065,0.04535104,-1.325524065,BR28
6.2,0.04983871,0.04535104,-1.302433207,Purbachi
6.2,0.036774194,0.04535104,-1.434456837,Ratna
6.2,0.038548387,0.04535104,-1.41399379,Purbachi
6.3,0.034761905,0.044908043,-1.458896432,Ratna
6.4,0.043125,0.044474796,-1.365270892,BR28
6.4,0.03,0.044474796,-1.522878745,BR28
6.6,0.039393939,0.043636372,-1.404570592,IET
6.6,0.021818182,0.043636372,-1.66118144,IET
6.6,0.04030303,0.043636372,-1.394662302,Purbachi
6.6,0.043181818,0.043636372,-1.364699077,BR28
6.6,0.040151515,0.043636372,-1.396298063,IET
6.6,0.033939394,0.043636372,-1.469295916,Purbachi
6.7,0.026268657,0.043230632,-1.58056213,Ratna
6.7,0.06119403,0.043230632,-1.213290945,Minikate
6.7,0.04,0.043230632,-1.397940009,Ratna
6.7,0.034925373,0.043230632,-1.456858947,Ratna
6.8,0.050735294,0.042833515,-1.294689819,BR28
6.9,0.049130435,0.042444765,-1.308649391,Purbachi
7,0.044714286,0.042064137,-1.3495537,IET
7.1,0.033098592,0.041691394,-1.480190481,Ratna
7.2,0.046527778,0.041326308,-1.332287687,Purbachi
7.2,0.049166667,0.041326308,-1.308329231,BR28
7.2,0.044583333,0.041326308,-1.350827467,BR28
7.2,0.030138889,0.041326308,-1.520872761,Ratna
7.2,0.046527778,0.041326308,-1.332287687,IET
7.3,0.077808219,0.040968658,-1.108974525,BR29
7.3,0.033424658,0.040968658,-1.475933028,Ratna
7.3,0.042328767,0.040968658,-1.373364382,IET
7.4,0.04,0.040618232,-1.397940009,BR28
