FIPS,State,County,X,Y,Total_POP,POP_65,Black_POP,Native_POP,Asian_POP,Hispanic_POP,White_POP,Rural_POP,Median_Income,Unemployed,Education,Diabetes_Count,Diabetes_Percent,Obesity,Food_Env_Index,Physically_Inactive,Access_Exercise,Uninsured,Urban_rural
1001,Alabama,Autauga County,872679.179,1094432.99,56145,16.2,20.3,0.5,1.2,3.1,73.2,42,67565,4.9,61,3862,8.1,37,6.6,26,56,11,Urban
1003,Alabama,Baldwin County,789777.5039,884557.0795,229287,21.6,8.5,0.8,1.1,4.6,83.3,42.3,71135,5.6,66,19354,8.7,33,7.5,23,66,11,Urban
1005,Alabama,Barbour County,997210.9974,1033023.763,24589,20.3,47.8,0.7,0.5,4.7,45.3,67.8,38866,7,38,2201,9.8,46,5.8,36,55,14,Rural
1007,Alabama,Bibb County,822862.4715,1141553.577,22136,17.1,21,0.5,0.3,2.9,74.2,68.4,50907,6.6,38,1708,8.7,38,7.4,32,18,13,Urban
1009,Alabama,Blount County,863725.1736,1255735.164,57879,19,1.5,0.6,0.4,9.5,86.8,90,55203,4.1,56,5043,9.6,33,7.8,29,41,13,Urban
1011,Alabama,Bullock County,964066.8275,1055199.419,9976,17.7,68.7,0.9,0.3,8.9,21.1,51.4,33124,5.5,28,721,8.3,48,4.3,40,3,12,Rural
1013,Alabama,Butler County,877731.5725,1007285.71,19504,21.4,44.6,0.4,1.4,1.7,51,71.2,42268,8.8,37,2199,12.1,45,6.8,32,45,13,Rural
1015,Alabama,Calhoun County,933856.5711,1239468.533,113469,18.5,21.2,0.5,0.9,4.1,71.4,33.7,50259,7.1,58,13883,13.9,37,6,28,65,13,Urban
1017,Alabama,Chambers County,984214.6861,1148648.711,32865,20.6,40,0.3,1.1,2.8,54.8,49.1,39318,6.8,54,3220,10.4,41,6.9,32,50,13,Urban
1019,Alabama,Cherokee County,949215.6474,1286592.363,26294,24.3,4.1,0.7,0.5,1.8,91.5,85.7,50388,4.6,53,2647,9.5,41,7.4,29,38,13,Rural
1021,Alabama,Chilton County,862209.9831,1128435.63,44397,17.5,9.9,0.6,0.5,7.9,80.1,86.7,52693,5,42,3677,9.5,38,7.1,31,33,15,Urban
1023,Alabama,Choctaw County,726606.4744,1023615.755,12418,24,41.2,0.2,0.2,1.2,56.4,100,41649,6.7,64,1363,10.8,41,6.1,31,25,13,Rural
1025,Alabama,Clarke County,770408.8693,988910.4968,23291,20.9,44.9,0.6,0.4,1.4,51.8,76,44178,9,43,2299,10.5,41,5.1,32,53,14,Rural
