A_LabID,SiteID,StateID,Latitude,Longitude,LandCover,Al,As,Ba,Cd,Ce,Co,Cr,Cs,Cu,Fe,Hg,Li,Mg,Mn,Mo,Ni,Pb,Rb,Sb,Se,Sn,Zn
C-320500,847,NV,38.8486,-117.5824,Shrubland,7.43,195,496,16.1,42,11.1,42,26,87.9,4.17,8.24,128,1.62,740,9.16,25.4,2200,110,32.3,3.1,3.2,2130
C-299963,7209,ME,44.2417,-70.4833,Forested Upland,5.35,2.7,352,0.5,43,5.2,63,2.5,16.5,1.59,0.04,23,0.31,635,1.06,34.8,34,79,1.6,0.2,2.5,1440
C-319572,6811,CO,37.8284,-107.6216,Shrubland,5.82,18.4,686,5.1,67.9,14.4,24,12,141,3.63,0.07,51,0.77,4040,9.41,9.8,865,143,6.04,0.4,2.1,977
C-355112,4072,WI,42.7492,-90.2205,Forested Upland,4.61,7.7,610,0.6,51.9,9.5,38,2.5,35.4,2.26,0.04,19,0.57,719,0.87,20.3,49.1,72.5,1.21,0.5,1.3,943
C-319622,4315,CO,39.234,-106.2517,Herbaceous Upland,6.24,25.1,1030,3.2,48.9,6.8,9,2.5,147,7.39,1.32,11,0.34,812,4.23,4,1510,89.1,6.26,0.7,66.9,770
C-337642,12782,MT,46.3279,-112.9026,Forested Upland,3.76,565,399,2.6,28,8.9,20,5,232,13,0.44,28,0.62,6580,70.3,7.2,62.5,46.6,20.8,0.4,32.6,689
C-354233,10830,WA,46.4991,-117.0799,Planted/Cultivated,6.99,4.2,706,0.6,67.9,13.3,48,5,34.7,3.44,0.03,24,0.8,713,0.72,21.1,83,64.7,0.77,0.1,2,612
C-364450,252,PA,40.1828,-75.7392,Forested Upland,7.53,10.5,466,0.2,75.5,21.1,81,2.5,79.8,5.29,0.08,37,0.65,879,2.1,31.9,268,88.6,1.19,0.9,2.5,541
C-351220,1964,IN,38.2089,-86.3363,Forested Upland,9.06,94.5,414,1.4,104,56.8,217,7,98.7,8.28,0.32,71,0.39,480,5.02,217,259,69.8,9.84,1.3,82.4,536
C-311241,6920,MO,36.9401,-93.7245,Herbaceous Upland,3.02,9,317,1.4,47.6,11.7,56,2.5,13.3,2.4,0.06,16,0.16,894,1.33,11.1,52.6,51.6,1.13,0.6,1.8,518
C-357450,7928,TX,32.4671,-94.7756,Forested Upland,1.54,5.8,372,1.1,46.2,4.8,24,2.5,33.6,1.24,0.17,14,0.08,430,0.7,9.1,111,27.7,1.82,0.4,9.7,491
C-319612,2267,CO,38.505,-106.3282,Forested Upland,6.19,4.2,654,1.2,187,9.6,16,2.5,38.6,3.32,0.07,57,1.02,2330,1.31,8.7,174,161,0.97,0.1,5.2,491
C-349950,3068,OH,39.7327,-83.4265,Developed,4.93,12.9,531,0.8,54.8,11.8,59,2.5,39,2.77,0.18,29,1.21,738,3.74,25.1,174,49.1,1.65,0.8,8.2,464
C-325794,2859,NM,35.4259,-106.2848,Shrubland,5.38,6.4,1030,0.2,50.1,7.1,13,2.5,197,2.16,0.01,29,0.84,396,0.64,11.4,16.4,64.6,0.67,0.2,1.9,425
C-358638,12639,CA,41.4516,-122.6448,Forested Upland,7.64,12.6,1910,3.8,65.1,13.7,54,2.5,62.5,3.87,0.07,23,0.7,1210,5.2,71.1,24.2,97.2,4.34,1.7,2.5,406
C-326409,360,OK,36.7692,-94.9279,Planted/Cultivated,3.12,10.5,332,1.8,53.5,7.1,55,2.5,12.8,2.13,0.04,25,0.19,372,0.93,14.7,122,45.5,0.85,0.7,1.9,390
C-319682,2715,CO,38.0546,-107.6892,Forested Upland,6.67,13.4,885,1.5,70.2,14.8,14,10,95.3,4.5,0.03,34,0.92,1950,3.53,6.5,188,97.4,5.96,0.1,1.4,354
C-334783,590,ID,47.4853,-116.0632,Forested Upland,7.07,16.3,748,4.6,53.5,11,25,7,36.8,2.86,0.38,35,0.55,1670,1.24,14.3,178,63.8,10.5,0.2,2.1,324
C-319627,12507,CO,39.5774,-106.4094,Shrubland,5.29,12.9,639,1.9,46.6,5.2,33,2.5,16.6,1.78,0.02,22,0.58,315,0.52,10.8,78.9,113,0.43,0.1,1.6,318
C-357275,568,TX,30.0043,-94.2698,Planted/Cultivated,2.86,4.8,240,0.9,41.8,3.6,37,2.5,5090,1.89,0.04,19,0.18,175,1.07,11.8,90,28.2,3.78,0.4,8.2,311
C-364457,3324,PA,41.3275,-76.4601,Forested Upland,2.77,9,419,5,33.6,9.2,29,2.5,52,1.56,0.46,20,0.29,6850,1.7,24.4,186,60,2.13,3.2,6.4,304
C-358569,10527,CA,36.362,-121.823,Forested Upland,7.98,1.1,741,0.2,74.4,22.6,34,2.5,133,6.46,0.02,34,2.05,946,0.86,9.2,22.4,87.9,0.21,0.1,3.7,295
