"COUNTY_FIPS","COUNTY_NAME","STATE_FIPS","STATE_NAME","DIVISION","DIVISION_FIPS","REGION_FIPS"
1001,"Autauga County",1,"Alabama","East South Central",2,3
1003,"Baldwin County",1,"Alabama","East South Central",2,3
1005,"Barbour County",1,"Alabama","East South Central",2,3
1007,"Bibb County",1,"Alabama","East South Central",2,3
1009,"Blount County",1,"Alabama","East South Central",2,3
1011,"Bullock County",1,"Alabama","East South Central",2,3
1013,"Butler County",1,"Alabama","East South Central",2,3
1015,"Calhoun County",1,"Alabama","East South Central",2,3
1017,"Chambers County",1,"Alabama","East South Central",2,3
1019,"Cherokee County",1,"Alabama","East South Central",2,3
1021,"Chilton County",1,"Alabama","East South Central",2,3
1023,"Choctaw County",1,"Alabama","East South Central",2,3
1025,"Clarke County",1,"Alabama","East South Central",2,3
1027,"Clay County",1,"Alabama","East South Central",2,3
1029,"Cleburne County",1,"Alabama","East South Central",2,3
1031,"Coffee County",1,"Alabama","East South Central",2,3
1033,"Colbert County",1,"Alabama","East South Central",2,3
1035,"Conecuh County",1,"Alabama","East South Central",2,3
1037,"Coosa County",1,"Alabama","East South Central",2,3
1039,"Covington County",1,"Alabama","East South Central",2,3
1041,"Crenshaw County",1,"Alabama","East South Central",2,3
1043,"Cullman County",1,"Alabama","East South Central",2,3
1045,"Dale County",1,"Alabama","East South Central",2,3
1047,"Dallas County",1,"Alabama","East South Central",2,3
1049,"Dekalb County",1,"Alabama","East South Central",2,3
1051,"Elmore County",1,"Alabama","East South Central",2,3
1053,"Escambia County",1,"Alabama","East South Central",2,3
1055,"Etowah County",1,"Alabama","East South Central",2,3
1057,"Fayette County",1,"Alabama","East South Central",2,3
1059,"Franklin County",1,"Alabama","East South Central",2,3
1061,"Geneva County",1,"Alabama","East South Central",2,3
1063,"Greene County",1,"Alabama","East South Central",2,3
1065,"Hale County",1,"Alabama","East South Central",2,3
1067,"Henry County",1,"Alabama","East South Central",2,3
1069,"Houston County",1,"Alabama","East South Central",2,3
1071,"Jackson County",1,"Alabama","East South Central",2,3
1073,"Jefferson County",1,"Alabama","East South Central",2,3
1075,"Lamar County",1,"Alabama","East South Central",2,3
1077,"Lauderdale County",1,"Alabama","East South Central",2,3
1079,"Lawrence County",1,"Alabama","East South Central",2,3
1081,"Lee County",1,"Alabama","East South Central",2,3
1083,"Limestone County",1,"Alabama","East South Central",2,3
1085,"Lowndes County",1,"Alabama","East South Central",2,3
1087,"Macon County",1,"Alabama","East South Central",2,3
1089,"Madison County",1,"Alabama","East South Central",2,3
1091,"Marengo County",1,"Alabama","East South Central",2,3
1093,"Marion County",1,"Alabama","East South Central",2,3
1095,"Marshall County",1,"Alabama","East South Central",2,3
1097,"Mobile County",1,"Alabama","East South Central",2,3
1099,"Monroe County",1,"Alabama","East South Central",2,3
1101,"Montgomery County",1,"Alabama","East South Central",2,3
1103,"Morgan County",1,"Alabama","East South Central",2,3
1105,"Perry County",1,"Alabama","East South Central",2,3
1107,"Pickens County",1,"Alabama","East South Central",2,3
1109,"Pike County",1,"Alabama","East South Central",2,3
1111,"Randolph County",1,"Alabama","East South Central",2,3
1113,"Russell County",1,"Alabama","East South Central",2,3
1115,"St. Clair County",1,"Alabama","East South Central",2,3
1117,"Shelby County",1,"Alabama","East South Central",2,3
1119,"Sumter County",1,"Alabama","East South Central",2,3
1121,"Talladega County",1,"Alabama","East South Central",2,3
1123,"Tallapoosa County",1,"Alabama","East South Central",2,3
1125,"Tuscaloosa County",1,"Alabama","East South Central",2,3
1127,"Walker County",1,"Alabama","East South Central",2,3
1129,"Washington County",1,"Alabama","East South Central",2,3
1131,"Wilcox County",1,"Alabama","East South Central",2,3
1133,"Winston County",1,"Alabama","East South Central",2,3
4001,"Apache County",4,"Arizona","Mountain",4,4
4003,"Cochise County",4,"Arizona","Mountain",4,4
4005,"Coconino County",4,"Arizona","Mountain",4,4
4007,"Gila County",4,"Arizona","Mountain",4,4
4009,"Graham County",4,"Arizona","Mountain",4,4
4011,"Greenlee County",4,"Arizona","Mountain",4,4
4012,"La Paz County",4,"Arizona","Mountain",4,4
4013,"Maricopa County",4,"Arizona","Mountain",4,4
4015,"Mohave County",4,"Arizona","Mountain",4,4
4017,"Navajo County",4,"Arizona","Mountain",4,4
4019,"Pima County",4,"Arizona","Mountain",4,4
4021,"Pinal County",4,"Arizona","Mountain",4,4
4023,"Santa Cruz County",4,"Arizona","Mountain",4,4
4025,"Yavapai County",4,"Arizona","Mountain",4,4
4027,"Yuma County",4,"Arizona","Mountain",4,4
5001,"Arkansas County",5,"Arkansas","West South Central",9,3
5003,"Ashley County",5,"Arkansas","West South Central",9,3
5005,"Baxter County",5,"Arkansas","West South Central",9,3
5007,"Benton County",5,"Arkansas","West South Central",9,3
5009,"Boone County",5,"Arkansas","West South Central",9,3
5011,"Bradley County",5,"Arkansas","West South Central",9,3
5013,"Calhoun County",5,"Arkansas","West South Central",9,3
5015,"Carroll County",5,"Arkansas","West South Central",9,3
5017,"Chicot County",5,"Arkansas","West South Central",9,3
5019,"Clark County",5,"Arkansas","West South Central",9,3
5021,"Clay County",5,"Arkansas","West South Central",9,3
5023,"Cleburne County",5,"Arkansas","West South Central",9,3
5025,"Cleveland County",5,"Arkansas","West South Central",9,3
5027,"Columbia County",5,"Arkansas","West South Central",9,3
5029,"Conway County",5,"Arkansas","West South Central",9,3
5031,"Craighead County",5,"Arkansas","West South Central",9,3
5033,"Crawford County",5,"Arkansas","West South Central",9,3
5035,"Crittenden County",5,"Arkansas","West South Central",9,3
5037,"Cross County",5,"Arkansas","West South Central",9,3
5039,"Dallas County",5,"Arkansas","West South Central",9,3
5041,"Desha County",5,"Arkansas","West South Central",9,3
5043,"Drew County",5,"Arkansas","West South Central",9,3
