FIPS,Year,SMOKING,POVERTY,PM25,NO2,SO2,LBC_RATE
1001,1998,27,11.3,17.08,1.38,0.057,90.63
1001,1999,26,11.4,15.38,1.04,0.055,90.39
1001,2000,26,10.5,14.04,1.47,0.054,89.47
1001,2001,26.5,10.8,13.87,1.74,0.051,89.3
1001,2002,26.6,10.3,14.85,1.1,0.052,89.15
1001,2003,26.3,10.4,13.88,0.9,0.053,87.26
1001,2004,27.1,11.6,12.61,1.1,0.05,84.98
1001,2005,26.4,10.4,12.59,1.17,0.055,85.56
1001,2006,26.3,12.5,12.92,0.84,0.055,84.34
1001,2007,25.6,10.4,12.57,0.77,0.056,82
1001,2008,25.6,10.7,8.9,0.89,0.049,82.09
1001,2009,25,11.2,9.29,0.63,0.037,80.1
1001,2010,25.8,11.9,10.99,0.51,0.027,77.85
1001,2011,25.8,14.9,10.27,0.64,0.029,78.07
1001,2012,25.1,11.4,12.62,0.98,0.02,79.59
1003,1998,25.9,11,13.13,1.43,0.082,72.03
1003,1999,26,10.5,12.55,1.15,0.08,71
1003,2000,26.4,9.7,11.97,1.15,0.081,70.74
1003,2001,26.7,11.1,11.01,1.16,0.077,71.48
1003,2002,25.6,10.7,11.05,1.11,0.071,69.97
1003,2003,25.4,10.1,10.46,0.97,0.066,69.49
1003,2004,25.6,10,10.58,1.06,0.06,67.2
1003,2005,25.5,11.4,10.52,1.23,0.061,65.39
1003,2006,24.6,11,9.78,0.81,0.065,65.83
1003,2007,24.2,10.3,9.87,0.8,0.067,64.12
1003,2008,24.7,9.9,6.9,0.71,0.055,62.1
1003,2009,24.1,13.3,7.24,0.68,0.046,61
1003,2010,23,13.3,8.03,0.55,0.022,60.5
1003,2011,21.5,13.4,8.06,0.56,0.015,59.77
1003,2012,20.9,11.31,9.96,0.93,0.012,58.46
1005,1998,28.9,22.7,15.8,1.04,0.021,88.35
1005,1999,28.5,22.3,15.35,0.79,0.02,89.48
1005,2000,28.4,22.2,13.82,0.92,0.018,90.02
1005,2001,29,24.2,12.96,1.05,0.017,91.17
1005,2002,28.7,23.6,13.22,0.88,0.017,90.88
1005,2003,28.3,22.2,12.65,1.11,0.017,89.24
1005,2004,28.8,23.9,12.92,0.72,0.017,86.34
1005,2005,27.7,22.4,12.92,0.7,0.018,86.98
1005,2006,27.7,28.7,12.31,0.54,0.018,85.7
1005,2007,27.8,26.1,12.93,0.64,0.019,82.97
1005,2008,27.3,24.5,8.31,0.47,0.016,83.18
1005,2009,27.5,32.8,9,0.53,0.011,83.74
1005,2010,26.8,25.3,9.93,0.47,0.008,82.86
1005,2011,26.9,29.5,9.3,0.4,0.007,82.43
1005,2012,26.3,25.29,12.04,0.71,0.005,82.35
1007,1998,30.1,16.9,17.49,1.44,0.126,88.35
1007,1999,30.1,17.1,15.03,1.24,0.117,89.62
1007,2000,29.6,17.8,14.9,1.69,0.111,88.64
1007,2001,29.9,18.2,15.26,1.72,0.101,89.38
1007,2002,30.5,17.7,15.25,1.34,0.101,88.78
