FIPS,POVERTY_RATE
1001,13.5
1003,11.7
1005,29.9
1007,20.1
1009,14.1
1011,32.6
1013,24.8
1015,17.1
1017,19.9
1019,16.8
1021,18.3
1023,22.7
1025,29
1027,18.9
1029,17.2
1031,14.4
1033,16.7
1035,28.1
1037,17.5
1039,19.6
1041,20.5
1043,14.9
1045,20.6
1047,35.4
1049,20.5
1051,13.5
1053,23.3
1055,17.5
1057,20.3
1059,20.1
1061,20.9
1063,34
1065,23.7
1067,18.7
1069,19.4
1071,17.5
1073,15.3
1075,18.6
1077,15.2
1079,16.8
1081,18.3
1083,12.8
1085,31.7
1087,30
1089,13.5
1091,25.8
1093,18.5
1095,21
1097,19.5
1099,25.7
1101,18.8
1103,15.8
1105,35
1107,25.8
1109,25.1
1111,21.8
1113,19.3
1115,12
1117,7.9
1119,32.4
1121,18
1123,20.2
1125,17.6
1127,20.5
1129,18.2
1131,31.9
1133,17.3
4001,33.2
4003,21.1
4005,17.8
4007,20.3
4009,22.9
4011,12
4012,24.8
4013,15
4015,18.3
4017,28.2
4019,18.2
4021,15.4
4023,20.9
4025,13.3
4027,19.3
5001,18.1
5003,17.9
5005,12.7
5007,9.1
5009,15.4
5011,23.5
5013,17.1
5015,17.2
5017,30.1
5019,22.3
5021,19.1
5023,16.3
5025,15.8
5027,24.2
5029,18.9
5031,16.2
5033,16.8
5035,25.5
5037,19.4
5039,20.8
5041,26.5
5043,19.2
5045,16
5047,17.9
5049,23.2
5051,17.8
5053,11.5
5055,15.3
5057,20.7
5059,14.7
5061,18.7
5063,15.9
5065,20.1
5067,24.1
5069,23.3
5071,18.4
5073,27.4
5075,20
5077,35.9
5079,27.6
5081,17.5
5083,18.2
5085,12.4
5087,18.3
5089,20.7
5091,22.4
5093,24.6
5095,27
5097,22.4
5099,20.4
5101,19.9
5103,24.7
5105,16.9
5107,32.3
5109,18.2
5111,22.7
5113,23.4
5115,17.5
5117,17.8
5119,17.2
5121,18.9
5123,31.6
5125,8.7
5127,19.7
5129,23.1
5131,16.9
5133,20.8
5135,21.3
5137,21.8
5139,19.3
5141,16.7
5143,15.8
5145,15.7
5147,26.3
5149,18
6001,10.7
6003,18.6
6005,11.3
6007,19.5
6009,13.1
6011,11.1
6013,8.7
6015,23.7
6017,8.7
6019,25.5
6021,16.7
6023,20
6025,23.6
6027,12.3
6029,22.4
6031,17.4
6033,20.7
6035,17.6
6037,16.3
6039,20.4
6041,7.8
6043,17.9
6045,19
6047,20.3
6049,18.4
6051,11.5
6053,12.9
6055,7.9
6057,10.9
6059,11.1
6061,7.2
6063,12.6
6065,15.3
6067,16.3
6069,10.5
6071,17.6
6073,12.4
6075,10.2
6077,14.6
6079,11
6081,6.6
6083,13.9
6085,9.3
6087,13.4
6089,17.2
6091,14.4
6093,18.8
6095,11.4
6097,9.4
6099,14.5
6101,17.1
6103,20.9
6105,21.3
6107,24.7
6109,15.4
6111,9.8
6113,19
6115,16.6
8001,11.7
8003,24.8
8005,9
8007,12
8009,20.2
8011,34.1
8013,10.8
8014,5.3
8015,11.4
8017,14
8019,8.1
8021,22.7
8023,30.4
8025,48
8027,13.6
8029,17.8
8031,14
8033,13.2
8035,3.4
8037,7.9
8039,6
8041,11.5
8043,17.5
8045,9.1
8047,7.5
8049,8.2
8051,13.8
8053,10
8055,21.9
8057,14.1
8059,7
8061,13.9
8063,14.3
8065,14.6
8067,10.9
8069,11.2
8071,21.6
8073,18.1
8075,16.4
8077,15
8079,9.3
8081,12.9
8083,15.1
8085,16.4
8087,11.7
8089,23.6
8091,8.8
8093,9.2
8095,11.5
8097,6.9
8099,20.9
8101,19.9
8103,9.5
8105,17.5
8107,7.2
8109,27.6
8111,15.5
8113,10.1
8115,14.8
8117,7.9
8119,9.5
8121,14.3
8123,11.5
8125,12.3
9001,8.6
9003,10.9
9005,7.2
9007,7.9
9009,11.4
9011,9.3
9013,7.2
9015,11.9
10001,13.6
10003,11.3
10005,11.6
11001,18.5
12001,22.3
12003,17.2
12005,14.9
12007,18.6
12009,14.7
12011,13.5
12013,21.9
12015,12.6
12017,16.6
12019,9.6
12021,11.4
12023,17.8
12027,28.6
12029,25.4
12031,14.5
12033,15.2
12035,11.2
12037,23.1
12039,20.6
12041,17.3
12043,21.5
12045,23.5
12047,28.9
12049,23.8
12051,25.1
12053,15.4
12055,19.1
12057,15
12059,24.2
12061,12.3
12063,22.6
12065,18.9
12067,23.3
12069,11.8
12071,12.8
12073,19
12075,21.4
12077,23.6
12079,31.9
