ID,A_LabID,SiteID,StateID,Longitude,Latitude,Landcover,Tota_C,Organic_C,BD,Clay,Sand,pH
1,C-311157,8,MO,-90.5332,38.5425,Planted/Cultivated,1.11,1.11,1395.68,14.87,38.64,68.99
2,C-357264,12,TX,-96.8991,32.6272,Forested Upland,8.44,4.50,1517.69,36.32,25.08,64.69
3,C-353188,14,OR,-121.41,43.24,Forested Upland,0.72,0.50,987.28,11.35,53.99,62.98
4,C-320389,15,NV,-115.3892,41.0335,Planted/Cultivated,1.13,1.13,1299.47,21.99,23.12,81.99
5,C-349934,16,OH,-83.7772,40.8325,Planted/Cultivated,1.45,1.45,1485.35,41.63,18.14,62.13
6,C-323411,24,SD,-96.6694,43.9999,Planted/Cultivated,3.48,3.40,1282.04,22.30,27.28,68.70
7,C-338672,27,SD,-103.7993,44.2337,Planted/Cultivated,1.79,1.79,1373.21,27.97,24.97,61.96
8,C-357265,28,TX,-98.3872,28.5238,Shrubland,2.34,1.30,1351.15,23.46,53.12,75.84
9,C-355875,31,CA,-117.924,35.608,Barren,0.17,0.17,1480.61,11.03,69.97,80.03
10,C-328641,32,FL,-85.9549,30.4575,Forested Upland,0.92,0.92,1411.54,7.36,74.72,48.87
11,C-326357,40,OK,-98.7935,36.0402,Planted/Cultivated,1.15,1.15,1512.81,15.04,54.25,66.77
12,C-339035,43,AZ,-109.1665,36.4526,Herbaceous Upland,0.11,0.11,1290.37,26.42,38.77,72.26
13,C-352027,44,NC,-79.5087,35.705,Forested Upland,25.20,25.20,1479.42,37.51,21.38,50.06
14,C-313206,47,UT,-113.1348,38.831,Shrubland,3.57,0.80,1290.53,36.06,18.83,85.00
15,C-328546,48,FL,-80.6948,25.4353,Herbaceous Upland,15.20,6.60,883.85,37.05,27.79,70.78
16,C-355078,56,WI,-88.3624,43.7174,Planted/Cultivated,2.09,1.60,1492.69,27.39,14.86,67.47
17,C-326134,59,NM,-105.1312,36.5464,Forested Upland,3.64,3.50,1265.22,16.99,45.39,68.93
18,C-352625,60,TN,-88.3953,35.215,Planted/Cultivated,0.87,0.87,1505.36,24.00,11.01,54.49
19,C-340105,62,ND,-101.8466,48.676,Planted/Cultivated,1.38,1.38,1367.01,27.18,34.36,73.00
20,C-323850,63,NM,-103.386,35.2237,Shrubland,0.63,0.40,1451.00,30.03,44.37,75.00
21,C-311296,72,MO,-92.2869,37.3792,Planted/Cultivated,4.24,4.24,1406.11,25.90,14.73,57.34
22,C-314236,76,MS,-89.7134,34.0832,Herbaceous Upland,0.23,0.23,1451.12,22.64,17.22,53.83
23,C-353189,78,OR,-119.1528,45.4137,Herbaceous Upland,1.29,1.29,1234.58,24.73,20.91,70.13
24,C-346649,79,OR,-117.655,42.9012,Herbaceous Upland,0.58,0.58,1273.14,17.00,46.00,79.03
25,C-351213,80,IN,-86.2828,41.0669,Planted/Cultivated,2.01,1.60,1522.98,8.02,69.10,59.38
26,C-351797,84,AZ,-109.473,32.494,Shrubland,0.31,0.10,1366.46,26.07,52.65,81.00
27,C-343345,88,IA,-95.7986,41.2947,Planted/Cultivated,3.12,3.12,1353.64,28.82,7.93,67.07
28,C-323341,89,SD,-98.0856,45.0624,Planted/Cultivated,1.51,1.51,1388.56,25.23,22.70,74.00
29,C-318593,91,WY,-104.0922,41.2591,Planted/Cultivated,0.77,0.70,1331.05,32.49,30.70,76.00
30,C-300435,92,TX,-98.8898,26.3871,Planted/Cultivated,0.58,0.58,1383.39,29.14,34.55,76.94
31,C-355876,95,CA,-123.4438,40.3125,Forested Upland,5.98,5.98,1186.12,26.22,33.07,58.92
32,C-328943,96,AL,-87.1166,31.3146,Planted/Cultivated,0.71,0.71,1484.87,24.00,56.43,52.16
33,C-310036,104,KS,-95.806,37.8362,Herbaceous Upland,3.92,3.92,1272.87,41.00,14.30,65.25
34,C-300026,105,ME,-68.8732,45.1445,Forested Upland,3.11,3.11,1283.46,9.01,42.75,52.21
35,C-309874,107,KS,-101.7826,37.3744,Planted/Cultivated,1.08,1.08,1396.70,33.17,19.58,78.71
36,C-350892,108,NC,-82.1385,36.0013,Forested Upland,10.90,10.90,1346.60,32.36,36.13,54.89
37,C-337081,110,MT,-109.4125,46.4613,Herbaceous Upland,1.75,1.75,1382.25,37.77,29.80,78.71
38,C-343212,111,CA,-114.631,34.67,Shrubland,0.59,0.20,1392.61,19.67,60.15,83.82
39,C-354764,117,MI,-89.3884,46.621,Forested Upland,18.60,18.50,1390.89,23.61,36.98,54.05
40,C-314064,120,LA,-90.7998,30.2191,Herbaceous Upland,4.85,4.85,1297.04,27.31,2.66,63.86
41,C-318437,123,WY,-109.6397,41.1826,Herbaceous Upland,1.85,0.50,1385.61,19.92,42.92,83.33
