A_LabID,SiteID,StateID,Latitude,Longitude,Landcover,Developed,Agriculture,As,Cd,Cr,Pb,Se,Zn,Fe,Mn
C-318585,3515,NH,43.084,-71.4757,Forested,No,No,103,0.05,17,36.5,0.1,31,1.44,516
C-318476,3419,IN,38.2089,-86.3363,Forested,No,No,94.5,1.4,217,259,1.3,536,8.28,480
C-318498,3374,TX,31.6229,-94.8428,Planted/Cultivated,No,Yes,84.2,0.05,95,26.3,1.9,73,12.7,183
C-318512,3259,TX,31.244,-96.0616,Forested,No,No,77.3,0.2,120,40.4,0.9,158,13.9,1390
C-319940,3163,MT,45.9122,-112.385,Forested,No,No,66.7,1,11,55.3,0.1,99,1.69,1870
C-319939,3003,WA,48.2143,-120.2065,Forested,No,No,63.8,0.5,15,10.7,0.1,133,3.05,1020
C-318511,2939,NV,40.8003,-116.1906,Shrubland,No,No,62.8,1.7,50,19.2,1.7,157,2.58,612
C-318609,2875,NV,39.286,-118.1377,Shrubland,No,No,62.3,0.2,20,19.9,0.1,74,2.9,610
C-318573,2763,MT,46.128,-112.6626,Herbaceous ,No,Yes,59.9,0.7,34,36.4,0.1,104,2.13,622
C-318561,2747,TX,31.5201,-94.1676,Forested,No,No,56.1,0.05,101,21.7,0.7,58,7.9,406
C-346733,2651,TX,30.6142,-96.6131,Forested,No,No,51.5,0.05,55,26.7,0.6,67,7.71,599
C-318448,2606,WI,43.9282,-91.26,Forested,No,No,48.5,1,27,182,0.5,216,2.38,522
C-318599,2507,NV,38.6321,-117.9543,Shrubland,No,No,46.1,0.1,21,18.8,0.1,74,3.39,213
C-318493,2491,NV,37.4101,-117.4675,Shrubland,No,No,45.3,0.3,49,23.7,0.1,84,3.71,756
C-318510,2427,NJ,40.5547,-74.6177,Forested,No,No,44.5,0.7,37,325,0.8,128,2.78,1810
C-318570,2395,MT,46.4924,-112.4233,Forested,No,No,43.6,1.1,47,62.7,0.1,163,3.29,1310
C-318440,2299,PA,40.4396,-80.4221,Planted/Cultivated,No,Yes,43.1,0.7,68,33.2,1,102,4.28,655
