ID,SOC,DEM,Slope,TPI,MAP,MAT,NDVI,NLCD,FRG
1,1.9,2825.111084,18.98168182,-0.916062236,613.697937,4.709226608,0.684525967,Forest,Fire Regime Group IV
2,2.644,2535.108643,14.18239307,-0.152598023,597.7911987,4.647999763,0.755763054,Forest,Fire Regime Group IV
3,0.8,1716.329956,1.585144639,-0.390785903,201.5090637,6.360833168,0.221505895,Shrubland,Fire Regime Group IV
4,0.736,1649.893311,9.399725914,-2.540087223,298.2607727,10.26538467,0.278514802,Shrubland,Fire Regime Group V
5,15.641,2675.311279,12.5693531,7.400763035,827.4679565,2.798550129,0.733742595,Forest,Fire Regime Group V
6,8.818,2581.483887,6.358552933,2.762585163,679.1391602,6.358550072,0.70171386,Forest,Fire Regime Group I
7,3.782,2328.449463,10.4627409,0.551476836,508.8981934,7.075252533,0.573623061,Forest,Fire Regime Group I
8,6.641,2554.352051,16.27211571,1.179812312,433.7974854,3.88045454,0.563999057,Forest,Fire Regime Group III
9,4.803,2313.449463,7.856686592,4.450091362,330.9511108,8.68599987,0.355491102,Forest,Fire Regime Group III
10,14.242,2324,19.7778759,-0.180625707,399.7516479,4.629796028,0.407292426,Forest,Fire Regime Group III
11,4.953,2517.478027,7.052065372,-1.5664891,538.8876343,7.384536266,0.5326702,Forest,Fire Regime Group IV
12,5.49,2389.770752,13.87090683,3.66655302,611.7106934,3.173333406,0.610834897,Forest,Fire Regime Group IV
13,0.408,1367.865479,1.343380928,-0.02701824,393.8974915,12.03663063,0.275360823,Herbaceous,Fire Regime Group II
14,6.098,2149.489258,1.183782816,-2.364760876,342.4104919,9.112000465,0.204098836,Herbaceous,Fire Regime Group III
15,5.528,2044.137939,20.80967331,-5.606907368,407.2964783,8.467778206,0.499950737,Forest,Fire Regime Group IV
16,5.27,2586.283447,9.481746674,-5.368662834,373.6382751,2.761506081,0.560985625,Forest,Fire Regime Group IV
17,3.134,2230.669434,10.46758366,-0.132986262,286.915802,8.614343643,0.358321786,Shrubland,Fire Regime Group III
18,8.454,2513.318359,8.072370529,-0.646274805,618.8540649,4.92973423,0.603295386,Shrubland,Fire Regime Group I
19,6.641,2554.352051,16.27211571,1.179812312,433.7974854,3.88045454,0.563999057,Forest,Fire Regime Group IV
20,13.431,3376.358154,14.39017105,3.393611908,580.6061401,-0.213022023,0.535711646,Forest,Fire Regime Group V
21,3.692,2983.2229,10.71210957,6.129731178,452.7119141,2.797250032,0.555657208,Forest,Fire Regime Group I
22,2.379,2095.52832,4.729340076,-4.757287502,308.8486023,5.808469296,0.226454243,Shrubland,Fire Regime Group III
23,21.644,2228.609863,15.03087044,-6.786052704,561.0355225,1.942736864,0.691702962,Forest,Fire Regime Group IV
24,4.287,598.574707,2.069401264,-0.536091745,661.524292,11.03677464,0.583163798,Herbaceous,Fire Regime Group II
25,13.593,2302.736572,13.64405155,0.358457029,465.0046692,6.064050198,0.474360138,Forest,Fire Regime Group III
26,13.431,3376.358154,14.39017105,3.393611908,580.6061401,-0.213022023,0.535711646,Forest,Fire Regime Group III
27,3.243,1460.323975,1.885673523,-0.991123676,357.4660034,13.89599991,0.254650742,Herbaceous,Fire Regime Group II
28,10.745,2484.282715,7.12181139,5.146931171,869.4724121,0.470781118,0.619101346,Forest,Fire Regime Group I
29,6.5,1485.535034,1.624822617,-0.57865268,324.578186,6.978449821,0.321799695,Shrubland,Fire Regime Group II
30,1.542,1251.51123,0.936136723,0.050602026,386.8246155,11.09724522,0.394683599,Herbaceous,Fire Regime Group II
31,3.915,1981.618164,7.504547119,-3.81141758,290.1477356,10.02245045,0.229580045,Shrubland,Fire Regime Group III
32,10.479,2396.19458,7.949864388,3.755705833,802.9743042,0.758826554,0.584472179,Forest,Fire Regime Group I
33,9.451,1591.180908,2.513181925,1.7775805,352.90625,14.27880001,0.361688375,Herbaceous,Fire Regime Group II
34,3.075,1188.688477,1.050541401,1.048844576,340.256897,15.04729557,0.264569998,Herbaceous,Fire Regime Group II
35,4.287,598.574707,2.069401264,-0.536091745,661.524292,11.03677464,0.583163798,Herbaceous,Fire Regime Group II
36,3.134,2141.247314,2.088098049,-0.132986262,286.915802,5.530650139,0.358321786,Shrubland,Fire Regime Group IV
37,16.527,2990.375,14.31359577,0.447707355,637.1654663,2.433563709,0.610815167,Forest,Fire Regime Group I
38,4.392,1500.801392,2.286377907,-0.164715573,347.5136108,7.737400055,0.344278902,Herbaceous,Fire Regime Group II
39,14.541,2602.433594,11.38863754,-11.65337181,394.6705017,3.166808605,0.558181643,Forest,Fire Regime Group III
40,4.909,2047.170776,4.708840847,4.639798164,309.5248108,5.754449844,0.278331727,Shrubland,Fire Regime Group III
41,6.088,1983.726807,2.43729043,-1.229195356,465.3496399,9.48197937,0.339027196,Herbaceous,Fire Regime Group II
42,6.123,1382.457153,6.559945107,2.988004684,350.4103088,7.243100166,0.34973678,Herbaceous,Fire Regime Group II
43,4.287,598.574707,2.069401264,-0.536091745,661.524292,11.03677464,0.583163798,Herbaceous,Fire Regime Group II
44,3.692,2983.2229,10.71210957,6.129731178,452.7119141,2.797250032,0.555657208,Forest,Fire Regime Group III
45,0.843,1464.812744,8.877799988,6.580115795,336.1734924,15.53285027,0.198272943,Shrubland,Fire Regime Group IV
46,1.303,1013.55426,1.695938587,0.038233001,344.0316467,16.74279022,0.229102552,Shrubland,Fire Regime Group II
47,11.049,1229.811035,5.013376713,-0.120323949,404.3808899,7.690400124,0.408586591,Herbaceous,Fire Regime Group II
48,16.987,2360.572998,9.663214684,6.502155781,1121.274414,1.358666658,0.602835298,Forest,Fire Regime Group III
49,1.646,2050.006592,3.656596661,-2.007000685,258.5541077,10.17354965,0.169441774,Herbaceous,Fire Regime Group III
50,1.542,1251.51123,0.936136723,0.050602026,386.8246155,11.09724522,0.394683599,Herbaceous,Fire Regime Group II
51,0.645,1994.089966,3.083681345,-1.454293966,268.5062561,5.916581631,0.200428322,Shrubland,Fire Regime Group IV
52,0.605,1419.348389,1.347284079,-2.111673117,204.9618225,10.10857105,0.162069917,Shrubland,Fire Regime Group II
53,1.049,1728.271118,1.225230575,0.867286742,377.2028809,9.337244987,0.307262123,Herbaceous,Fire Regime Group II
54,7.533,1200.702393,4.208724022,-2.617657423,270.4324341,15.97299957,0.192295283,Shrubland,Fire Regime Group II
55,4.624,1370.270752,1.177685976,-0.600742936,290.2046509,11.56323242,0.269405723,Herbaceous,Fire Regime Group II
56,2.23,1758.679443,1.79806757,-0.810913026,439.7218628,9.526071548,0.348820806,Herbaceous,Fire Regime Group II
57,2.727,1125.764282,1.311453462,2.740324259,308.5267639,16.19720078,0.179363534,Shrubland,Fire Regime Group II
58,10.653,2166.292969,7.256433487,3.084399462,576.1013184,4.703802109,0.670416653,Shrubland,Fire Regime Group IV
59,14.276,2689.234619,8.749390602,3.737038851,657.0748901,4.985505104,0.722422421,Forest,Fire Regime Group III
60,2.519,1395.630371,1.122055769,1.045879006,455.7088013,13.59239769,0.318917453,Herbaceous,Fire Regime Group II
61,3.9,953.5596313,1.476952553,0.265975893,487.9603271,11.39086723,0.376978844,Herbaceous,Fire Regime Group II
62,2.735,2206.979736,3.553725243,2.003159761,369.5882874,8.630700111,0.267089158,Shrubland,Fire Regime Group III
63,1.841,2229.078613,5.671614647,1.588556767,292.7969971,4.595168591,0.239042446,Shrubland,Fire Regime Group III
64,11.589,1190.883179,1.299599767,-0.53571564,421.2796631,11.48664665,0.365856677,Herbaceous,Fire Regime Group II
65,4.974,1395.630371,1.122055769,0.94482094,383.401001,13.59239769,0.355982542,Herbaceous,Fire Regime Group II
66,4.904,1697.071045,3.361020565,0.118783087,328.2735901,7.165249825,0.312403351,Shrubland,Fire Regime Group II
67,4.516,1493.075439,3.811462641,-3.102950335,276.321167,7.499123573,0.216691256,Shrubland,Fire Regime Group IV
68,3.067,1708.984131,2.598118782,1.046590924,414.9546814,9.060824394,0.383566409,Herbaceous,Fire Regime Group II
69,1.03,1221.068848,0.967039883,0.042221736,435.4337463,12.14036465,0.378094524,Planted/Cultivated,Fire Regime Group II
70,10.745,2484.282715,7.12181139,5.146931171,869.4724121,0.470781118,0.619101346,Forest,Fire Regime Group III
71,3.564,2111.05127,10.00109196,0.816635013,469.2470093,9.081458092,0.552064896,Forest,Fire Regime Group III
72,11.187,2302.736572,13.64405155,0.56259501,547.1380005,6.064050198,0.637389004,Forest,Fire Regime Group III
73,10.72,2040.524536,3.964875698,2.730322599,414.3068848,7.064040184,0.38162604,Herbaceous,Fire Regime Group II
74,16.93,1228.085571,3.771915197,1.417310834,409.4318848,7.427899837,0.40025413,Herbaceous,Fire Regime Group II
75,6.378,2559.194824,12.31284332,-4.225131989,515.5795288,6.815050125,0.477781266,Forest,Fire Regime Group III
76,2.76,728.6289673,0.963869989,1.624865651,243.6156311,12.82736874,0.407229751,Planted/Cultivated,Fire Regime Group II
77,1.03,973.7722778,0.875295162,0.042221736,435.4337463,12.79317665,0.378094524,Planted/Cultivated,Fire Regime Group II
78,0.462,699.2559814,0.976019144,-0.355791897,637.2529907,12.84326363,0.527522802,Planted/Cultivated,Fire Regime Group II
79,3.445,1583.133789,1.594504714,-0.798921406,383.3316956,8.243385315,0.422314763,Herbaceous,Fire Regime Group II
80,3.393,2357.302246,8.016197205,-3.36669755,415.5840149,8.799050331,0.341147661,Forest,Fire Regime Group III
81,10.745,2484.282715,7.12181139,5.146931171,869.4724121,0.470781118,0.619101346,Forest,Fire Regime Group IV
82,1.277,2013.985962,0.907911181,-0.152127594,206.8027039,3.869635344,0.287537485,Shrubland,Fire Regime Group IV
83,4.624,1370.270752,1.177685976,-0.600742936,290.2046509,11.56323242,0.269405723,Herbaceous,Fire Regime Group II
84,3.7,728.6289673,0.963869989,0.065530546,613.3708496,12.82736874,0.503653765,Planted/Cultivated,Fire Regime Group II
85,2.203,1379.185181,1.852187276,-0.606334746,380.9888916,8.657299995,0.395435303,Herbaceous,Fire Regime Group II
86,2.735,2206.979736,3.553725243,2.003159761,369.5882874,8.630700111,0.267089158,Shrubland,Fire Regime Group II
87,4.624,1370.270752,1.177685976,-0.600742936,290.2046509,11.56323242,0.269405723,Herbaceous,Fire Regime Group II
88,6.363,2178.81665,1.209943533,-0.750747621,387.335968,5.019322872,0.39453873,Shrubland,Fire Regime Group V
89,0.605,1925.557373,8.501875877,-2.111673117,204.9618225,8.509479523,0.162069917,Shrubland,Fire Regime Group I
90,3.564,2703.303955,7.780416489,0.816635013,469.2470093,0.913608253,0.552064896,Forest,Fire Regime Group III
91,0.8,1716.329956,1.585144639,-0.390785903,201.5090637,6.360833168,0.221505895,Shrubland,Fire Regime Group III
92,3.923,2851.55542,6.72978878,-3.784188271,367.3504944,3.102950096,0.367307693,Herbaceous,Fire Regime Group III
93,1.12,2044.476807,2.18674159,-1.248059154,309.4490051,5.688374996,0.148967952,Shrubland,Fire Regime Group IV
94,3.852,1303.09436,1.282466412,0.424683928,425.8609009,9.675183296,0.388191253,Planted/Cultivated,Fire Regime Group II
95,3.9,953.5596313,1.476952553,0.265975893,487.9603271,11.39086723,0.376978844,Herbaceous,Fire Regime Group II
96,6.753,1030.052979,0.781253636,-0.656636477,450.1335449,12.59348965,0.498598099,Planted/Cultivated,Fire Regime Group II
97,6.979,1354.376587,1.576267362,-0.708830059,389.4861145,8.795876503,0.384414405,Herbaceous,Fire Regime Group II
98,3.48,1331.058105,1.530678153,-0.367511362,432.2693176,9.820252419,0.4193905,Herbaceous,Fire Regime Group II
99,2.459,2183.356689,7.38406229,-0.188502803,262.9281006,4.50363636,0.187527359,Shrubland,Fire Regime Group IV
100,5.6,1417.859497,4.096918583,1.401656866,434.789917,6.454444408,0.489788592,Shrubland,Fire Regime Group III
101,10.661,2212.135254,7.817354679,-4.664190292,442.33255,4.186666489,0.417176396,Shrubland,Fire Regime Group III
102,10.661,2212.135254,7.817354679,-4.664190292,442.33255,4.186666489,0.417176396,Shrubland,Fire Regime Group IV
103,6.189,1094.049561,3.288715839,-1.973678946,371.9525452,7.324999809,0.407987505,Herbaceous,Fire Regime Group II
104,11.589,1810.279907,3.796578884,-0.53571564,421.2796631,10.06978226,0.365856677,Herbaceous,Fire Regime Group II
105,6.448,858.2679443,0.910708845,-0.821195483,454.7703552,12.25973988,0.420667917,Planted/Cultivated,Fire Regime Group II
106,7.096,567.9083252,1.091024637,0.130296752,195.2479248,13.43826294,0.656734526,Planted/Cultivated,Fire Regime Group II
107,4.83,1574.089111,6.087800026,2.635663509,308.5285034,14.64173508,0.205071822,Shrubland,Fire Regime Group III
108,5.171,585.0255737,1.097045779,-0.064815454,557.4978027,13.37655926,0.47734651,Planted/Cultivated,Fire Regime Group II
109,3.141,1689.933838,2.962572098,-2.700242758,369.6527405,10.05500031,0.376411051,Herbaceous,Fire Regime Group II
110,2.295,1331.444092,1.872875452,-0.133461028,401.3128357,14.26611137,0.285669565,Herbaceous,Fire Regime Group II
111,8.627,1414.151978,1.183509231,-0.465272009,733.1299438,9.516750336,0.526044607,Planted/Cultivated,Fire Regime Group II
112,2.653,2168.414307,1.331408381,0.359174877,342.463501,5.00161314,0.304574579,Shrubland,Fire Regime Group IV
113,5.721,1574.089111,6.087800026,-2.912328005,292.833374,14.64173508,0.20281823,Shrubland,Fire Regime Group IV
114,6.209,1595.71936,10.18558025,2.876229525,416.1225891,13.6864996,0.273865074,Shrubland,Fire Regime Group IV
115,5.46,924.6051025,1.178359032,0.237723008,471.3896484,12.59853268,0.484200716,Planted/Cultivated,Fire Regime Group II
116,3.141,1561.74939,4.469407558,-2.700242758,369.6527405,8.056969643,0.376411051,Herbaceous,Fire Regime Group II
117,5.051,2620.716064,5.428175449,-10.73035431,329.9515076,4.919489861,0.386822402,Herbaceous,Fire Regime Group III
118,7.114,2495.733887,20.31998825,-7.61093235,651.2592163,1.137828231,0.543211997,Shrubland,Fire Regime Group III
119,5.063,2423.28833,10.51017284,7.013783932,556.4901123,7.557193756,0.575008512,Forest,Fire Regime Group III
120,4.084,1958.537598,6.340496063,-2.214991808,457.10672,9.814739227,0.388280451,Herbaceous,Fire Regime Group II
121,3.393,2357.302246,8.016197205,-3.36669755,415.5840149,8.799050331,0.341147661,Forest,Fire Regime Group IV
122,11.22,2281.424561,7.745949745,-3.282370329,391.4978027,8.533787727,0.353026539,Forest,Fire Regime Group I
123,11.227,2688.66748,6.372433662,3.948275328,590.8999023,2.034555674,0.600176811,Forest,Fire Regime Group V
124,4.903,821.1589966,1.928120017,-0.887635827,559.8840942,11.04479122,0.489798218,Planted/Cultivated,Fire Regime Group II
125,1.395,1215.990112,1.484816074,-0.07373742,348.8674927,10.63515472,0.362545192,Herbaceous,Fire Regime Group II
126,13.758,2316.311035,1.806293011,-1.1322335,416.4020691,6.525266171,0.539935708,Shrubland,Fire Regime Group III
127,1.174,1313.987915,1.252177596,1.17921257,414.9378967,13.59955025,0.301019162,Herbaceous,Fire Regime Group II
128,4.977,738.788269,2.017730951,-0.073475003,465.0525513,11.45682812,0.398264199,Planted/Cultivated,Fire Regime Group II
129,10.72,2214.620361,2.433579683,2.730322599,414.3068848,8.651399612,0.38162604,Herbaceous,Fire Regime Group III
130,4.411,2416.589844,7.329057217,-5.708789825,569.8181152,6.133250237,0.592612624,Forest,Fire Regime Group III
131,6.098,2149.489258,1.183782816,-2.364760876,342.4104919,9.112000465,0.204098836,Herbaceous,Fire Regime Group IV
132,4.392,1500.801392,2.286377907,-0.164715573,347.5136108,7.737400055,0.344278902,Herbaceous,Fire Regime Group II
133,4.555,3471.049316,24.94082069,-26.70865059,548.7642822,-0.342474163,0.506736457,Forest,Fire Regime Group V
134,19.099,1601.399292,4.326188564,-1.287878752,302.295105,14.3199501,0.313479304,Shrubland,Fire Regime Group II
135,1.941,1237.188232,1.232816577,0.185090125,421.817688,14.32374954,0.317048192,Shrubland,Fire Regime Group II
136,6.147,1212.831909,1.34484899,-0.101372443,441.9216614,9.456276894,0.525343359,Herbaceous,Fire Regime Group II
137,4.803,2313.449463,7.856686592,4.450091362,330.9511108,8.68599987,0.355491102,Forest,Fire Regime Group III
138,5.721,1737.200439,6.698054314,-2.912328005,292.833374,12.90479565,0.20281823,Shrubland,Fire Regime Group IV
139,3.667,900.635437,1.016467214,1.575828791,571.0084839,13.12892818,0.521937072,Planted/Cultivated,Fire Regime Group II
140,1.255,1656.320801,3.64962554,0.712371588,315.9717102,6.751989841,0.210036114,Shrubland,Fire Regime Group III
141,1.286,851.2306519,1.284581423,0.177129149,404.8471375,12.06242275,0.40715158,Planted/Cultivated,Fire Regime Group II
142,6.826,735.6009521,1.91777432,-0.153364569,523.2950439,10.88930225,0.565285206,Planted/Cultivated,Fire Regime Group II
143,7.183,567.9083252,1.091024637,0.533352792,476.9575195,13.43826294,0.446605504,Planted/Cultivated,Fire Regime Group II
144,2.47,2439.060547,3.570212603,-2.728082418,244.2666168,5.51282835,0.259133458,Herbaceous,Fire Regime Group IV
145,3.595,2122.087646,2.320676804,-2.363741159,315.0387878,4.72510004,0.239986286,Shrubland,Fire Regime Group III
146,6.088,1983.726807,2.43729043,-1.229195356,465.3496399,9.48197937,0.339027196,Herbaceous,Fire Regime Group II
147,15.763,1656.320801,3.64962554,-0.085723579,468.3244934,6.751989841,0.413938969,Shrubland,Fire Regime Group IV
148,4.518,1369.875366,2.563859224,0.916525066,342.4179382,7.394052505,0.28529188,Herbaceous,Fire Regime Group II
149,5.37,585.0255737,1.097045779,0.053166378,570.2481689,13.37655926,0.458886147,Planted/Cultivated,Fire Regime Group II
150,8.05,1184.781738,1.468144894,0.317078203,395.2409973,11.91399956,0.305360764,Herbaceous,Fire Regime Group II
151,3.445,1583.133789,1.594504714,-0.798921406,383.3316956,8.243385315,0.422314763,Herbaceous,Fire Regime Group II
152,3.489,1615.220093,3.082427502,0.041204676,324.5169678,6.838737488,0.34646821,Herbaceous,Fire Regime Group II
